cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr5A	237469404	245959193	Chr5A	256699603	265083035	28	0.9994642857142857
Chr5A	389056643	392036604	Chr5A	405399809	408416106	25	0.9936799999999999
Chr5A	396416523	402162710	Chr5A	395424806	400280187	42	0.9884047619047619
Chr5A	429167055	430640620	Chr5A	431423355	432878898	19	0.9996315789473685
Chr5A	14293	60528080	Chr5A	25641	62883766	550	0.9957309090909092
Chr5A	63377052	151734470	Chr5A	65743633	153773673	398	0.9966683417085427
Chr5A	155555039	159534199	Chr5A	157618544	161756162	13	0.9997692307692307
Chr5A	161914114	180994113	Chr5A	164116182	183869769	37	0.9994594594594594
Chr5A	183430057	184231807	Chr5A	186286354	187079186	3	1.0
Chr5A	191038029	199222973	Chr5A	193812014	201919957	16	0.9998125
Chr5A	203479442	222599127	Chr5A	206178979	225316028	33	0.9998787878787879
Chr5A	224689467	237370335	Chr5A	227391355	240721637	28	0.9999285714285715
Chr5A	246826194	248536470	Chr5A	250975814	255840679	6	1.0
Chr5A	258775970	388640539	Chr5A	265748540	394889963	639	0.9993286384976524
Chr5A	392580240	397148966	Chr5A	400393509	404851886	39	0.9955897435897436
Chr5A	402540994	428995909	Chr5A	408620128	437036082	139	0.9948848920863308
Chr5A	431744154	709195222	Chr5A	438749011	725622979	3198	0.9958542839274547
Chr5A	706865343	707268337	Chr5A	725873542	726268810	6	0.9996666666666667
