cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr7B	34838	36507841	Chr7B	42006	38453897	343	0.9955218658892127
Chr7B	39548352	154814815	Chr7B	40821087	157539208	845	0.9970437869822486
Chr7B	300043254	304524615	Chr7B	302108030	306525043	9	1.0
Chr7B	310413787	312442469	Chr7B	309946052	311822145	5	0.9998000000000001
Chr7B	364699839	389109218	Chr7B	365620123	390815609	123	0.998341463414634
Chr7B	391956637	405970176	Chr7B	393676347	407656348	52	0.9995192307692308
Chr7B	408568404	419042240	Chr7B	410211517	420856774	45	0.9998000000000001
Chr7B	421064524	541167218	Chr7B	422835628	544158863	777	0.9981377091377093
Chr7B	543188151	697614478	Chr7B	546217270	705910017	1089	0.994969696969697
Chr7B	699830319	708674177	Chr7B	708739397	718009505	108	0.9934999999999999
Chr7B	710991630	733529020	Chr7B	719880370	742774588	209	0.9876267942583732
Chr7B	747831681	750604265	Chr7B	753984807	756312674	19	0.9670526315789472
