gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity	segment
gene:TraesCS7D02G000100	Chr7D	207994	212443	-	210218	Chr7D	25554	29963	-	27758	0.99	0.985	rearrangement:Chr7D_block1
gene:TraesCS7D02G000300	Chr7D	337014	337852	+	337433	Chr7D	135218	136058	+	135638	1.0	0.992	rearrangement:Chr7D_block1
gene:TraesCS7D02G000400	Chr7D	365927	369790	-	367858	Chr7D	200428	204260	-	202344	0.975	0.942	rearrangement:Chr7D_block1
gene:TraesCS7D02G001600	Chr7D	1307798	1322611	+	1315204	Chr7D	995660	1008129	+	1001894	0.997	0.982	rearrangement:Chr7D_block1
gene:TraesCS7D02G001700	Chr7D	1325206	1326414	+	1325810	Chr7D	1010710	1011906	+	1011308	0.974	0.956	rearrangement:Chr7D_block1
gene:TraesCS7D02G001900	Chr7D	1414178	1419505	-	1416841	Chr7D	1156079	1162425	-	1159252	0.999	0.983	rearrangement:Chr7D_block1
gene:TraesCS7D02G002000	Chr7D	1464750	1466388	+	1465569	Chr7D	1323860	1325496	+	1324678	1.0	0.983	rearrangement:Chr7D_block1
gene:TraesCS7D02G002200	Chr7D	1526751	1528100	-	1527425	Chr7D	1408015	1409361	-	1408688	0.996	0.991	rearrangement:Chr7D_block1
gene:TraesCS7D02G002300	Chr7D	1534747	1535478	-	1535112	Chr7D	1416204	1416935	-	1416569	1.0	0.997	rearrangement:Chr7D_block1
gene:TraesCS7D02G002500	Chr7D	1570744	1572074	+	1571409	Chr7D	1452268	1453705	+	1452986	0.996	0.902	rearrangement:Chr7D_block1
gene:TraesCS7D02G002600	Chr7D	1704704	1711943	+	1708323	Chr7D	1566387	1573591	+	1569989	0.999	0.996	rearrangement:Chr7D_block1
gene:TraesCS7D02G002700	Chr7D	1751649	1754214	-	1752931	Chr7D	1603627	1606241	-	1604934	0.996	0.965	rearrangement:Chr7D_block1
gene:TraesCS7D02G002900	Chr7D	1936973	1942310	+	1939641	Chr7D	1972312	1977648	-	1974980	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D02G003000	Chr7D	1959040	1964911	+	1961975	Chr7D	1950168	1956021	-	1953094	0.997	0.994	rearrangement:Chr7D_block1
gene:TraesCS7D02G003100	Chr7D	1965031	1970237	-	1967634	Chr7D	1944842	1950048	+	1947445	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D02G003200	Chr7D	1973142	1981328	+	1977235	Chr7D	1933733	1941939	-	1937836	0.991	0.972	rearrangement:Chr7D_block1
gene:TraesCS7D02G003300	Chr7D	1986645	1992835	-	1989740	Chr7D	1922228	1928441	+	1925334	0.999	0.996	rearrangement:Chr7D_block1
gene:TraesCS7D02G003400	Chr7D	1998582	1999994	-	1999288	Chr7D	1894770	1896191	+	1895480	0.997	0.985	rearrangement:Chr7D_block1
gene:TraesCS7D02G003500	Chr7D	2036060	2038960	-	2037510	Chr7D	1857536	1860434	+	1858985	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D02G003600	Chr7D	2047752	2049425	-	2048588	Chr7D	1847339	1849006	+	1848172	0.996	0.987	rearrangement:Chr7D_block1
gene:TraesCS7D02G003900	Chr7D	2142514	2143936	+	2143225	Chr7D	1821429	1822862	-	1822145	0.977	0.954	rearrangement:Chr7D_block1
gene:TraesCS7D02G004000	Chr7D	2235620	2241146	-	2238383	Chr7D	2175855	2181412	-	2178633	0.991	0.964	rearrangement:Chr7D_block1
gene:TraesCS7D02G004100	Chr7D	2242085	2245380	-	2243732	Chr7D	2182733	2185840	-	2184286	0.919	0.912	rearrangement:Chr7D_block1
gene:TraesCS7D02G004200	Chr7D	2248702	2249668	+	2249185	Chr7D	2189800	2190766	+	2190283	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D02G004300	Chr7D	2250254	2254442	-	2252348	Chr7D	2191352	2195551	-	2193451	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D02G004400	Chr7D	2325194	2330620	+	2327907	Chr7D	2302369	2307794	+	2305081	1.0	0.998	rearrangement:Chr7D_block1
gene:TraesCS7D02G004500	Chr7D	2343513	2353612	+	2348562	Chr7D	2323225	2333352	+	2328288	0.999	0.983	rearrangement:Chr7D_block1
gene:TraesCS7D02G004600	Chr7D	2353898	2359909	-	2356903	Chr7D	2333638	2339692	-	2336665	0.998	0.952	rearrangement:Chr7D_block1
gene:TraesCS7D02G004700	Chr7D	2408139	2411770	+	2409954	Chr7D	2410463	2414078	+	2412270	0.995	0.995	rearrangement:Chr7D_block1
gene:TraesCS7D02G004800	Chr7D	2427251	2431409	+	2429330	Chr7D	2423327	2427485	+	2425406	0.999	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D02G004900	Chr7D	2440200	2443573	-	2441886	Chr7D	2436170	2439543	-	2437856	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D02G005000	Chr7D	2492240	2496883	-	2494561	Chr7D	2484402	2489045	-	2486723	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D02G005200	Chr7D	2519481	2522487	-	2520984	Chr7D	2511403	2514407	-	2512905	1.0	0.997	rearrangement:Chr7D_block1
gene:TraesCS7D02G005300	Chr7D	2565943	2567411	-	2566677	Chr7D	2574492	2575960	-	2575226	1.0	0.996	rearrangement:Chr7D_block1
gene:TraesCS7D02G005400	Chr7D	2606095	2611826	-	2608960	Chr7D	2614544	2620276	-	2617410	1.0	0.998	rearrangement:Chr7D_block1
