cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr7D	210218	13715039	Chr7D	27758	14122633	204	0.9867647058823529
Chr7D	14421585	16924739	Chr7D	16004224	18900750	40	0.9981500000000001
Chr7D	16997088	277735513	Chr7D	20011130	289797821	2388	0.9989292294807371
Chr7D	282874482	285683864	Chr7D	294959075	297780477	5	0.9865999999999999
Chr7D	287902401	307163278	Chr7D	299973521	322029894	41	0.9991463414634147
Chr7D	309504249	313709460	Chr7D	324361517	328540933	11	1.0
Chr7D	318812712	321972400	Chr7D	330705577	333845095	6	1.0
Chr7D	324339077	340299388	Chr7D	336217028	352124682	19	0.9996842105263157
Chr7D	342405820	631639611	Chr7D	354181810	653083100	2423	0.9992414362360709
Chr7D	634411530	638667898	Chr7D	653136657	657425818	55	0.9993272727272727
Chr7D	631685822	634250994	Chr7D	657584351	660125952	70	0.9989285714285714
