cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr2A	260548731	262579565	Chr2A	250877102	252972563	7	0.9995714285714286
Chr2A	265274570	273294992	Chr2A	240948882	249678258	15	0.9971333333333331
Chr2A	275352399	278919157	Chr2A	235257663	238783714	18	0.9962777777777778
Chr2A	335804688	338546598	Chr2A	329772316	332630830	19	0.9951052631578946
Chr2A	342544978	348246088	Chr2A	357608766	363286304	10	0.9953
Chr2A	354530162	358948890	Chr2A	346753556	351207825	5	0.998
Chr2A	360420161	361383116	Chr2A	369470604	370472448	6	0.9975
Chr2A	1164542	233473266	Chr2A	403908	234432619	2076	0.9961045279383429
Chr2A	255910505	257868596	Chr2A	255785402	257679875	7	0.9972857142857142
Chr2A	278994740	281746218	Chr2A	279572186	282338094	5	0.9986
Chr2A	283944564	286439768	Chr2A	284590731	287179804	5	0.9966000000000002
Chr2A	288988301	293951072	Chr2A	289699152	294537643	7	0.9911428571428572
Chr2A	300399162	306682759	Chr2A	301385083	307806105	7	0.9960000000000001
Chr2A	309689781	315039543	Chr2A	310786060	317613681	7	0.9932857142857143
Chr2A	317947462	324619894	Chr2A	320454190	327199826	12	0.9951666666666666
Chr2A	331195967	335394528	Chr2A	332991143	337203521	10	0.9884000000000001
Chr2A	340608829	341927845	Chr2A	344579752	346210163	3	0.9983333333333334
Chr2A	349721260	353475914	Chr2A	352265160	356129306	9	0.9956666666666667
Chr2A	364470917	366720526	Chr2A	364601304	367003498	6	0.9981666666666666
Chr2A	369216145	395710262	Chr2A	372889759	398929421	91	0.9963186813186812
Chr2A	398464297	398971793	Chr2A	403403398	403881406	4	0.99525
Chr2A	405468040	486499474	Chr2A	408596010	489486582	269	0.9968438661710037
Chr2A	488847564	547776466	Chr2A	491804647	549747947	315	0.9961809523809525
Chr2A	563258647	567735681	Chr2A	566229159	570732026	33	0.9981818181818181
Chr2A	582840575	761027623	Chr2A	584737754	764921685	1980	0.9966939393939395
Chr2A	770249791	775016614	Chr2A	772685785	777700740	60	0.9966166666666667
Chr2A	549288612	563202760	Chr2A	570777733	584422976	102	0.9947549019607843
Chr2A	775065176	780777724	Chr2A	765251578	772637766	77	0.9709610389610387
