cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr6B	3723712	4943864	Chr6B	7173232	8512698	18	0.9713888888888891
Chr6B	306799030	316606704	Chr6B	299684656	309940477	23	0.998695652173913
Chr6B	168584	730216	Chr6B	9224126	10130254	11	0.9874545454545456
Chr6B	3870829	3888735	Chr6B	8274512	8418715	3	0.9363333333333334
Chr6B	6029910	103962989	Chr6B	10424534	116241601	971	0.995188465499485
Chr6B	106474316	109142658	Chr6B	119594724	121999015	6	0.9876666666666667
Chr6B	112900406	240401733	Chr6B	128042881	258803233	742	0.993754716981132
Chr6B	243269422	252842611	Chr6B	261761090	271304907	27	0.9977777777777777
Chr6B	255004953	262472341	Chr6B	273457250	281130238	31	0.9929999999999999
Chr6B	274210524	282983990	Chr6B	281854496	290378292	39	0.996025641025641
Chr6B	286712737	291066228	Chr6B	294214617	298651478	21	0.9955714285714286
Chr6B	295767133	302596217	Chr6B	314659292	322750515	24	0.9960833333333334
Chr6B	317213268	321293096	Chr6B	330624207	334690952	11	0.9954545454545456
Chr6B	341712366	343111521	Chr6B	354712942	356080316	5	0.9949999999999999
Chr6B	367661348	374970725	Chr6B	380873364	388209715	12	0.9990833333333334
Chr6B	410234328	416675606	Chr6B	422895681	429256360	22	0.9990454545454545
Chr6B	431701599	441049080	Chr6B	440617692	451722137	49	0.9981836734693877
Chr6B	444540716	479000671	Chr6B	455231725	489393637	172	0.9958779069767442
Chr6B	493318567	499578091	Chr6B	506035717	513687693	31	0.9995483870967741
Chr6B	516078619	620708761	Chr6B	528459467	635714489	653	0.9976171516079634
Chr6B	622726250	626889431	Chr6B	637649138	641726035	35	0.9916
Chr6B	630465748	720953306	Chr6B	644229938	740698169	972	0.9928343621399177
Chr6B	479080248	492494740	Chr6B	514505377	528144467	59	0.9917966101694916
Chr6B	499893180	515582492	Chr6B	490187163	505728743	99	0.998959595959596
