cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr2B	10698	8291789	Chr2B	2006692	12163872	151	0.9935960264900663
Chr2B	11180525	123101136	Chr2B	12213076	132386883	1143	0.9948792650918634
Chr2B	129392470	202920401	Chr2B	133545281	207064196	563	0.9967460035523981
Chr2B	205644786	240314058	Chr2B	207163259	241712412	206	0.9983543689320389
Chr2B	242536523	270216010	Chr2B	243911256	277044313	129	1.0
Chr2B	272550652	290521601	Chr2B	279387474	297527913	27	0.9998888888888889
Chr2B	298159381	303097333	Chr2B	297981320	302880705	9	0.9997777777777777
Chr2B	305321036	318205778	Chr2B	305403352	318658789	16	1.0
Chr2B	320343927	333044217	Chr2B	320820799	335112115	21	1.0
Chr2B	335510269	342279112	Chr2B	337549494	344238484	8	1.0
Chr2B	346670378	361286666	Chr2B	347971632	365334735	55	1.0
Chr2B	366015710	374802272	Chr2B	365507146	374237469	41	0.9992682926829268
Chr2B	379832912	793530997	Chr2B	378995279	792574080	3059	0.9934903563255966
Chr2B	797110585	801220480	Chr2B	792848478	799732650	24	0.9537916666666666
