cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr5B	18796	1579566	Chr5B	7817576	9457180	9	0.989
Chr5B	6219225	142836313	Chr5B	11355154	159147396	967	0.9981230610134436
Chr5B	145478627	149330732	Chr5B	159788886	163663626	20	0.9998000000000001
Chr5B	152509380	167292122	Chr5B	166028205	185903022	25	1.0
Chr5B	169679679	192869298	Chr5B	188558298	213050807	35	0.9970285714285717
Chr5B	196237920	198419112	Chr5B	217024498	219163061	6	1.0
Chr5B	201287121	216846297	Chr5B	225228863	241748764	51	0.9990588235294118
Chr5B	219089253	236283952	Chr5B	242677671	259727675	69	0.9997971014492755
Chr5B	238316269	257532817	Chr5B	261739836	280813501	80	0.999875
Chr5B	259539413	341562322	Chr5B	282787937	365204294	507	0.9995719921104537
Chr5B	343826709	412688052	Chr5B	367421363	436072097	428	0.9990911214953271
Chr5B	414828778	700236718	Chr5B	436531670	719289592	2755	0.9918497277676952
Chr5B	704074687	713118452	Chr5B	719568446	727733001	145	0.9920137931034482
