cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr1B	15171325	29492353	Chr1B	17235535	34069824	152	0.9871118421052631
Chr1B	31858804	76138867	Chr1B	34943118	84525550	285	0.9910175438596494
Chr1B	80845990	85441230	Chr1B	91527657	96106163	15	0.99
Chr1B	87732453	123973559	Chr1B	98262820	138863027	189	0.9914761904761905
Chr1B	129176801	154596988	Chr1B	138987512	167000433	142	0.9923802816901409
Chr1B	157900580	197428712	Chr1B	167701216	207350162	156	0.998076923076923
Chr1B	199573205	218433567	Chr1B	208375276	231335323	33	0.9976060606060606
Chr1B	220753045	223795187	Chr1B	233996596	237033674	6	0.9983333333333332
Chr1B	225799645	231641237	Chr1B	239017043	245010003	9	0.9981111111111112
Chr1B	234252905	243089038	Chr1B	247624832	259903312	14	0.9982857142857143
Chr1B	249627643	251019703	Chr1B	268497855	270251453	3	0.997
Chr1B	262532602	266264632	Chr1B	283589645	287349034	22	0.9989999999999999
Chr1B	282129206	289694136	Chr1B	303664574	311149308	33	0.9986969696969697
Chr1B	292349050	292418271	Chr1B	313763538	313772661	3	0.9923333333333333
Chr1B	294946215	303225104	Chr1B	316204849	324763180	40	0.998725
Chr1B	307004229	317917199	Chr1B	329231883	339939280	40	0.994025
Chr1B	322108938	346402902	Chr1B	340868812	368813623	152	0.996046052631579
Chr1B	348488829	682025360	Chr1B	370849540	708555157	2554	0.994605716523101
