cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr1A	6762504	9469405	Chr1A	10498394	12972655	53	0.9861509433962262
Chr1A	2540724	6562242	Chr1A	7418108	10365694	32	0.9684999999999999
Chr1A	9361476	159522669	Chr1A	13810200	169999361	1008	0.9957668650793651
Chr1A	161671479	177484497	Chr1A	172171447	187923890	31	0.9998064516129033
Chr1A	179530042	182122609	Chr1A	190021668	192595879	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	195381722	203926073	12	0.9999166666666667
Chr1A	200578799	202086777	Chr1A	211096733	212591090	5	1.0
Chr1A	204319371	209358469	Chr1A	214790465	219773941	7	0.9989999999999999
Chr1A	212017564	410154980	Chr1A	222287464	424317048	915	0.9963398907103824
Chr1A	412459137	420515127	Chr1A	426693687	435268587	23	0.996478260869565
Chr1A	423163477	547507742	Chr1A	437079196	560581656	1226	0.9944437194127244
Chr1A	557191647	562118438	Chr1A	572020694	577069732	68	0.9940588235294117
Chr1A	571987978	592994025	Chr1A	587403871	609189773	303	0.993970297029703
Chr1A	547864454	557155264	Chr1A	577092270	587119617	159	0.9949811320754717
Chr1A	562318942	571894847	Chr1A	560748094	571824036	131	0.9936183206106869
