gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity	segment
gene:TraesCS3B02G016600	Chr3B	6945399	6945875	+	6945637	Chr3B	10641678	10642154	-	10641916	1.0	1.0	collinear
gene:TraesCS3B02G016700	Chr3B	6951445	6952122	+	6951783	Chr3B	10635373	10636050	-	10635711	1.0	1.0	collinear
gene:TraesCS3B02G016800	Chr3B	6956995	6958436	+	6957715	Chr3B	10628201	10629643	-	10628922	1.0	0.997	collinear
gene:TraesCS3B02G016900	Chr3B	6961765	6963273	-	6962519	Chr3B	10623362	10624870	+	10624116	1.0	0.993	collinear
gene:TraesCS3B02G017000	Chr3B	6966996	6968352	+	6967674	Chr3B	10618283	10619639	-	10618961	1.0	0.995	collinear
gene:TraesCS3B02G017100	Chr3B	7063270	7069210	-	7066240	Chr3B	10460671	10466614	+	10463642	0.999	0.995	collinear
gene:TraesCS3B02G017200	Chr3B	7073390	7077378	+	7075384	Chr3B	10452504	10456490	-	10454497	0.999	0.995	collinear
gene:TraesCS3B02G055600	Chr3B	29378551	29381248	+	29379899	Chr3B	37534440	37537137	+	37535788	1.0	0.999	collinear
gene:TraesCS3B02G055700	Chr3B	29415739	29418921	-	29417330	Chr3B	37571459	37574641	-	37573050	1.0	1.0	collinear
gene:TraesCS3B02G055800	Chr3B	29496961	29498628	-	29497794	Chr3B	37647373	37649040	-	37648206	1.0	1.0	collinear
gene:TraesCS3B02G055835	Chr3B	29521586	29530365	-	29525975	Chr3B	37672006	37680534	-	37676270	1.0	1.0	collinear
gene:TraesCS3B02G055900	Chr3B	29591160	29594234	-	29592697	Chr3B	37741323	37744397	-	37742860	1.0	1.0	collinear
gene:TraesCS3B02G056000	Chr3B	29606791	29611711	+	29609251	Chr3B	37756899	37761820	+	37759359	1.0	1.0	collinear
gene:TraesCS3B02G056100	Chr3B	29614087	29629692	+	29621889	Chr3B	37764037	37779332	+	37771684	1.0	1.0	collinear
gene:TraesCS3B02G056500	Chr3B	29712085	29719237	+	29715661	Chr3B	37861550	37868702	+	37865126	1.0	1.0	collinear
gene:TraesCS3B02G056600	Chr3B	29721933	29735756	+	29728844	Chr3B	37871398	37885219	+	37878308	1.0	1.0	collinear
gene:TraesCS3B02G056900	Chr3B	29756016	29758858	+	29757437	Chr3B	37905289	37908131	+	37906710	1.0	1.0	collinear
gene:TraesCS3B02G057000	Chr3B	29774697	29783219	+	29778958	Chr3B	37922376	37930898	+	37926637	1.0	0.999	collinear
gene:TraesCS3B02G057700	Chr3B	30089884	30092989	-	30091436	Chr3B	38442004	38444946	+	38443475	0.99	0.9	collinear
gene:TraesCS3B02G057800	Chr3B	30135043	30135924	+	30135483	Chr3B	37837465	37838342	+	37837903	0.993	0.921	collinear
gene:TraesCS3B02G059017	Chr3B	30529120	30534524	+	30531822	Chr3B	38802438	38807086	+	38804762	0.996	0.97	collinear
gene:TraesCS3B02G059200	Chr3B	30907821	30908402	-	30908111	Chr3B	39153108	39153689	-	39153398	1.0	0.987	collinear
gene:TraesCS3B02G059300	Chr3B	31058376	31059986	+	31059181	Chr3B	39278440	39280050	+	39279245	1.0	0.996	collinear
gene:TraesCS3B02G059400	Chr3B	31062459	31063272	-	31062865	Chr3B	39282519	39283332	-	39282925	1.0	0.998	collinear
gene:TraesCS3B02G059500	Chr3B	31066580	31068297	-	31067438	Chr3B	39286393	39288110	-	39287251	1.0	1.0	collinear
gene:TraesCS3B02G059600	Chr3B	31098466	31100383	-	31099424	Chr3B	39414495	39416106	-	39415300	0.993	0.985	collinear
gene:TraesCS3B02G059900	Chr3B	31788992	31789585	+	31789288	Chr3B	39984412	39985005	+	39984708	1.0	1.0	collinear
gene:TraesCS3B02G060100	Chr3B	31812867	31813800	-	31813333	Chr3B	40025756	40026689	-	40026222	1.0	0.991	collinear
gene:TraesCS3B02G060300	Chr3B	31992337	31994065	+	31993201	Chr3B	40282638	40284395	+	40283516	1.0	0.994	collinear
gene:TraesCS3B02G060400	Chr3B	32276964	32278433	+	32277698	Chr3B	40568708	40570175	+	40569441	0.997	0.98	collinear
gene:TraesCS3B02G060500	Chr3B	32285208	32288072	-	32286640	Chr3B	40573756	40576620	-	40575188	1.0	0.999	collinear
gene:TraesCS3B02G060600	Chr3B	32456596	32460581	+	32458588	Chr3B	40744818	40748700	+	40746759	1.0	0.999	collinear
gene:TraesCS3B02G060700	Chr3B	32596333	32596728	-	32596530	Chr3B	40863953	40864346	-	40864149	0.994	0.992	collinear
gene:TraesCS3B02G060800	Chr3B	32617967	32618813	+	32618390	Chr3B	40885390	40886236	+	40885813	1.0	0.994	collinear
gene:TraesCS3B02G060900	Chr3B	32732944	32733399	-	32733171	Chr3B	40993648	40994103	-	40993875	1.0	0.997	collinear
gene:TraesCS3B02G061000	Chr3B	32747385	32749461	-	32748423	Chr3B	41007347	41009423	-	41008385	1.0	0.996	collinear
gene:TraesCS3B02G061400	Chr3B	33298626	33299087	-	33298856	Chr3B	42008788	42009249	-	42009018	1.0	0.993	collinear
gene:TraesCS3B02G061500	Chr3B	33333715	33334167	-	33333941	Chr3B	42026563	42027015	-	42026789	1.0	0.993	collinear
gene:TraesCS3B02G061600	Chr3B	33485378	33486334	+	33485856	Chr3B	42151866	42152822	+	42152344	1.0	0.968	collinear
gene:TraesCS3B02G061700	Chr3B	33955369	33956554	+	33955961	Chr3B	42587662	42588847	+	42588254	1.0	0.993	collinear
gene:TraesCS3B02G061800	Chr3B	34009491	34011318	-	34010404	Chr3B	42635382	42637212	-	42636297	1.0	0.991	collinear
gene:TraesCS3B02G061900	Chr3B	34012476	34012846	+	34012661	Chr3B	42638087	42638456	+	42638271	0.996	0.988	collinear
gene:TraesCS3B02G062100	Chr3B	34107519	34107889	+	34107704	Chr3B	43518352	43518722	+	43518537	1.0	0.946	collinear
gene:TraesCS3B02G062200	Chr3B	34149770	34151482	-	34150626	Chr3B	43672329	43674026	-	43673177	0.991	0.984	collinear
gene:TraesCS3B02G062300	Chr3B	34158361	34158731	+	34158546	Chr3B	43645846	43646216	+	43646031	1.0	1.0	collinear
gene:TraesCS3B02G062400	Chr3B	34194781	34198523	-	34196652	Chr3B	43637443	43639049	-	43638246	0.99	0.978	collinear
gene:TraesCS3B02G062500	Chr3B	34214240	34214610	+	34214425	Chr3B	43680809	43681179	+	43680994	1.0	0.996	collinear
gene:TraesCS3B02G062600	Chr3B	34465986	34467232	-	34466609	Chr3B	43909338	43910584	-	43909961	1.0	1.0	collinear
gene:TraesCS3B02G062700	Chr3B	34522061	34522513	-	34522287	Chr3B	43970381	43970833	-	43970607	1.0	0.997	collinear
gene:TraesCS3B02G062800	Chr3B	35037705	35038052	+	35037878	Chr3B	44861811	44862158	-	44861984	1.0	0.994	collinear
gene:TraesCS3B02G062900	Chr3B	35119171	35119518	+	35119344	Chr3B	44992719	44993066	-	44992892	1.0	0.994	collinear
gene:TraesCS3B02G063000	Chr3B	35212403	35212750	+	35212576	Chr3B	44292191	44292538	-	44292364	1.0	0.988	collinear
gene:TraesCS3B02G063100	Chr3B	35288587	35288934	+	35288760	Chr3B	44769618	44769965	-	44769791	1.0	0.997	collinear
gene:TraesCS3B02G063200	Chr3B	35461914	35462261	+	35462087	Chr3B	44598918	44599265	-	44599091	1.0	1.0	collinear
gene:TraesCS3B02G063300	Chr3B	35517977	35518273	+	35518125	Chr3B	44560404	44560700	-	44560552	1.0	0.969	collinear
gene:TraesCS3B02G063400	Chr3B	35574124	35574471	+	35574297	Chr3B	44058403	44058750	-	44058576	1.0	0.991	collinear
gene:TraesCS3B02G063500	Chr3B	35640294	35640641	+	35640467	Chr3B	44118562	44118909	-	44118735	1.0	0.994	collinear
gene:TraesCS3B02G063600	Chr3B	35697822	35698169	+	35697995	Chr3B	44323976	44324323	-	44324149	1.0	0.994	collinear
gene:TraesCS3B02G063700	Chr3B	35701446	35701793	+	35701619	Chr3B	44320357	44320704	-	44320530	1.0	0.988	collinear
gene:TraesCS3B02G063800	Chr3B	35732236	35732532	+	35732384	Chr3B	44331823	44332119	-	44331971	1.0	0.983	collinear
gene:TraesCS3B02G064000	Chr3B	35769759	35770106	+	35769932	Chr3B	44295810	44296157	-	44295983	1.0	0.994	collinear
gene:TraesCS3B02G064100	Chr3B	35773298	35774035	+	35773666	Chr3B	44255175	44255905	-	44255540	0.99	0.976	collinear
gene:TraesCS3B02G064400	Chr3B	35839140	35839487	+	35839313	Chr3B	44379832	44380179	-	44380005	1.0	0.902	collinear
gene:TraesCS3B02G064500	Chr3B	35873903	35876936	-	35875419	Chr3B	45400803	45403824	-	45402313	0.992	0.992	collinear
gene:TraesCS3B02G064600	Chr3B	36464360	36467871	-	36466115	Chr3B	45961252	45964765	-	45963008	1.0	0.996	collinear
gene:TraesCS3B02G064700	Chr3B	36542350	36544671	-	36543510	Chr3B	46037865	46040186	-	46039025	1.0	0.996	collinear
gene:TraesCS3B02G064800	Chr3B	37250238	37256456	+	37253347	Chr3B	46639252	46645470	+	46642361	1.0	0.998	collinear
gene:TraesCS3B02G064900	Chr3B	37970741	37971811	+	37971276	Chr3B	47459431	47460516	+	47459973	1.0	0.982	collinear
