cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr5A	389369644	393748609	Chr5A	397757855	402162710	35	1.0
Chr5A	398904383	402418874	Chr5A	389056861	392580240	26	0.9991923076923077
Chr5A	424730121	425709321	Chr5A	429656560	430640620	14	1.0
Chr5A	14293	62409843	Chr5A	14293	60528080	566	0.9996554770318022
Chr5A	65256920	152899436	Chr5A	63377052	151734470	404	0.9993886138613862
Chr5A	156754150	160718182	Chr5A	155555039	159534199	13	1.0
Chr5A	163084098	171972235	Chr5A	161914114	170848678	23	0.9999565217391305
Chr5A	174235485	182449906	Chr5A	173117926	180994113	13	0.9996153846153846
Chr5A	184871905	187078746	Chr5A	183430057	185651119	4	1.0
Chr5A	192446609	200581324	Chr5A	191038029	199222973	16	1.0
Chr5A	204816399	224020772	Chr5A	203479442	222599127	33	0.9997878787878789
Chr5A	226098410	251028605	Chr5A	224689467	250562794	62	0.9999516129032258
Chr5A	254547841	388822412	Chr5A	253597688	388640539	645	0.9997736434108526
Chr5A	393980484	398232191	Chr5A	393253490	397525225	44	1.0
Chr5A	402685543	713262807	Chr5A	402540994	709675600	3488	0.9996247133027523
