cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr2B	31439	5865626	Chr2B	7436144	11087368	80	0.9998875
Chr2B	11228839	11728956	Chr2B	1330717	1832828	17	0.9998823529411766
Chr2B	2344217	2963150	Chr2B	10698	811011	12	1.0
Chr2B	6456600	248272484	Chr2B	1173040	240314058	2216	0.9996863718411554
Chr2B	250482935	263454058	Chr2B	242536523	255576141	96	0.9998854166666667
Chr2B	304188148	304609294	Chr2B	298159381	298577536	5	1.0
Chr2B	307417042	310240678	Chr2B	300257767	303097333	4	1.0
Chr2B	375741931	380789543	Chr2B	368956760	374000153	22	0.9997272727272727
Chr2B	388485286	810240350	Chr2B	379832912	801254636	3372	0.9997369513641756
Chr2B	810667768	811874445	Chr2B	794410912	795425707	34	0.9999411764705883
Chr2B	812200821	812719815	Chr2B	793579729	794110760	17	0.9997647058823531
