gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity
gene:TraesCS2B03G0009200	Chr2B	2344071	2344364	+	2344217	Chr2B	810865	811158	-	811011	1.0	1.0
gene:TraesCS2B03G0009700	Chr2B	2520260	2520661	-	2520460	Chr2B	632838	633239	+	633038	1.0	1.0
gene:TraesCS2B03G0009900	Chr2B	2672857	2674541	-	2673699	Chr2B	477194	478878	+	478036	1.0	1.0
gene:TraesCS2B03G0010000	Chr2B	2678638	2681094	-	2679866	Chr2B	470641	473097	+	471869	1.0	1.0
gene:TraesCS2B03G0010300	Chr2B	2698016	2703512	+	2700764	Chr2B	447781	453531	-	450656	1.0	1.0
gene:TraesCS2B03G0010400	Chr2B	2717986	2718723	-	2718354	Chr2B	432358	433095	+	432726	1.0	1.0
gene:TraesCS2B03G0010600	Chr2B	2829446	2831107	+	2830276	Chr2B	317841	319502	-	318671	1.0	1.0
gene:TraesCS2B03G0010700	Chr2B	2843172	2844740	+	2843956	Chr2B	303826	305394	-	304610	1.0	1.0
gene:TraesCS2B03G0010800	Chr2B	2882010	2883720	-	2882865	Chr2B	9843	11553	-	10698	1.0	1.0
gene:TraesCS2B03G0010900	Chr2B	2892074	2894736	+	2893405	Chr2B	19907	22569	+	21238	1.0	1.0
gene:TraesCS2B03G0011100	Chr2B	2935121	2936823	+	2935972	Chr2B	63870	65572	+	64721	1.0	1.0
gene:TraesCS2B03G0011300	Chr2B	2962930	2963370	+	2963150	Chr2B	91679	92119	+	91899	1.0	1.0
gene:TraesCS2B03G0022400	Chr2B	6456104	6457096	-	6456600	Chr2B	7160657	7161649	+	7161153	1.0	1.0
gene:TraesCS2B03G0022500	Chr2B	6468597	6470870	+	6469733	Chr2B	7146882	7149155	-	7148018	1.0	0.998
gene:TraesCS2B03G0022800	Chr2B	6498923	6502372	+	6500647	Chr2B	7112372	7115821	-	7114096	1.0	1.0
gene:TraesCS2B03G0022900	Chr2B	6504862	6505866	-	6505364	Chr2B	7108878	7109882	+	7109380	1.0	1.0
gene:TraesCS2B03G0023000	Chr2B	6532801	6533683	+	6533242	Chr2B	7081061	7081943	-	7081502	1.0	1.0
gene:TraesCS2B03G0023200	Chr2B	6545063	6548072	-	6546567	Chr2B	7066657	7069681	+	7068169	1.0	1.0
gene:TraesCS2B03G0023300	Chr2B	6570795	6571658	+	6571226	Chr2B	7043071	7043934	-	7043502	1.0	1.0
gene:TraesCS2B03G0023700	Chr2B	6627192	6628976	+	6628084	Chr2B	6985720	6987504	-	6986612	1.0	1.0
gene:TraesCS2B03G0023900	Chr2B	6655874	6658393	+	6657133	Chr2B	6956303	6958822	-	6957562	1.0	1.0
gene:TraesCS2B03G0024000	Chr2B	6699896	6701597	+	6700746	Chr2B	6913099	6914800	-	6913949	1.0	1.0
gene:TraesCS2B03G0024200	Chr2B	6713306	6714708	+	6714007	Chr2B	6899988	6901390	-	6900689	1.0	1.0
gene:TraesCS2B03G0024500	Chr2B	6787357	6789121	+	6788239	Chr2B	6825575	6827339	-	6826457	1.0	1.0
gene:TraesCS2B03G0024700	Chr2B	6821447	6822965	-	6822206	Chr2B	6791731	6793249	+	6792490	1.0	1.0
gene:TraesCS2B03G0024800	Chr2B	6835359	6837114	+	6836236	Chr2B	6777582	6779337	-	6778459	1.0	1.0
gene:TraesCS2B03G0025100	Chr2B	6863809	6865292	-	6864550	Chr2B	6749404	6750887	+	6750145	1.0	1.0
gene:TraesCS2B03G0025300	Chr2B	6882347	6883870	+	6883108	Chr2B	6730826	6732349	-	6731587	1.0	1.0
gene:TraesCS2B03G0025500	Chr2B	6886209	6888033	+	6887121	Chr2B	6726663	6728487	-	6727575	1.0	1.0
gene:TraesCS2B03G0025600	Chr2B	6894552	6896489	-	6895520	Chr2B	6718207	6720144	+	6719175	1.0	1.0
gene:TraesCS2B03G0025700	Chr2B	6898563	6903761	-	6901162	Chr2B	6710935	6716133	+	6713534	1.0	1.0
gene:TraesCS2B03G0026100	Chr2B	7188185	7188382	-	7188283	Chr2B	6426314	6426511	+	6426412	1.0	1.0
gene:TraesCS2B03G0026200	Chr2B	7202008	7208867	-	7205437	Chr2B	6405829	6412688	+	6409258	1.0	1.0
gene:TraesCS2B03G0026300	Chr2B	7231414	7238036	-	7234725	Chr2B	6376660	6383282	+	6379971	1.0	1.0
gene:TraesCS2B03G0026600	Chr2B	7342466	7343956	+	7343211	Chr2B	6340410	6341900	-	6341155	1.0	1.0
gene:TraesCS2B03G0026500	Chr2B	7342428	7347675	-	7345051	Chr2B	6336691	6341938	+	6339314	1.0	1.0
gene:TraesCS2B03G0026800	Chr2B	7368058	7373714	+	7370886	Chr2B	6310652	6316308	-	6313480	1.0	1.0
gene:TraesCS2B03G0026900	Chr2B	7374744	7376852	-	7375798	Chr2B	6307514	6309622	+	6308568	1.0	1.0
gene:TraesCS2B03G0027000	Chr2B	7384257	7389466	+	7386861	Chr2B	6294900	6300109	-	6297504	1.0	1.0
gene:TraesCS2B03G0027200	Chr2B	7418327	7421421	+	7419874	Chr2B	6262945	6266039	-	6264492	1.0	1.0
gene:TraesCS2B03G0027300	Chr2B	7423234	7427119	-	7425176	Chr2B	6257247	6261132	+	6259189	1.0	1.0
gene:TraesCS2B03G0027400	Chr2B	7430644	7430993	-	7430818	Chr2B	6253373	6253722	+	6253547	1.0	1.0
gene:TraesCS2B03G0027500	Chr2B	7457794	7474452	+	7466123	Chr2B	6209914	6226572	-	6218243	1.0	1.0
gene:TraesCS2B03G0027600	Chr2B	7480197	7485085	+	7482641	Chr2B	6199281	6204169	-	6201725	1.0	1.0
gene:TraesCS2B03G0027700	Chr2B	7488542	7503846	+	7496194	Chr2B	6180152	6195824	-	6187988	1.0	1.0
gene:TraesCS2B03G0027800	Chr2B	7503853	7505322	-	7504587	Chr2B	6178676	6180145	+	6179410	1.0	1.0
gene:TraesCS2B03G0027900	Chr2B	7523936	7527616	+	7525776	Chr2B	6156177	6159857	-	6158017	1.0	1.0
gene:TraesCS2B03G0028000	Chr2B	7543649	7547126	+	7545387	Chr2B	6136516	6139993	-	6138254	1.0	0.998
gene:TraesCS2B03G0028100	Chr2B	7550450	7550846	-	7550648	Chr2B	6132796	6133192	+	6132994	1.0	1.0
gene:TraesCS2B03G0028300	Chr2B	7608181	7613666	+	7610923	Chr2B	6069407	6074892	-	6072149	1.0	1.0
gene:TraesCS2B03G0028400	Chr2B	7623099	7624529	+	7623814	Chr2B	6058237	6059667	-	6058952	1.0	1.0
gene:TraesCS2B03G0028700	Chr2B	7643082	7646942	+	7645012	Chr2B	6035821	6039681	-	6037751	1.0	1.0
gene:TraesCS2B03G0028900	Chr2B	7658092	7659718	-	7658905	Chr2B	6022757	6024383	+	6023570	1.0	1.0
gene:TraesCS2B03G0029000	Chr2B	7693007	7694798	-	7693902	Chr2B	6004747	6006538	+	6005642	1.0	1.0
gene:TraesCS2B03G0029100	Chr2B	7701267	7705799	-	7703533	Chr2B	5993745	5998277	+	5996011	1.0	1.0
gene:TraesCS2B03G0029200	Chr2B	7868819	7869526	+	7869172	Chr2B	5828065	5828772	-	5828418	1.0	1.0
gene:TraesCS2B03G0029300	Chr2B	7872274	7875518	-	7873896	Chr2B	5822073	5825317	+	5823695	1.0	1.0
gene:TraesCS2B03G0029600	Chr2B	7890473	7900384	-	7895428	Chr2B	5796815	5806855	+	5801835	1.0	1.0
gene:TraesCS2B03G0029700	Chr2B	7911010	7912109	+	7911559	Chr2B	5785090	5786189	-	5785639	1.0	1.0
gene:TraesCS2B03G0030200	Chr2B	7977648	7979453	+	7978550	Chr2B	5716685	5718490	-	5717587	1.0	1.0
gene:TraesCS2B03G0030300	Chr2B	8006235	8010811	+	8008523	Chr2B	5684671	5689444	-	5687057	1.0	1.0
gene:TraesCS2B03G0030400	Chr2B	8013387	8018171	-	8015779	Chr2B	5677311	5682095	+	5679703	1.0	1.0
gene:TraesCS2B03G0030500	Chr2B	8021978	8025987	+	8023982	Chr2B	5669062	5673071	-	5671066	1.0	1.0
gene:TraesCS2B03G0030600	Chr2B	8028120	8034668	-	8031394	Chr2B	5660528	5667076	+	5663802	1.0	1.0
