cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr7B	158364599	183070778	Chr7B	155467825	337641571	143	0.9999510489510489
Chr7B	185568431	293144785	Chr7B	171985598	278933515	416	0.9994735576923077
Chr7B	295582888	301326558	Chr7B	281386105	287166904	10	0.9998000000000001
Chr7B	304354198	321770729	Chr7B	289163500	307364806	30	0.9999666666666668
Chr7B	324796789	340645404	Chr7B	310413787	326394675	34	0.9998529411764707
Chr7B	34602	39862662	Chr7B	34838	37600615	375	0.999568
Chr7B	42034960	157786263	Chr7B	39548352	154814815	871	0.9998117106773823
Chr7B	341444503	344172727	Chr7B	337929275	340640628	8	1.0
Chr7B	346526837	393308791	Chr7B	342994491	389109218	153	0.9998562091503268
Chr7B	396179589	410599513	Chr7B	391956637	405970176	52	0.9996153846153845
Chr7B	413179671	423778078	Chr7B	408568404	419042240	45	0.9997777777777777
Chr7B	425791676	545780843	Chr7B	421064524	541167218	782	0.9996751918158568
Chr7B	547795684	763049467	Chr7B	543188151	750609249	1850	0.9998221621621622
Chr7B	706567081	706911258	Chr7B	684930907	685275084	8	1.0
Chr7B	763123529	763873968	Chr7B	743112054	743862573	20	1.0
