gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity
gene:TraesCS1A03G0000400	Chr1A	70239	89245	+	79742	Chr1A	70239	89245	+	79742	1.0	1.0
gene:TraesCS1A03G0000800	Chr1A	102794	122504	+	112649	Chr1A	102794	122504	+	112649	1.0	1.0
gene:TraesCS1A03G0001000	Chr1A	149490	154559	-	152024	Chr1A	149490	154559	-	152024	1.0	1.0
gene:TraesCS1A03G0001200	Chr1A	162313	162609	+	162461	Chr1A	162313	162609	+	162461	1.0	1.0
gene:TraesCS1A03G0001300	Chr1A	169592	169969	-	169780	Chr1A	169592	169969	-	169780	1.0	1.0
gene:TraesCS1A03G0001400	Chr1A	180175	180552	-	180363	Chr1A	180175	180552	-	180363	1.0	1.0
gene:TraesCS1A03G0001500	Chr1A	233818	245051	+	239434	Chr1A	233818	245051	+	239434	1.0	1.0
gene:TraesCS1A03G0001800	Chr1A	270605	272936	-	271770	Chr1A	270605	272936	-	271770	1.0	1.0
gene:TraesCS1A03G0002100	Chr1A	287697	287957	+	287827	Chr1A	287697	287957	+	287827	1.0	1.0
gene:TraesCS1A03G0002400	Chr1A	297266	297652	+	297459	Chr1A	297266	297652	+	297459	1.0	1.0
gene:TraesCS1A03G0002800	Chr1A	326099	326518	+	326308	Chr1A	326099	326518	+	326308	1.0	1.0
gene:TraesCS1A03G0002900	Chr1A	337960	338256	+	338108	Chr1A	337960	338256	+	338108	1.0	1.0
gene:TraesCS1A03G0003200	Chr1A	403455	403751	+	403603	Chr1A	403455	403751	+	403603	1.0	1.0
gene:TraesCS1A03G0004000	Chr1A	1142826	1144427	+	1143626	Chr1A	1144333	1145934	+	1145133	1.0	1.0
gene:TraesCS1A03G0004200	Chr1A	1157430	1161066	-	1159248	Chr1A	1159194	1162830	-	1161012	1.0	1.0
gene:TraesCS1A03G0004300	Chr1A	1161721	1166114	-	1163917	Chr1A	1163485	1167878	-	1165681	1.0	1.0
gene:TraesCS1A03G0004400	Chr1A	1168201	1175228	+	1171714	Chr1A	1170356	1177383	+	1173869	1.0	1.0
gene:TraesCS1A03G0004500	Chr1A	1186689	1188709	+	1187699	Chr1A	1188844	1190864	+	1189854	1.0	1.0
gene:TraesCS1A03G0004900	Chr1A	1207566	1210657	-	1209111	Chr1A	1209721	1212812	-	1211266	1.0	1.0
gene:TraesCS1A03G0005000	Chr1A	1226759	1227184	-	1226971	Chr1A	1228914	1229339	-	1229126	1.0	1.0
gene:TraesCS1A03G0005200	Chr1A	1230199	1236314	-	1233256	Chr1A	1232354	1238469	-	1235411	1.0	1.0
gene:TraesCS1A03G0005600	Chr1A	1334686	1346171	-	1340428	Chr1A	1336841	1348326	-	1342583	1.0	1.0
gene:TraesCS1A03G0006700	Chr1A	1570115	1571372	-	1570743	Chr1A	1565963	1567220	-	1566591	1.0	1.0
gene:TraesCS1A03G0009000	Chr1A	2567417	2577225	+	2572321	Chr1A	1657115	1666923	+	1662019	1.0	1.0
gene:TraesCS1A03G0009200	Chr1A	2579251	2580660	+	2579955	Chr1A	1668949	1670358	+	1669653	1.0	1.0
gene:TraesCS1A03G0009700	Chr1A	2599654	2609145	-	2604399	Chr1A	1689351	1698842	-	1694096	1.0	1.0
gene:TraesCS1A03G0009800	Chr1A	2632156	2645682	+	2638919	Chr1A	1721421	1734947	+	1728184	1.0	1.0
gene:TraesCS1A03G0010100	Chr1A	2702309	2725215	+	2713762	Chr1A	1792119	1815634	+	1803876	1.0	1.0
gene:TraesCS1A03G0010400	Chr1A	3066928	3068553	-	3067740	Chr1A	2161814	2163439	-	2162626	1.0	1.0
gene:TraesCS1A03G0010900	Chr1A	3089925	3090365	-	3090145	Chr1A	2184957	2185397	-	2185177	1.0	1.0
gene:TraesCS1A03G0011000	Chr1A	3105946	3108798	+	3107372	Chr1A	2200978	2203830	+	2202404	1.0	1.0
gene:TraesCS1A03G0011100	Chr1A	3134034	3141665	-	3137849	Chr1A	2229188	2236819	-	2233003	1.0	1.0
gene:TraesCS1A03G0011500	Chr1A	3196818	3197822	+	3197320	Chr1A	2291887	2292891	+	2292389	1.0	1.0
gene:TraesCS1A03G0012100	Chr1A	3281811	3283241	-	3282526	Chr1A	2377713	2379143	-	2378428	1.0	1.0
gene:TraesCS1A03G0012500	Chr1A	3295315	3297312	+	3296313	Chr1A	2391500	2393497	+	2392498	1.0	1.0
gene:TraesCS1A03G0012700	Chr1A	3341113	3344810	-	3342961	Chr1A	2437843	2441540	-	2439691	1.0	1.0
gene:TraesCS1A03G0012900	Chr1A	3377845	3384475	+	3381160	Chr1A	2474575	2481205	+	2477890	1.0	1.0
gene:TraesCS1A03G0013000	Chr1A	3397757	3421936	+	3409846	Chr1A	2495190	2519369	+	2507279	1.0	1.0
gene:TraesCS1A03G0013100	Chr1A	3442853	3443320	-	3443086	Chr1A	2540491	2540958	-	2540724	1.0	1.0
gene:TraesCS1A03G0013200	Chr1A	3453009	3471508	+	3462258	Chr1A	2550647	2569820	+	2560233	1.0	1.0
gene:TraesCS1A03G0013400	Chr1A	3543536	3549092	-	3546314	Chr1A	2642460	2648016	-	2645238	1.0	1.0
gene:TraesCS1A03G0013600	Chr1A	3563033	3568128	-	3565580	Chr1A	2661957	2667052	-	2664504	1.0	1.0
gene:TraesCS1A03G0013800	Chr1A	3736743	3743503	-	3740123	Chr1A	2837094	2843854	-	2840474	1.0	1.0
gene:TraesCS1A03G0013900	Chr1A	3747551	3750600	+	3749075	Chr1A	2847902	2850951	+	2849426	1.0	1.0
gene:TraesCS1A03G0014300	Chr1A	3927688	3931188	+	3929438	Chr1A	2934676	2938176	+	2936426	1.0	1.0
gene:TraesCS1A03G0014400	Chr1A	3927688	3931514	+	3929601	Chr1A	2934676	2938502	+	2936589	1.0	1.0
gene:TraesCS1A03G0014500	Chr1A	3935056	3938039	+	3936547	Chr1A	2942044	2945027	+	2943535	1.0	1.0
gene:TraesCS1A03G0014600	Chr1A	3968199	3969779	+	3968989	Chr1A	2975187	2976767	+	2975977	1.0	1.0
gene:TraesCS1A03G0014800	Chr1A	3971915	3974133	-	3973024	Chr1A	2978903	2981121	-	2980012	1.0	1.0
gene:TraesCS1A03G0014900	Chr1A	3975641	3979278	+	3977459	Chr1A	2982629	2986266	+	2984447	1.0	1.0
gene:TraesCS1A03G0015100	Chr1A	4006353	4007991	+	4007172	Chr1A	3013341	3014979	+	3014160	1.0	1.0
gene:TraesCS1A03G0015500	Chr1A	4087064	4088265	-	4087664	Chr1A	3094066	3095267	-	3094666	1.0	1.0
gene:TraesCS1A03G0015600	Chr1A	4110192	4111500	+	4110846	Chr1A	3117194	3118502	+	3117848	1.0	1.0
gene:TraesCS1A03G0015700	Chr1A	4112376	4115274	-	4113825	Chr1A	3119378	3122276	-	3120827	1.0	1.0
gene:TraesCS1A03G0016000	Chr1A	4248617	4255576	-	4252096	Chr1A	3255618	3262577	-	3259097	1.0	1.0
gene:TraesCS1A03G0016200	Chr1A	4370836	4376697	+	4373766	Chr1A	3377838	3383699	+	3380768	1.0	1.0
gene:TraesCS1A03G0016300	Chr1A	4379285	4384806	-	4382045	Chr1A	3386287	3391808	-	3389047	1.0	1.0
gene:TraesCS1A03G0016400	Chr1A	4439929	4443198	+	4441563	Chr1A	3446931	3450200	+	3448565	1.0	1.0
gene:TraesCS1A03G0016500	Chr1A	4444852	4447770	-	4446311	Chr1A	3451854	3454772	-	3453313	1.0	1.0
gene:TraesCS1A03G0016700	Chr1A	4455552	4458579	-	4457065	Chr1A	3462554	3465581	-	3464067	1.0	1.0
gene:TraesCS1A03G0017100	Chr1A	4481219	4484678	-	4482948	Chr1A	3488355	3491814	-	3490084	1.0	1.0
gene:TraesCS1A03G0017200	Chr1A	4493001	4496793	-	4494897	Chr1A	3500137	3503929	-	3502033	1.0	1.0
gene:TraesCS1A03G0017400	Chr1A	4524156	4525613	-	4524884	Chr1A	3531339	3532796	-	3532067	1.0	1.0
gene:TraesCS1A03G0017500	Chr1A	4570594	4574086	-	4572340	Chr1A	3579010	3582502	-	3580756	1.0	1.0
gene:TraesCS1A03G0017700	Chr1A	4605426	4609380	-	4607403	Chr1A	3614659	3618613	-	3616636	1.0	1.0
gene:TraesCS1A03G0018400	Chr1A	4643782	4647658	-	4645720	Chr1A	3653512	3657388	-	3655450	1.0	1.0
gene:TraesCS1A03G0018600	Chr1A	4659235	4661188	-	4660211	Chr1A	3669097	3671050	-	3670073	1.0	1.0
gene:TraesCS1A03G0018800	Chr1A	4668102	4669750	-	4668926	Chr1A	3677964	3679612	-	3678788	1.0	1.0
gene:TraesCS1A03G0018900	Chr1A	4688180	4690620	-	4689400	Chr1A	3698525	3700965	-	3699745	1.0	1.0
gene:TraesCS1A03G0019200	Chr1A	4764892	4765791	+	4765341	Chr1A	3776339	3777238	+	3776788	1.0	1.0
gene:TraesCS1A03G0019300	Chr1A	4783488	4784380	+	4783934	Chr1A	3795056	3795948	+	3795502	1.0	1.0
gene:TraesCS1A03G0019600	Chr1A	4833835	4834480	-	4834157	Chr1A	3845783	3846428	-	3846105	1.0	1.0
gene:TraesCS1A03G0019800	Chr1A	4897332	4898204	+	4897768	Chr1A	3910395	3911267	+	3910831	1.0	1.0
gene:TraesCS1A03G0020400	Chr1A	5018187	5019044	+	5018615	Chr1A	4033339	4034196	+	4033767	1.0	1.0
gene:TraesCS1A03G0020500	Chr1A	5026172	5027029	+	5026600	Chr1A	4041324	4042181	+	4041752	1.0	1.0
gene:TraesCS1A03G0020600	Chr1A	5030561	5033532	+	5032046	Chr1A	4045713	4048684	+	4047198	1.0	1.0
gene:TraesCS1A03G0020700	Chr1A	5032814	5033138	-	5032976	Chr1A	4047966	4048290	-	4048128	1.0	1.0
gene:TraesCS1A03G0020800	Chr1A	5038069	5038671	+	5038370	Chr1A	4053221	4053823	+	4053522	1.0	1.0
gene:TraesCS1A03G0020900	Chr1A	5039590	5039808	+	5039699	Chr1A	4054742	4054960	+	4054851	1.0	1.0
gene:TraesCS1A03G0021200	Chr1A	5048045	5048254	+	5048149	Chr1A	4063197	4063406	+	4063301	1.0	1.0
gene:TraesCS1A03G0021300	Chr1A	5080241	5080916	+	5080578	Chr1A	4095724	4096399	+	4096061	1.0	1.0
gene:TraesCS1A03G0021500	Chr1A	5185968	5186757	-	5186362	Chr1A	4202212	4203001	-	4202606	1.0	1.0
gene:TraesCS1A03G0022100	Chr1A	5545869	5552088	+	5548978	Chr1A	4497200	4503419	+	4500309	1.0	1.0
gene:TraesCS1A03G0022200	Chr1A	5551274	5553366	-	5552320	Chr1A	4502605	4504697	-	4503651	1.0	1.0
gene:TraesCS1A03G0022300	Chr1A	5597980	5603264	+	5600622	Chr1A	4549622	4554906	+	4552264	1.0	1.0
gene:TraesCS1A03G0022500	Chr1A	5708688	5710991	+	5709839	Chr1A	4661621	4663924	+	4662772	1.0	1.0
gene:TraesCS1A03G0023500	Chr1A	5849114	5850676	+	5849895	Chr1A	4804101	4805663	+	4804882	1.0	1.0
gene:TraesCS1A03G0023600	Chr1A	5856277	5858141	+	5857209	Chr1A	4811264	4813128	+	4812196	1.0	1.0
gene:TraesCS1A03G0023800	Chr1A	6068357	6073773	-	6071065	Chr1A	5023873	5029289	-	5026581	1.0	1.0
gene:TraesCS1A03G0023900	Chr1A	6173623	6173880	+	6173751	Chr1A	5132497	5132754	+	5132625	1.0	1.0
gene:TraesCS1A03G0024000	Chr1A	6191836	6194323	-	6193079	Chr1A	5150710	5153197	-	5151953	1.0	1.0
gene:TraesCS1A03G0024300	Chr1A	6273767	6275702	+	6274734	Chr1A	5233610	5235545	+	5234577	1.0	1.0
gene:TraesCS1A03G0024500	Chr1A	6665657	6669742	+	6667699	Chr1A	5491027	5495112	+	5493069	1.0	1.0
gene:TraesCS1A03G0024600	Chr1A	6671158	6674613	+	6672885	Chr1A	5496528	5499983	+	5498255	1.0	1.0
gene:TraesCS1A03G0024700	Chr1A	6690823	6691371	+	6691097	Chr1A	5500650	5501198	+	5500924	1.0	1.0
gene:TraesCS1A03G0024800	Chr1A	6691708	6697915	-	6694811	Chr1A	5501535	5507742	-	5504638	1.0	1.0
gene:TraesCS1A03G0024900	Chr1A	6711203	6717422	-	6714312	Chr1A	5521573	5527792	-	5524682	1.0	1.0
gene:TraesCS1A03G0025200	Chr1A	6834075	6839374	-	6836724	Chr1A	5645211	5650510	-	5647860	1.0	1.0
gene:TraesCS1A03G0025600	Chr1A	7060292	7063576	+	7061934	Chr1A	5871427	5874711	+	5873069	1.0	1.0
gene:TraesCS1A03G0026100	Chr1A	7196234	7200940	-	7198587	Chr1A	6007940	6012646	-	6010293	1.0	1.0
gene:TraesCS1A03G0026200	Chr1A	7211036	7211731	-	7211383	Chr1A	6022742	6023437	-	6023089	1.0	1.0
gene:TraesCS1A03G0027200	Chr1A	7339396	7346788	+	7343092	Chr1A	6151748	6159140	+	6155444	1.0	1.0
gene:TraesCS1A03G0027300	Chr1A	7411483	7411740	-	7411611	Chr1A	6223835	6224092	-	6223963	1.0	1.0
gene:TraesCS1A03G0027400	Chr1A	7481566	7482483	-	7482024	Chr1A	6293918	6294835	-	6294376	1.0	1.0
gene:TraesCS1A03G0027600	Chr1A	7505485	7511901	+	7508693	Chr1A	6317837	6324253	+	6321045	1.0	1.0
gene:TraesCS1A03G0027700	Chr1A	7519840	7524507	+	7522173	Chr1A	6332192	6336859	+	6334525	1.0	1.0
gene:TraesCS1A03G0027800	Chr1A	7524129	7533614	-	7528871	Chr1A	6336481	6345966	-	6341223	1.0	1.0
gene:TraesCS1A03G0027900	Chr1A	7609720	7611140	-	7610430	Chr1A	6422072	6423492	-	6422782	1.0	1.0
gene:TraesCS1A03G0028000	Chr1A	7625934	7626749	-	7626341	Chr1A	6438286	6439101	-	6438693	1.0	1.0
gene:TraesCS1A03G0028100	Chr1A	7660295	7662777	-	7661536	Chr1A	6472647	6475129	-	6473888	1.0	1.0
gene:TraesCS1A03G0028200	Chr1A	7685526	7687743	-	7686634	Chr1A	6497878	6500095	-	6498986	1.0	1.0
gene:TraesCS1A03G0028300	Chr1A	7705071	7705988	+	7705529	Chr1A	6517423	6518340	+	6517881	1.0	1.0
gene:TraesCS1A03G0028500	Chr1A	7877764	7878655	+	7878209	Chr1A	6561797	6562688	+	6562242	1.0	1.0
gene:TraesCS1A03G0028600	Chr1A	7882106	7883939	+	7883022	Chr1A	6566139	6567972	+	6567055	1.0	1.0
gene:TraesCS1A03G0028700	Chr1A	7885355	7892368	-	7888861	Chr1A	6569388	6576401	-	6572894	1.0	1.0
gene:TraesCS1A03G0029000	Chr1A	7970519	7971449	-	7970984	Chr1A	6654552	6655482	-	6655017	1.0	1.0
gene:TraesCS1A03G0029300	Chr1A	8076711	8080232	-	8078471	Chr1A	6760744	6764265	-	6762504	1.0	1.0
gene:TraesCS1A03G0029400	Chr1A	8081207	8081419	-	8081313	Chr1A	6765240	6765452	-	6765346	1.0	1.0
gene:TraesCS1A03G0029500	Chr1A	8082307	8082522	-	8082414	Chr1A	6766340	6766555	-	6766447	1.0	1.0
gene:TraesCS1A03G0029600	Chr1A	8089436	8089945	-	8089690	Chr1A	6773469	6773978	-	6773723	1.0	1.0
gene:TraesCS1A03G0029700	Chr1A	8104538	8109509	+	8107023	Chr1A	6788571	6793542	+	6791056	1.0	1.0
gene:TraesCS1A03G0029800	Chr1A	8233277	8236766	-	8235021	Chr1A	6883652	6887141	-	6885396	1.0	1.0
gene:TraesCS1A03G0029900	Chr1A	8249137	8252647	-	8250892	Chr1A	6899512	6903022	-	6901267	1.0	1.0
gene:TraesCS1A03G0030000	Chr1A	8263670	8265615	-	8264642	Chr1A	6914044	6915989	-	6915016	1.0	1.0
gene:TraesCS1A03G0031000	Chr1A	8448758	8449502	-	8449130	Chr1A	7100687	7101431	-	7101059	1.0	1.0
gene:TraesCS1A03G0031200	Chr1A	8456694	8457124	-	8456909	Chr1A	7108623	7109053	-	7108838	1.0	1.0
gene:TraesCS1A03G0031300	Chr1A	8457959	8463291	-	8460625	Chr1A	7109888	7115465	-	7112676	1.0	1.0
gene:TraesCS1A03G0031500	Chr1A	8526026	8532786	+	8529406	Chr1A	7178200	7184960	+	7181580	1.0	1.0
gene:TraesCS1A03G0031600	Chr1A	8533323	8534333	+	8533828	Chr1A	7185497	7186507	+	7186002	1.0	1.0
