gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity	segment
gene:TraesCS4A03G0336100	Chr4A	248995527	249024003	-	249009765	Chr4A	266933518	266961994	-	266947756	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0337400	Chr4A	251046728	251058910	+	251052819	Chr4A	271792802	271804984	-	271798893	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0338500	Chr4A	252400088	252405473	+	252402780	Chr4A	270322769	270328154	-	270325461	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0339900	Chr4A	255882448	255901224	+	255891836	Chr4A	273720870	273739646	+	273730258	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0340200	Chr4A	256878550	256917370	+	256897960	Chr4A	274733669	274772773	+	274753221	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0340800	Chr4A	257273600	257273914	-	257273757	Chr4A	275123404	275123718	-	275123561	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0341700	Chr4A	257640564	257641957	+	257641260	Chr4A	275496391	275497784	+	275497087	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0342900	Chr4A	259044581	259052439	+	259048510	Chr4A	276909772	276917630	+	276913701	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0343800	Chr4A	260002763	260005208	+	260003985	Chr4A	277888072	277890517	+	277889294	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0345500	Chr4A	261569401	261572504	+	261570952	Chr4A	279467861	279470964	+	279469412	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0345600	Chr4A	261573123	261574114	-	261573618	Chr4A	279471583	279472574	-	279472078	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0346400	Chr4A	263003903	263004094	-	263003998	Chr4A	280909926	280910117	-	280910021	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0346900	Chr4A	263024821	263025312	+	263025066	Chr4A	280931326	280931817	+	280931571	1.0	1.0	rearrangement:Chr4A_block1
