cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr4B	230	86155240	Chr4B	230	83143343	829	0.99975753920386
Chr4B	88370406	155154630	Chr4B	85363222	152088859	392	0.9994107142857144
Chr4B	157172475	164642854	Chr4B	154112314	161625531	12	1.0
Chr4B	167236891	207224234	Chr4B	163837175	203850975	180	0.9993944444444446
Chr4B	212453315	226695727	Chr4B	209106813	223387060	38	0.9996842105263156
Chr4B	229815313	233299063	Chr4B	226512235	230010047	4	0.9995
Chr4B	236068374	255905796	Chr4B	234929847	256332590	21	0.999952380952381
Chr4B	258340474	259633738	Chr4B	258773888	260054174	4	1.0
Chr4B	264840064	273673527	Chr4B	265283966	273980394	14	1.0
Chr4B	275687277	282555008	Chr4B	275998809	282885258	10	1.0
Chr4B	285233326	286424153	Chr4B	285555605	286747008	5	1.0
Chr4B	291502685	291547670	Chr4B	291844033	291890141	4	1.0
Chr4B	294688008	296591676	Chr4B	295046802	296948857	4	1.0
Chr4B	299196258	317325008	Chr4B	299559143	317762138	39	0.9998205128205128
Chr4B	322209821	324516341	Chr4B	322661593	324977743	6	0.9986666666666668
Chr4B	326650034	330229225	Chr4B	327191689	330784063	8	0.999875
Chr4B	332805993	335355652	Chr4B	333372518	335941430	5	1.0
Chr4B	337825898	351612341	Chr4B	338426211	352152996	21	0.9991428571428572
Chr4B	357330117	428374125	Chr4B	357909130	429353205	341	0.9994956011730204
Chr4B	430804721	673727606	Chr4B	431793129	673534850	1906	0.9997712486883524
