cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	410678	140903099	1426	0.999563113604488
Chr4D	143939177	159173700	Chr4D	143579930	158896744	18	0.9997222222222224
Chr4D	163710731	183649096	Chr4D	163412513	183387226	26	0.999846153846154
Chr4D	188969484	192971731	Chr4D	188710899	192736636	6	0.9998333333333332
Chr4D	195239705	198785582	Chr4D	195017915	198583229	7	1.0
Chr4D	201663396	212424003	Chr4D	201443437	212157624	27	0.9995185185185186
Chr4D	214566503	228344802	Chr4D	214312396	228145211	23	0.999
Chr4D	230503918	238850566	Chr4D	230482531	238626311	11	0.999909090909091
Chr4D	241150325	249170093	Chr4D	240933419	248933627	18	1.0
Chr4D	251748223	256746015	Chr4D	251528367	256552996	6	1.0
Chr4D	259082246	261473317	Chr4D	258897131	261254698	6	1.0
Chr4D	264155329	268258812	Chr4D	263946972	268074619	7	1.0
Chr4D	270831155	284417863	Chr4D	270654719	284101698	19	0.9979473684210526
Chr4D	286726699	329466878	Chr4D	286394897	329311457	223	0.9997668161434978
Chr4D	331779306	375686787	Chr4D	331638064	375735889	303	0.9996567656765676
Chr4D	377775997	410310201	Chr4D	377828182	410407878	237	0.9996371308016878
Chr4D	412602740	509950584	Chr4D	412715801	509853899	1163	0.9996878761822872
