cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr6B	1221383	109698670	Chr6B	114487	103962989	1119	0.9997202859696156
Chr6B	112200748	114854793	Chr6B	106468710	109142658	7	0.9998571428571428
Chr6B	117445277	246426312	Chr6B	111685641	240401733	813	0.9996838868388684
Chr6B	249274084	259111612	Chr6B	243269422	252842611	30	0.9998666666666668
Chr6B	261263057	268713242	Chr6B	255004953	262472341	32	0.99990625
Chr6B	271066163	271204143	Chr6B	264839998	264978909	6	1.0
Chr6B	273275668	273714013	Chr6B	267065797	267505591	3	1.0
Chr6B	275888096	289129738	Chr6B	269689585	282983990	45	0.9998666666666668
Chr6B	292829101	299893030	Chr6B	286712737	293965380	26	0.9994615384615384
Chr6B	301908638	308701890	Chr6B	295767133	302596217	27	1.0
Chr6B	310986731	327439454	Chr6B	304894478	321293096	35	0.9988857142857144
Chr6B	340390557	346252642	Chr6B	333518318	339367085	11	1.0
Chr6B	348550830	349949438	Chr6B	341712366	343111521	5	0.9988
Chr6B	355173887	359464055	Chr6B	348093864	352413972	12	1.0
Chr6B	367054723	387071487	Chr6B	360416955	380535522	30	0.9998
Chr6B	393616244	406743837	Chr6B	387119500	400336800	35	0.9998285714285714
Chr6B	410641112	435164669	Chr6B	402215985	426829844	60	0.99825
Chr6B	437584110	449326149	Chr6B	429264238	441049080	53	0.9998301886792452
Chr6B	452819490	629148387	Chr6B	444540716	620708761	1030	0.9998786407766992
Chr6B	631157333	635284956	Chr6B	622726250	626889431	37	1.0
Chr6B	638657051	731065543	Chr6B	630465748	720953306	1106	0.9997224231464736
