cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr3A	28273	108115777	Chr3A	16208	107758334	1254	0.9996555023923448
Chr3A	119343157	140281429	Chr3A	107863467	128718501	151	0.999337748344371
Chr3A	142385461	192745740	Chr3A	130835529	181088605	220	0.999631818181818
Chr3A	195861474	263087799	Chr3A	184214632	251342423	205	0.9998341463414636
Chr3A	270762150	278734659	Chr3A	259064196	267056348	12	0.9983333333333334
Chr3A	280899243	284859700	Chr3A	269215500	273159995	6	0.9998333333333336
Chr3A	286968946	294756278	Chr3A	275284207	283103162	7	1.0
Chr3A	300173801	305236714	Chr3A	288539387	293589663	6	1.0
Chr3A	307569651	328087198	Chr3A	295949198	316671593	26	0.999846153846154
Chr3A	331805909	349096037	Chr3A	321109384	337881732	30	0.9993
Chr3A	351562540	354510700	Chr3A	340259729	343231466	8	1.0
Chr3A	357146906	360275758	Chr3A	345871376	349014829	6	1.0
Chr3A	362401176	754027567	Chr3A	351126951	750741087	3191	0.9997662174866812
