gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity	segment
gene:TraesCS3D03G0000100	Chr3D	110199	113774	+	111986	Chr3D	3769975	3773550	+	3771762	1.0	1.0	collinear
gene:TraesCS3D03G0000500	Chr3D	162008	165953	-	163980	Chr3D	3822452	3826397	-	3824424	1.0	1.0	collinear
gene:TraesCS3D03G0000600	Chr3D	285779	290894	+	288336	Chr3D	3627209	3632324	-	3629766	1.0	1.0	collinear
gene:TraesCS3D03G0000800	Chr3D	298085	298420	+	298252	Chr3D	3619683	3620018	-	3619850	1.0	1.0	collinear
gene:TraesCS3D03G0001100	Chr3D	351113	355413	+	353263	Chr3D	3562690	3566990	-	3564840	1.0	1.0	collinear
gene:TraesCS3D03G0001200	Chr3D	368030	372630	-	370330	Chr3D	3545473	3550073	+	3547773	1.0	1.0	collinear
gene:TraesCS3D03G0001900	Chr3D	579644	582517	-	581080	Chr3D	3335586	3338459	+	3337022	1.0	1.0	collinear
gene:TraesCS3D03G0002000	Chr3D	616224	620987	-	618605	Chr3D	3297116	3301879	+	3299497	1.0	1.0	collinear
gene:TraesCS3D03G0002100	Chr3D	622874	624603	+	623738	Chr3D	3293500	3295229	-	3294364	1.0	1.0	collinear
gene:TraesCS3D03G0002200	Chr3D	677889	685725	+	681807	Chr3D	3232378	3240214	-	3236296	1.0	1.0	collinear
gene:TraesCS3D03G0002300	Chr3D	693528	696046	+	694787	Chr3D	3222057	3224575	-	3223316	1.0	1.0	collinear
gene:TraesCS3D03G0002400	Chr3D	718720	721668	+	720194	Chr3D	3196435	3199383	-	3197909	1.0	1.0	collinear
gene:TraesCS3D03G0002700	Chr3D	817877	820684	+	819280	Chr3D	3096999	3099806	-	3098402	1.0	1.0	collinear
gene:TraesCS3D03G0002800	Chr3D	827469	829078	+	828273	Chr3D	3087876	3089485	-	3088680	1.0	1.0	collinear
gene:TraesCS3D03G0002900	Chr3D	830991	833295	+	832143	Chr3D	3083659	3085963	-	3084811	1.0	1.0	collinear
gene:TraesCS3D03G0003000	Chr3D	841262	844418	+	842840	Chr3D	3072536	3075692	-	3074114	1.0	1.0	collinear
gene:TraesCS3D03G0003200	Chr3D	873983	876197	+	875090	Chr3D	3040757	3042971	-	3041864	1.0	1.0	collinear
gene:TraesCS3D03G0003300	Chr3D	884205	886622	+	885413	Chr3D	3030336	3032753	-	3031544	1.0	1.0	collinear
gene:TraesCS3D03G0003500	Chr3D	901329	904718	-	903023	Chr3D	3011970	3015359	+	3013664	1.0	1.0	collinear
gene:TraesCS3D03G0003800	Chr3D	931898	935486	+	933692	Chr3D	2980895	2984483	-	2982689	1.0	1.0	collinear
gene:TraesCS3D03G0003900	Chr3D	935901	941009	+	938455	Chr3D	2975372	2980480	-	2977926	1.0	1.0	collinear
