cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr3D	111986	116955327	Chr3D	325803	116408326	1469	0.9998189244383934
Chr3D	119094314	145655212	Chr3D	118542402	145197021	160	0.9996125
Chr3D	147725835	194192900	Chr3D	147095918	193596645	261	0.9997164750957857
Chr3D	197544325	200969144	Chr3D	196947044	200390459	5	1.0
Chr3D	203071652	203224239	Chr3D	202498556	202651143	5	1.0
Chr3D	207531742	214535149	Chr3D	206978476	213997235	11	0.9991818181818182
Chr3D	216957444	220088873	Chr3D	216425033	219568689	6	1.0
Chr3D	226016244	232933791	Chr3D	225525420	232470513	13	0.9995384615384616
Chr3D	235055553	258632836	Chr3D	234603090	257173258	41	0.9999756097560976
Chr3D	260879965	299953650	Chr3D	259434941	298593191	140	0.9991214285714286
Chr3D	310877942	315153764	Chr3D	309654306	313930346	32	0.9999375
Chr3D	325861193	492833467	Chr3D	324387385	492131921	1387	0.9996207642393656
Chr3D	495347019	619489515	Chr3D	494653889	615474754	1643	0.9997169811320754
