cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr3B	367271110	369847258	Chr3B	364542893	367477711	9	0.9997777777777777
Chr3B	386777911	388195888	Chr3B	367678075	369104850	14	0.9992857142857143
Chr3B	10987600	34708945	Chr3B	4202749	28618056	403	0.9998808933002481
Chr3B	38137652	97070979	Chr3B	29379899	85340142	615	0.9998113821138211
Chr3B	99457041	202823600	Chr3B	87718232	191189469	609	0.9996502463054188
Chr3B	205225044	206704475	Chr3B	193609697	195100861	11	1.0
Chr3B	209383926	219278363	Chr3B	197792489	207735313	92	0.9998913043478261
Chr3B	223825022	227125651	Chr3B	212297313	215613173	13	1.0
Chr3B	230843333	241641396	Chr3B	219342949	230195021	55	0.9999818181818182
Chr3B	247259756	288293953	Chr3B	235855911	277099960	199	0.9995829145728645
Chr3B	295003050	296080909	Chr3B	283596077	284679140	4	1.0
Chr3B	301146877	307711148	Chr3B	289595308	296187942	9	1.0
Chr3B	310640808	329207761	Chr3B	299132814	317625373	22	0.9995909090909091
Chr3B	333847811	350060262	Chr3B	322293448	338599491	24	0.9999583333333334
Chr3B	352247049	366914954	Chr3B	340796436	355438414	25	0.99972
Chr3B	371069888	375781155	Chr3B	358584653	363324584	10	1.0
Chr3B	382017218	416556469	Chr3B	369285062	405416523	143	0.9996013986013985
Chr3B	418922290	480164325	Chr3B	405658996	467052960	375	0.9995626666666667
Chr3B	482733323	529649040	Chr3B	469640104	516001137	270	0.9996333333333334
Chr3B	534144519	848422846	Chr3B	518913010	830611341	2780	0.9997661870503598
Chr3B	849091439	851872904	Chr3B	822539849	824392163	35	0.9996285714285715
