gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity	segment
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	1055242	1059496	-	1057369	1.0	1.0	collinear
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	1028128	1031945	+	1030036	1.0	1.0	collinear
gene:TraesCS3A03G0000300	Chr3A	96529	96813	+	96671	Chr3A	987488	987772	-	987630	1.0	1.0	collinear
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	912044	912421	-	912232	1.0	1.0	collinear
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	437746	441793	+	439769	1.0	1.0	collinear
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	430147	432865	+	431506	1.0	1.0	collinear
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	409621	416203	-	412912	1.0	1.0	collinear
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	397801	400871	-	399336	1.0	1.0	collinear
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	204727	208013	-	206370	1.0	1.0	collinear
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	177219	179017	-	178118	1.0	1.0	collinear
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	129964	132254	-	131109	1.0	1.0	collinear
gene:TraesCS3A03G0003900	Chr3A	1064790	1066982	+	1065886	Chr3A	95678	97870	-	96774	1.0	1.0	collinear
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	84561	87232	-	85896	1.0	1.0	collinear
gene:TraesCS3A03G0004300	Chr3A	1094785	1098146	+	1096465	Chr3A	14528	17889	-	16208	1.0	1.0	collinear
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	41683	44884	-	43283	1.0	1.0	collinear
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	1514278	1514782	+	1514530	1.0	1.0	collinear
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	1519343	1519759	+	1519551	1.0	1.0	collinear
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	1574631	1574990	+	1574810	1.0	1.0	collinear
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	1593227	1593658	+	1593442	1.0	1.0	collinear
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	1618081	1619002	+	1618541	1.0	0.998	collinear
gene:TraesCS3A03G0005900	Chr3A	1800445	1803196	-	1801820	Chr3A	1707001	1709752	-	1708376	1.0	1.0	collinear
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	1711784	1712270	-	1712027	1.0	1.0	collinear
gene:TraesCS3A03G0006600	Chr3A	1861996	1862403	+	1862199	Chr3A	1769601	1770008	+	1769804	1.0	1.0	collinear
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	1780395	1782252	+	1781323	1.0	1.0	collinear
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	1789588	1790065	+	1789826	1.0	1.0	collinear
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	1797375	1797977	+	1797676	1.0	1.0	collinear
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	1885671	1886377	+	1886024	1.0	1.0	collinear
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	1896509	1898746	-	1897627	1.0	1.0	collinear
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	1903850	1904592	+	1904221	1.0	1.0	collinear
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	1919555	1923009	+	1921282	1.0	1.0	collinear
gene:TraesCS3A03G0008500	Chr3A	2013683	2017892	-	2015787	Chr3A	1924585	1928794	-	1926689	1.0	1.0	collinear
gene:TraesCS3A03G0008700	Chr3A	2225872	2226467	+	2226169	Chr3A	2137062	2137657	+	2137359	1.0	1.0	collinear
gene:TraesCS3A03G0008900	Chr3A	2507366	2507736	+	2507551	Chr3A	2418993	2419363	+	2419178	1.0	1.0	collinear
gene:TraesCS3A03G0009000	Chr3A	2524157	2524527	+	2524342	Chr3A	2435784	2436154	+	2435969	1.0	1.0	collinear
gene:TraesCS3A03G0009100	Chr3A	2692803	2693503	+	2693153	Chr3A	2604430	2605130	+	2604780	1.0	1.0	collinear
gene:TraesCS3A03G0009500	Chr3A	2986222	2986840	+	2986531	Chr3A	2898506	2899124	+	2898815	1.0	1.0	collinear
gene:TraesCS3A03G0009600	Chr3A	3003041	3003623	+	3003332	Chr3A	2915325	2915907	+	2915616	1.0	1.0	collinear
