gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity
gene:TraesCS2A03G0000200	Chr2A	250369	258919	+	254644	Chr2A	249837	258387	+	254112	1.0	1.0
gene:TraesCS2A03G0000300	Chr2A	259362	263505	-	261433	Chr2A	258830	262973	-	260901	1.0	1.0
gene:TraesCS2A03G0000600	Chr2A	272656	273599	-	273127	Chr2A	272124	273067	-	272595	1.0	1.0
gene:TraesCS2A03G0000700	Chr2A	279352	289424	+	284388	Chr2A	278821	289215	+	284018	1.0	1.0
gene:TraesCS2A03G0001000	Chr2A	326315	327315	-	326815	Chr2A	326106	327106	-	326606	1.0	1.0
gene:TraesCS2A03G0001200	Chr2A	389113	391290	+	390201	Chr2A	389168	391345	+	390256	1.0	1.0
gene:TraesCS2A03G0001400	Chr2A	396069	400877	-	398473	Chr2A	396124	400932	-	398528	1.0	1.0
gene:TraesCS2A03G0001500	Chr2A	471994	473071	-	472532	Chr2A	473496	474573	-	474034	1.0	1.0
gene:TraesCS2A03G0001600	Chr2A	498907	502516	+	500711	Chr2A	500410	504019	+	502214	1.0	1.0
gene:TraesCS2A03G0001800	Chr2A	511382	514968	+	513175	Chr2A	512885	516471	+	514678	1.0	1.0
gene:TraesCS2A03G0001900	Chr2A	523708	527051	+	525379	Chr2A	525386	528729	+	527057	1.0	1.0
gene:TraesCS2A03G0002000	Chr2A	527668	531424	-	529546	Chr2A	529346	533102	-	531224	1.0	1.0
gene:TraesCS2A03G0002200	Chr2A	531622	534531	+	533076	Chr2A	533300	536209	+	534754	1.0	1.0
gene:TraesCS2A03G0002500	Chr2A	560892	563807	-	562349	Chr2A	562911	565826	-	564368	1.0	1.0
gene:TraesCS2A03G0002600	Chr2A	578869	583401	-	581135	Chr2A	580888	585420	-	583154	1.0	1.0
gene:TraesCS2A03G0003200	Chr2A	723635	725724	+	724679	Chr2A	658359	660448	+	659403	1.0	1.0
gene:TraesCS2A03G0003300	Chr2A	728142	730497	+	729319	Chr2A	662867	665222	+	664044	1.0	1.0
gene:TraesCS2A03G0003600	Chr2A	780091	780912	+	780501	Chr2A	715377	716198	+	715787	1.0	1.0
gene:TraesCS2A03G0003700	Chr2A	811926	812799	+	812362	Chr2A	746916	747789	+	747352	1.0	1.0
gene:TraesCS2A03G0003900	Chr2A	884928	885681	+	885304	Chr2A	819919	820672	+	820295	1.0	1.0
gene:TraesCS2A03G0004500	Chr2A	1228280	1229883	-	1229081	Chr2A	1163741	1165344	-	1164542	1.0	1.0
gene:TraesCS2A03G0005600	Chr2A	1423029	1424057	-	1423543	Chr2A	1364422	1365450	-	1364936	1.0	1.0
gene:TraesCS2A03G0005800	Chr2A	1428836	1440401	-	1434618	Chr2A	1370229	1381768	-	1375998	0.983	0.979
gene:TraesCS2A03G0006300	Chr2A	1665722	1666219	+	1665970	Chr2A	1608666	1609163	+	1608914	1.0	1.0
gene:TraesCS2A03G0006500	Chr2A	1751281	1752992	+	1752136	Chr2A	1685582	1687293	+	1686437	1.0	1.0
gene:TraesCS2A03G0006600	Chr2A	1841287	1843264	+	1842275	Chr2A	1776596	1778573	+	1777584	1.0	1.0
gene:TraesCS2A03G0006700	Chr2A	1848046	1849956	-	1849001	Chr2A	1783499	1785409	-	1784454	1.0	1.0
gene:TraesCS2A03G0006900	Chr2A	1921768	1927033	-	1924400	Chr2A	1857935	1863412	-	1860673	1.0	1.0
gene:TraesCS2A03G0007100	Chr2A	1935100	1941200	+	1938150	Chr2A	1871479	1877682	+	1874580	1.0	1.0
gene:TraesCS2A03G0008000	Chr2A	2289325	2293622	+	2291473	Chr2A	2226935	2231232	+	2229083	1.0	1.0
gene:TraesCS2A03G0008100	Chr2A	2322266	2324111	-	2323188	Chr2A	2259876	2261721	-	2260798	1.0	1.0
gene:TraesCS2A03G0008200	Chr2A	2335769	2337055	-	2336412	Chr2A	2273380	2274666	-	2274023	1.0	1.0
gene:TraesCS2A03G0008500	Chr2A	2383732	2387967	+	2385849	Chr2A	2321343	2325578	+	2323460	1.0	0.999
gene:TraesCS2A03G0008600	Chr2A	2393912	2399518	+	2396715	Chr2A	2331523	2337129	+	2334326	1.0	1.0
gene:TraesCS2A03G0008800	Chr2A	2414503	2415411	-	2414957	Chr2A	2352114	2353022	-	2352568	1.0	1.0
gene:TraesCS2A03G0009300	Chr2A	2428724	2429761	+	2429242	Chr2A	2366335	2367372	+	2366853	1.0	1.0
gene:TraesCS2A03G0008900	Chr2A	2418285	2444786	+	2431535	Chr2A	2355896	2382397	+	2369146	1.0	1.0
gene:TraesCS2A03G0009400	Chr2A	2435620	2439903	-	2437761	Chr2A	2373231	2377514	-	2375372	1.0	1.0
gene:TraesCS2A03G0009500	Chr2A	2440261	2441887	+	2441074	Chr2A	2377872	2379498	+	2378685	1.0	1.0
gene:TraesCS2A03G0009600	Chr2A	2465197	2465597	+	2465397	Chr2A	2402808	2403208	+	2403008	1.0	1.0
gene:TraesCS2A03G0009700	Chr2A	2468253	2470255	+	2469254	Chr2A	2405864	2407866	+	2406865	1.0	1.0
gene:TraesCS2A03G0009900	Chr2A	2525506	2529129	-	2527317	Chr2A	2463117	2466740	-	2464928	1.0	1.0
gene:TraesCS2A03G0010000	Chr2A	2539204	2544234	-	2541719	Chr2A	2476815	2481845	-	2479330	1.0	1.0
gene:TraesCS2A03G0010100	Chr2A	2544361	2549571	+	2546966	Chr2A	2481972	2487182	+	2484577	1.0	1.0
gene:TraesCS2A03G0010200	Chr2A	2551227	2557615	-	2554421	Chr2A	2488830	2495245	-	2492037	1.0	1.0
gene:TraesCS2A03G0010800	Chr2A	2813845	2818200	-	2816022	Chr2A	2986007	2990362	+	2988184	1.0	1.0
gene:TraesCS2A03G0011200	Chr2A	2838431	2839435	-	2838933	Chr2A	2964420	2965424	+	2964922	1.0	1.0
gene:TraesCS2A03G0011300	Chr2A	2881790	2887966	-	2884878	Chr2A	2914803	2920979	+	2917891	1.0	1.0
gene:TraesCS2A03G0011500	Chr2A	2906111	2907412	-	2906761	Chr2A	2895357	2896658	+	2896007	1.0	1.0
gene:TraesCS2A03G0011600	Chr2A	2908978	2910144	+	2909561	Chr2A	2892625	2893791	-	2893208	1.0	1.0
gene:TraesCS2A03G0011800	Chr2A	2917337	2922033	-	2919685	Chr2A	2880736	2885432	+	2883084	1.0	1.0
gene:TraesCS2A03G0011900	Chr2A	2924927	2926630	-	2925778	Chr2A	2876139	2877842	+	2876990	1.0	1.0
gene:TraesCS2A03G0012000	Chr2A	2940100	2941874	-	2940987	Chr2A	2860739	2862513	+	2861626	1.0	1.0
gene:TraesCS2A03G0012100	Chr2A	2947690	2962866	-	2955278	Chr2A	2839126	2854913	+	2847019	1.0	1.0
gene:TraesCS2A03G0012200	Chr2A	2981431	2983872	+	2982651	Chr2A	2817615	2820056	-	2818835	1.0	1.0
gene:TraesCS2A03G0012300	Chr2A	3008654	3011759	+	3010206	Chr2A	2791671	2794776	-	2793223	1.0	1.0
gene:TraesCS2A03G0012800	Chr2A	3043315	3044607	+	3043961	Chr2A	2758823	2760115	-	2759469	1.0	1.0
gene:TraesCS2A03G0012900	Chr2A	3062401	3063955	+	3063178	Chr2A	2739129	2740683	-	2739906	1.0	1.0
gene:TraesCS2A03G0013100	Chr2A	3075260	3076925	-	3076092	Chr2A	2726159	2727824	+	2726991	1.0	1.0
gene:TraesCS2A03G0013200	Chr2A	3088656	3089379	-	3089017	Chr2A	2713730	2714453	+	2714091	1.0	1.0
gene:TraesCS2A03G0013400	Chr2A	3094221	3094934	+	3094577	Chr2A	2708175	2708888	-	2708531	1.0	1.0
gene:TraesCS2A03G0013500	Chr2A	3102186	3102581	+	3102383	Chr2A	2700528	2700923	-	2700725	1.0	1.0
gene:TraesCS2A03G0013600	Chr2A	3105724	3109654	-	3107689	Chr2A	2693455	2697385	+	2695420	1.0	1.0
gene:TraesCS2A03G0013700	Chr2A	3141719	3145318	+	3143518	Chr2A	2657374	2660973	-	2659173	1.0	1.0
gene:TraesCS2A03G0013800	Chr2A	3145104	3146984	-	3146044	Chr2A	2655708	2657588	+	2656648	1.0	1.0
gene:TraesCS2A03G0013900	Chr2A	3148858	3164565	-	3156711	Chr2A	2637762	2653834	+	2645798	1.0	1.0
gene:TraesCS2A03G0016000	Chr2A	5071839	5073978	-	5072908	Chr2A	3111972	3114111	+	3113041	1.0	1.0
gene:TraesCS2A03G0016100	Chr2A	5074460	5079581	-	5077020	Chr2A	3106369	3111490	+	3108929	1.0	1.0
gene:TraesCS2A03G0016300	Chr2A	5083952	5086774	-	5085363	Chr2A	3099245	3101998	+	3100621	0.993	0.969
gene:TraesCS2A03G0016400	Chr2A	5120274	5141496	-	5130885	Chr2A	3258838	3280577	-	3269707	1.0	1.0
gene:TraesCS2A03G0017000	Chr2A	5190513	5193466	-	5191989	Chr2A	3333157	3336110	-	3334633	1.0	1.0
gene:TraesCS2A03G0017400	Chr2A	5208324	5208722	+	5208523	Chr2A	3351281	3351679	+	3351480	1.0	1.0
gene:TraesCS2A03G0017500	Chr2A	5257672	5262900	-	5260286	Chr2A	3400981	3406474	-	3403727	1.0	1.0
gene:TraesCS2A03G0017700	Chr2A	5297982	5303454	+	5300718	Chr2A	3442301	3447773	+	3445037	1.0	1.0
gene:TraesCS2A03G0017800	Chr2A	5304264	5306171	-	5305217	Chr2A	3448583	3450490	-	3449536	1.0	1.0
gene:TraesCS2A03G0018100	Chr2A	5378713	5380327	+	5379520	Chr2A	3523032	3524646	+	3523839	1.0	1.0
gene:TraesCS2A03G0018200	Chr2A	5388490	5390067	-	5389278	Chr2A	3532809	3534386	-	3533597	1.0	1.0
gene:TraesCS2A03G0018300	Chr2A	5393975	5395682	+	5394828	Chr2A	3538294	3540001	+	3539147	1.0	1.0
gene:TraesCS2A03G0018500	Chr2A	5449423	5450943	+	5450183	Chr2A	3594024	3595544	+	3594784	1.0	1.0
gene:TraesCS2A03G0018600	Chr2A	5461521	5475514	+	5468517	Chr2A	3607846	3621969	+	3614907	1.0	1.0
gene:TraesCS2A03G0018700	Chr2A	5479584	5484255	+	5481919	Chr2A	3626039	3630710	+	3628374	1.0	1.0
gene:TraesCS2A03G0018800	Chr2A	5483478	5484447	+	5483962	Chr2A	3629933	3630902	+	3630417	1.0	1.0
gene:TraesCS2A03G0018900	Chr2A	5485965	5487281	+	5486623	Chr2A	3632420	3633736	+	3633078	1.0	1.0
gene:TraesCS2A03G0019000	Chr2A	5489200	5490729	+	5489964	Chr2A	3635655	3637184	+	3636419	1.0	1.0
gene:TraesCS2A03G0019100	Chr2A	5493286	5494806	+	5494046	Chr2A	3639742	3641262	+	3640502	1.0	1.0
gene:TraesCS2A03G0019500	Chr2A	5605896	5606282	-	5606089	Chr2A	3754755	3755141	-	3754948	1.0	1.0
gene:TraesCS2A03G0019600	Chr2A	5610271	5613461	+	5611866	Chr2A	3759130	3762320	+	3760725	1.0	1.0
gene:TraesCS2A03G0020500	Chr2A	5645108	5647672	+	5646390	Chr2A	3794470	3797034	+	3795752	1.0	1.0
gene:TraesCS2A03G0020400	Chr2A	5645051	5651749	-	5648400	Chr2A	3794413	3801111	-	3797762	1.0	1.0
gene:TraesCS2A03G0020600	Chr2A	5667099	5668799	+	5667949	Chr2A	3816477	3818177	+	3817327	1.0	1.0
gene:TraesCS2A03G0020900	Chr2A	5684343	5694560	-	5689451	Chr2A	3834207	3844562	-	3839384	1.0	1.0
gene:TraesCS2A03G0021000	Chr2A	5698584	5706806	-	5702695	Chr2A	3848784	3857006	-	3852895	1.0	1.0
gene:TraesCS2A03G0021100	Chr2A	5712649	5714816	-	5713732	Chr2A	3862849	3865016	-	3863932	1.0	1.0
gene:TraesCS2A03G0021200	Chr2A	5754939	5780303	-	5767621	Chr2A	3905386	3930750	-	3918068	1.0	1.0
gene:TraesCS2A03G0021300	Chr2A	5804106	5804940	+	5804523	Chr2A	3954553	3955387	+	3954970	1.0	1.0
gene:TraesCS2A03G0021400	Chr2A	5808896	5812466	+	5810681	Chr2A	3959343	3962913	+	3961128	1.0	1.0
gene:TraesCS2A03G0021500	Chr2A	5814388	5817627	-	5816007	Chr2A	3964835	3968074	-	3966454	1.0	1.0
gene:TraesCS2A03G0022500	Chr2A	5886612	5890406	+	5888509	Chr2A	4037703	4041497	+	4039600	1.0	1.0
gene:TraesCS2A03G0022600	Chr2A	5891657	5893543	+	5892600	Chr2A	4042748	4044634	+	4043691	1.0	1.0
gene:TraesCS2A03G0022700	Chr2A	5895383	5896564	-	5895973	Chr2A	4046474	4047655	-	4047064	1.0	1.0
gene:TraesCS2A03G0023000	Chr2A	5932292	5938044	+	5935168	Chr2A	4083824	4089576	+	4086700	1.0	1.0
gene:TraesCS2A03G0023100	Chr2A	5940835	5942579	+	5941707	Chr2A	4092367	4094111	+	4093239	1.0	1.0
gene:TraesCS2A03G0023300	Chr2A	5961203	5961799	+	5961501	Chr2A	4113715	4114311	+	4114013	1.0	1.0
gene:TraesCS2A03G0023500	Chr2A	5985018	5989964	+	5987491	Chr2A	4137776	4142722	+	4140249	1.0	1.0
gene:TraesCS2A03G0023600	Chr2A	6008156	6012012	+	6010084	Chr2A	4161106	4165285	+	4163195	1.0	1.0
gene:TraesCS2A03G0023700	Chr2A	6014763	6019662	-	6017212	Chr2A	4168036	4172935	-	4170485	1.0	1.0
gene:TraesCS2A03G0023800	Chr2A	6027070	6029051	+	6028060	Chr2A	4180343	4182324	+	4181333	1.0	1.0
gene:TraesCS2A03G0024000	Chr2A	6056904	6060844	+	6058874	Chr2A	4210178	4214118	+	4212148	1.0	1.0
gene:TraesCS2A03G0024100	Chr2A	6062525	6068056	-	6065290	Chr2A	4215799	4221330	-	4218564	1.0	1.0
gene:TraesCS2A03G0024200	Chr2A	6138096	6140667	-	6139381	Chr2A	4291370	4293941	-	4292655	1.0	1.0
gene:TraesCS2A03G0024300	Chr2A	6156288	6160615	-	6158451	Chr2A	4309562	4313889	-	4311725	1.0	1.0
gene:TraesCS2A03G0024600	Chr2A	6195422	6196652	-	6196037	Chr2A	4348696	4349926	-	4349311	1.0	1.0
gene:TraesCS2A03G0024800	Chr2A	6209975	6210762	+	6210368	Chr2A	4363249	4364036	+	4363642	1.0	1.0
gene:TraesCS2A03G0025200	Chr2A	6489819	6490277	-	6490048	Chr2A	4562735	4563193	-	4562964	1.0	1.0
gene:TraesCS2A03G0025400	Chr2A	6543800	6547989	+	6545894	Chr2A	4616928	4621117	+	4619022	1.0	1.0
gene:TraesCS2A03G0025700	Chr2A	6601068	6601526	+	6601297	Chr2A	4674196	4674654	+	4674425	1.0	1.0
gene:TraesCS2A03G0026200	Chr2A	6713541	6720750	-	6717145	Chr2A	4786647	4793856	-	4790251	1.0	1.0
gene:TraesCS2A03G0026500	Chr2A	6833898	6836259	+	6835078	Chr2A	4907004	4909365	+	4908184	1.0	1.0
gene:TraesCS2A03G0026800	Chr2A	6847261	6865735	+	6856498	Chr2A	4920367	4938841	+	4929604	1.0	1.0
gene:TraesCS2A03G0027000	Chr2A	6870963	6874446	+	6872704	Chr2A	4944069	4947552	+	4945810	1.0	1.0
gene:TraesCS2A03G0027200	Chr2A	6876280	6885119	-	6880699	Chr2A	4949386	4958225	-	4953805	1.0	1.0
gene:TraesCS2A03G0027300	Chr2A	6891123	6896277	+	6893700	Chr2A	4964229	4969383	+	4966806	1.0	1.0
