gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity	segment
gene:TraesCS1B03G0000100	Chr1B	167368	172879	-	170123	Chr1B	168082	173741	-	170911	1.0	0.955	collinear
gene:TraesCS1B03G0000200	Chr1B	455175	461656	-	458415	Chr1B	459792	466556	-	463174	1.0	1.0	collinear
gene:TraesCS1B03G0000800	Chr1B	705806	707489	+	706647	Chr1B	711793	713476	+	712634	1.0	1.0	collinear
gene:TraesCS1B03G0000900	Chr1B	715446	720451	-	717948	Chr1B	721433	726438	-	723935	1.0	1.0	collinear
gene:TraesCS1B03G0001300	Chr1B	874691	877709	-	876200	Chr1B	882170	885188	-	883679	1.0	1.0	collinear
gene:TraesCS1B03G0001600	Chr1B	1190948	1191943	+	1191445	Chr1B	1198799	1199794	+	1199296	1.0	1.0	collinear
gene:TraesCS1B03G0001900	Chr1B	1193433	1195230	+	1194331	Chr1B	1201460	1203257	+	1202358	1.0	1.0	collinear
gene:TraesCS1B03G0002000	Chr1B	1195555	1199187	-	1197371	Chr1B	1203582	1207214	-	1205398	1.0	1.0	collinear
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	1209005	1213090	-	1211047	1.0	1.0	collinear
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	1248713	1255880	+	1252296	1.0	1.0	collinear
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	1258800	1260681	+	1259740	1.0	1.0	collinear
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	1265734	1266622	-	1266178	1.0	1.0	collinear
gene:TraesCS1B03G0002700	Chr1B	1268212	1281120	-	1274666	Chr1B	1279925	1293026	-	1286475	1.0	1.0	collinear
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	1416127	1418511	+	1417319	1.0	1.0	collinear
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	1419308	1422174	-	1420741	1.0	1.0	collinear
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	1423557	1426829	-	1425193	1.0	1.0	collinear
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	1430072	1436355	-	1433213	1.0	1.0	collinear
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	1469939	1473067	+	1471503	1.0	1.0	collinear
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	1522754	1534577	-	1528665	1.0	1.0	collinear
gene:TraesCS1B03G0004000	Chr1B	1671721	1675652	-	1673686	Chr1B	1684683	1688614	-	1686648	1.0	1.0	collinear
gene:TraesCS1B03G0004100	Chr1B	1692906	1701917	-	1697411	Chr1B	1705868	1714879	-	1710373	1.0	1.0	collinear
gene:TraesCS1B03G0004400	Chr1B	1715344	1720242	-	1717793	Chr1B	1728306	1733204	-	1730755	1.0	1.0	collinear
gene:TraesCS1B03G0004700	Chr1B	1765180	1770270	+	1767725	Chr1B	1778773	1784048	+	1781410	1.0	0.999	collinear
gene:TraesCS1B03G0005100	Chr1B	1793871	1797954	-	1795912	Chr1B	1807963	1812046	-	1810004	1.0	1.0	collinear
gene:TraesCS1B03G0005300	Chr1B	1804328	1805251	-	1804789	Chr1B	1818420	1819343	-	1818881	1.0	1.0	collinear
gene:TraesCS1B03G0005500	Chr1B	1812059	1815337	-	1813698	Chr1B	1826151	1829429	-	1827790	1.0	0.997	collinear
gene:TraesCS1B03G0005600	Chr1B	1829519	1834861	-	1832190	Chr1B	1843611	1848953	-	1846282	1.0	1.0	collinear
gene:TraesCS1B03G0005800	Chr1B	1923843	1927998	-	1925920	Chr1B	1939037	1943192	-	1941114	1.0	1.0	collinear
gene:TraesCS1B03G0006100	Chr1B	1955887	1957879	+	1956883	Chr1B	1971081	1973073	+	1972077	1.0	1.0	collinear
gene:TraesCS1B03G0006200	Chr1B	2028942	2032657	-	2030799	Chr1B	2003631	2007346	-	2005488	1.0	1.0	collinear
gene:TraesCS1B03G0006500	Chr1B	2078159	2090731	-	2084445	Chr1B	2052844	2065416	-	2059130	1.0	1.0	collinear
gene:TraesCS1B03G0006600	Chr1B	2100932	2113189	-	2107060	Chr1B	2075617	2087874	-	2081745	1.0	1.0	collinear
gene:TraesCS1B03G0006700	Chr1B	2125041	2136120	-	2130580	Chr1B	2099726	2110805	-	2105265	1.0	1.0	collinear
gene:TraesCS1B03G0006800	Chr1B	2142910	2143779	-	2143344	Chr1B	2117595	2118464	-	2118029	1.0	1.0	collinear
gene:TraesCS1B03G0007200	Chr1B	2252792	2256718	+	2254755	Chr1B	2228115	2232041	+	2230078	1.0	1.0	collinear
gene:TraesCS1B03G0007300	Chr1B	2259882	2260734	-	2260308	Chr1B	2233991	2234843	-	2234417	1.0	1.0	collinear
gene:TraesCS1B03G0007700	Chr1B	2299260	2300303	+	2299781	Chr1B	2273655	2274698	+	2274176	1.0	1.0	collinear
gene:TraesCS1B03G0008000	Chr1B	2327143	2333719	-	2330431	Chr1B	2301538	2308114	-	2304826	1.0	1.0	collinear
gene:TraesCS1B03G0008600	Chr1B	2380688	2383732	-	2382210	Chr1B	2354630	2357674	-	2356152	1.0	1.0	collinear
gene:TraesCS1B03G0008700	Chr1B	2563615	2566164	-	2564889	Chr1B	2537501	2540050	-	2538775	1.0	1.0	collinear
gene:TraesCS1B03G0008800	Chr1B	2661258	2662527	+	2661892	Chr1B	2617568	2618837	+	2618202	1.0	1.0	collinear
gene:TraesCS1B03G0008900	Chr1B	2661462	2662433	+	2661947	Chr1B	2617772	2618743	+	2618257	1.0	1.0	collinear
gene:TraesCS1B03G0009600	Chr1B	2791203	2792803	-	2792003	Chr1B	2612678	2614278	-	2613478	1.0	1.0	collinear
gene:TraesCS1B03G0009700	Chr1B	2931085	2935423	-	2933254	Chr1B	2752457	2756795	-	2754626	1.0	1.0	collinear
