cs_chr	CS_v1_tgt_chr	n_anchors	CS_v1_mean_anchor_gap_Mb	CS_v1_interp_type	n_segments	CS_v1_mean_anchor_fraction
Chr1A	Chr1A	4307	0.139	linear	1	0.989
Chr1B	Chr1B+Chr1B	4695	0.101	linear+linear	2	0.994
Chr1D	Chr1D	4444	0.112	linear	1	0.987
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5533	0.671	linear+linear+linear+pchip_inverted+linear	5	0.959
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5875	0.063	linear+linear+linear+pchip_inverted+linear	5	0.857
Chr2D	Chr2D+Chr2D	5731	0.087	linear+pchip_inverted	2	0.982
Chr3A	Chr3A+Chr3A	5202	0.141	linear+pchip	2	0.994
Chr3B	Chr3B+Chr3B+Chr3B	5722	0.394	linear+linear+linear	3	0.975
Chr3D	Chr3D+Chr3D+Chr3D	5285	0.177	linear+pchip_inverted+pchip_inverted	3	0.995
Chr4A	Chr4A+Chr4A+Chr4A	4837	0.259	linear+linear+linear	3	0.996
Chr4B	Chr4B	3848	0.175	linear	1	0.992
Chr4D	Chr4D+Chr4D	3552	0.101	linear+linear	2	0.986
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A	5387	0.12	linear+linear+linear+linear	4	0.989
Chr5B	Chr5B+Chr5B+Chr5B	5541	0.085	linear+pchip+linear	3	0.995
Chr5D	Chr5D+Chr5D	5534	0.073	linear+linear	2	0.993
Chr6A	Chr6A	4092	0.152	linear	1	0.989
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B	4574	0.128	linear+linear+linear+linear	4	0.987
Chr6D	Chr6D+Chr6D	3976	0.093	linear+linear	2	0.991
Chr7A	Chr7A+Chr7A	5505	0.082	linear+linear	2	0.991
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B	4799	0.14	linear+linear+linear+linear	4	0.987
Chr7D	Chr7D+Chr7D+Chr7D	5366	0.064	linear+linear+pchip_inverted	3	0.991
