gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity	segment
gene:TraesCS5A03G0000100	Chr5A	10126	18461	-	14293	Chr5A	10126	18461	-	14293	1.0	1.0	collinear
gene:TraesCS5A03G0000200	Chr5A	20226	23967	+	22096	Chr5A	20226	23967	+	22096	1.0	1.0	collinear
gene:TraesCS5A03G0000300	Chr5A	28171	30032	-	29101	Chr5A	28171	30032	-	29101	1.0	0.997	collinear
gene:TraesCS5A03G0000400	Chr5A	215597	216821	+	216209	Chr5A	228101	229326	+	228713	1.0	1.0	collinear
gene:TraesCS5A03G0000800	Chr5A	622810	628759	+	625784	Chr5A	638578	644527	+	641552	1.0	1.0	collinear
gene:TraesCS5A03G0000900	Chr5A	628951	630466	+	629708	Chr5A	644719	646234	+	645476	1.0	1.0	collinear
gene:TraesCS5A03G0001000	Chr5A	637855	638799	+	638327	Chr5A	653903	654847	+	654375	1.0	1.0	collinear
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	692543	694327	+	693435	1.0	1.0	collinear
gene:TraesCS5A03G0001500	Chr5A	1684670	1685023	+	1684846	Chr5A	835966	836319	+	836142	1.0	1.0	collinear
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	855353	858565	-	856959	1.0	1.0	collinear
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	1114075	1114440	-	1114257	1.0	1.0	collinear
gene:TraesCS5A03G0002000	Chr5A	2041391	2042111	-	2041751	Chr5A	1200615	1201335	-	1200975	1.0	1.0	collinear
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	1202119	1202601	+	1202360	1.0	1.0	collinear
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	1218671	1227119	+	1222895	1.0	1.0	collinear
gene:TraesCS5A03G0002700	Chr5A	2068880	2071814	+	2070347	Chr5A	1228104	1231038	+	1229571	1.0	1.0	collinear
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	1241766	1242112	+	1241939	1.0	1.0	collinear
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	1302643	1302822	+	1302732	1.0	1.0	collinear
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	1346522	1347511	-	1347016	1.0	1.0	collinear
gene:TraesCS5A03G0003900	Chr5A	2671848	2673352	-	2672600	Chr5A	1758066	1759570	-	1758818	1.0	1.0	collinear
gene:TraesCS5A03G0004000	Chr5A	2741825	2743021	-	2742423	Chr5A	1833619	1834815	-	1834217	1.0	1.0	collinear
gene:TraesCS5A03G0004500	Chr5A	2854750	2859673	-	2857211	Chr5A	1947285	1952551	-	1949918	1.0	1.0	collinear
gene:TraesCS5A03G0004900	Chr5A	2989002	2993252	-	2991127	Chr5A	2081880	2086130	-	2084005	1.0	1.0	collinear
gene:TraesCS5A03G0005200	Chr5A	3010374	3014596	+	3012485	Chr5A	2103640	2107862	+	2105751	1.0	1.0	collinear
gene:TraesCS5A03G0005300	Chr5A	3015603	3020596	+	3018099	Chr5A	2108869	2113862	+	2111365	1.0	1.0	collinear
gene:TraesCS5A03G0005400	Chr5A	3027435	3033237	-	3030336	Chr5A	2120701	2126503	-	2123602	1.0	1.0	collinear
gene:TraesCS5A03G0005500	Chr5A	3081377	3084416	-	3082896	Chr5A	2174649	2177688	-	2176168	1.0	1.0	collinear
gene:TraesCS5A03G0006300	Chr5A	3306994	3308561	-	3307777	Chr5A	2397627	2399194	-	2398410	1.0	1.0	collinear
gene:TraesCS5A03G0006400	Chr5A	3312509	3313435	+	3312972	Chr5A	2403142	2404068	+	2403605	1.0	1.0	collinear
gene:TraesCS5A03G0006500	Chr5A	3315802	3317881	-	3316841	Chr5A	2406435	2408514	-	2407474	1.0	1.0	collinear
gene:TraesCS5A03G0006600	Chr5A	3318157	3321929	-	3320043	Chr5A	2408790	2412563	-	2410676	1.0	0.999	collinear
gene:TraesCS5A03G0006700	Chr5A	3323908	3324402	+	3324155	Chr5A	2414730	2415224	+	2414977	1.0	1.0	collinear
gene:TraesCS5A03G0006800	Chr5A	3330540	3332847	+	3331693	Chr5A	2421362	2423669	+	2422515	1.0	1.0	collinear
gene:TraesCS5A03G0007000	Chr5A	3335666	3337315	-	3336490	Chr5A	2426488	2428137	-	2427312	1.0	1.0	collinear
gene:TraesCS5A03G0007100	Chr5A	3337878	3339413	-	3338645	Chr5A	2428700	2430235	-	2429467	1.0	1.0	collinear
gene:TraesCS5A03G0007500	Chr5A	3522415	3524184	-	3523299	Chr5A	2615782	2617551	-	2616666	1.0	1.0	collinear
gene:TraesCS5A03G0007700	Chr5A	3551523	3556494	-	3554008	Chr5A	2645238	2650209	-	2647723	1.0	1.0	collinear
gene:TraesCS5A03G0007900	Chr5A	3632961	3634579	+	3633770	Chr5A	2727177	2728795	+	2727986	1.0	1.0	collinear
gene:TraesCS5A03G0008000	Chr5A	3769384	3773677	+	3771530	Chr5A	2865722	2870015	+	2867868	1.0	1.0	collinear
gene:TraesCS5A03G0008300	Chr5A	3796488	3802877	-	3799682	Chr5A	2893332	2899721	-	2896526	1.0	1.0	collinear
gene:TraesCS5A03G0008600	Chr5A	3869700	3875455	-	3872577	Chr5A	2970570	2976325	-	2973447	1.0	1.0	collinear
gene:TraesCS5A03G0008900	Chr5A	3992185	3995626	+	3993905	Chr5A	3085412	3088853	+	3087132	1.0	1.0	collinear
gene:TraesCS5A03G0009200	Chr5A	4072714	4080157	+	4076435	Chr5A	3166841	3174284	+	3170562	1.0	1.0	collinear
gene:TraesCS5A03G0009300	Chr5A	4081207	4083626	+	4082416	Chr5A	3175334	3177753	+	3176543	1.0	1.0	collinear
gene:TraesCS5A03G0009400	Chr5A	4100653	4103564	-	4102108	Chr5A	3194780	3197691	-	3196235	1.0	1.0	collinear
gene:TraesCS5A03G0009500	Chr5A	4120412	4124180	-	4122296	Chr5A	3215100	3218868	-	3216984	1.0	1.0	collinear
gene:TraesCS5A03G0009700	Chr5A	4186460	4199135	+	4192797	Chr5A	3281861	3294536	+	3288198	1.0	1.0	collinear
gene:TraesCS5A03G0009900	Chr5A	4216771	4219824	+	4218297	Chr5A	3312172	3315225	+	3313698	1.0	1.0	collinear
gene:TraesCS5A03G0010100	Chr5A	4264649	4265629	-	4265139	Chr5A	3360527	3361507	-	3361017	1.0	1.0	collinear
gene:TraesCS5A03G0010300	Chr5A	4274826	4278699	-	4276762	Chr5A	3370704	3374577	-	3372640	1.0	1.0	collinear
gene:TraesCS5A03G0010400	Chr5A	4289135	4289901	+	4289518	Chr5A	3385013	3385779	+	3385396	1.0	1.0	collinear
