gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity	segment
gene:TraesCS6B03G0003900	Chr6B	1217867	1224899	+	1221383	Chr6B	2302243	2309275	-	2305759	1.0	1.0	collinear
gene:TraesCS6B03G0004100	Chr6B	1270563	1271358	-	1270960	Chr6B	2255419	2256214	+	2255816	1.0	1.0	collinear
gene:TraesCS6B03G0004500	Chr6B	1356705	1358539	+	1357622	Chr6B	2167279	2169113	-	2168196	1.0	1.0	collinear
gene:TraesCS6B03G0004800	Chr6B	1449770	1452891	-	1451330	Chr6B	2072182	2075303	+	2073742	1.0	1.0	collinear
gene:TraesCS6B03G0004900	Chr6B	1463243	1464019	+	1463631	Chr6B	2060823	2061599	-	2061211	1.0	1.0	collinear
gene:TraesCS6B03G0005700	Chr6B	1553584	1555369	-	1554476	Chr6B	1968989	1970774	+	1969881	1.0	1.0	collinear
gene:TraesCS6B03G0006000	Chr6B	1585204	1589474	-	1587339	Chr6B	1934367	1938637	+	1936502	1.0	1.0	collinear
gene:TraesCS6B03G0006600	Chr6B	1918826	1930684	+	1924755	Chr6B	1603857	1616068	-	1609962	1.0	1.0	collinear
gene:TraesCS6B03G0006900	Chr6B	1960140	1964803	+	1962471	Chr6B	1569738	1574401	-	1572069	1.0	1.0	collinear
gene:TraesCS6B03G0007000	Chr6B	2097695	2158332	-	2128013	Chr6B	1375265	1436005	+	1405635	1.0	1.0	collinear
gene:TraesCS6B03G0007100	Chr6B	2163047	2165544	-	2164295	Chr6B	1368051	1370548	+	1369299	1.0	1.0	collinear
gene:TraesCS6B03G0007200	Chr6B	2258074	2311692	-	2284883	Chr6B	1218446	1273798	+	1246122	1.0	1.0	collinear
gene:TraesCS6B03G0007300	Chr6B	2347220	2347510	-	2347365	Chr6B	1182266	1182556	+	1182411	1.0	1.0	collinear
gene:TraesCS6B03G0007500	Chr6B	2396042	2397882	+	2396962	Chr6B	1131389	1133229	-	1132309	1.0	1.0	collinear
gene:TraesCS6B03G0007700	Chr6B	2507209	2508578	-	2507893	Chr6B	1019074	1020443	+	1019758	1.0	1.0	collinear
gene:TraesCS6B03G0007800	Chr6B	2515997	2524753	-	2520375	Chr6B	1002899	1011655	+	1007277	1.0	1.0	collinear
gene:TraesCS6B03G0008100	Chr6B	2581651	2582883	-	2582267	Chr6B	944442	945674	+	945058	1.0	1.0	collinear
gene:TraesCS6B03G0011300	Chr6B	3978765	3980409	+	3979587	Chr6B	4971351	4972995	-	4972173	1.0	1.0	collinear
gene:TraesCS6B03G0011400	Chr6B	4007165	4008627	-	4007896	Chr6B	4943133	4944595	+	4943864	1.0	1.0	collinear
gene:TraesCS6B03G0011500	Chr6B	4061981	4062939	+	4062460	Chr6B	4888821	4889779	-	4889300	1.0	1.0	collinear
gene:TraesCS6B03G0011600	Chr6B	4066472	4067398	+	4066935	Chr6B	4884362	4885288	-	4884825	1.0	1.0	collinear
gene:TraesCS6B03G0011900	Chr6B	4074231	4078635	-	4076433	Chr6B	4873125	4877529	+	4875327	1.0	1.0	collinear
gene:TraesCS6B03G0012000	Chr6B	4088101	4092324	+	4090212	Chr6B	4859436	4863659	-	4861547	1.0	1.0	collinear
