cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr5B	18593	150623157	Chr5B	18796	149330732	1047	0.9996475644699141
Chr5B	153027140	156551532	Chr5B	152509380	155715058	8	1.0
Chr5B	158568371	169148558	Chr5B	157030866	167292122	18	0.9999444444444445
Chr5B	171520075	195927921	Chr5B	169679679	194187169	37	0.9996486486486487
Chr5B	199556820	203897660	Chr5B	196237920	202210828	9	0.9997777777777777
Chr5B	206148489	239465934	Chr5B	202891999	236283952	124	0.9993548387096775
Chr5B	241488361	344742710	Chr5B	238316269	341562322	586	0.9997679180887372
Chr5B	346985936	694027439	Chr5B	343826709	692695841	3366	0.9997540106951872
Chr5B	698066477	702913650	Chr5B	695424146	700236718	76	1.0
Chr5B	705622799	714671459	Chr5B	704074687	713015937	180	0.9994944444444444
Chr5B	694349338	697835876	Chr5B	700333219	703858476	64	0.999015625
Chr5B	703643875	705342790	Chr5B	693004530	694693321	26	1.0
