gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity	segment
gene:TraesCS3B03G0031900	Chr3B	10984123	10991077	+	10987600	Chr3B	5134029	5140986	-	5137507	0.999	0.998	collinear
gene:TraesCS3B03G0032700	Chr3B	11040214	11040513	-	11040363	Chr3B	5083608	5083907	+	5083757	1.0	1.0	collinear
gene:TraesCS3B03G0032800	Chr3B	11040564	11041643	+	11041103	Chr3B	5082478	5083557	-	5083017	1.0	1.0	collinear
gene:TraesCS3B03G0033000	Chr3B	11047699	11048402	-	11048050	Chr3B	5075719	5076422	+	5076070	1.0	1.0	collinear
gene:TraesCS3B03G0033100	Chr3B	11053832	11054522	-	11054177	Chr3B	5069599	5070289	+	5069944	1.0	1.0	collinear
gene:TraesCS3B03G0033200	Chr3B	11064590	11065892	-	11065241	Chr3B	4202094	4203405	+	4202749	1.0	1.0	collinear
gene:TraesCS3B03G0033500	Chr3B	11087089	11089052	-	11088070	Chr3B	5035113	5037076	+	5036094	1.0	1.0	collinear
gene:TraesCS3B03G0034500	Chr3B	11323937	11324951	+	11324444	Chr3B	4799215	4800229	-	4799722	1.0	1.0	collinear
gene:TraesCS3B03G0034700	Chr3B	11336624	11338440	-	11337532	Chr3B	4785726	4787542	+	4786634	1.0	1.0	collinear
gene:TraesCS3B03G0034800	Chr3B	11342223	11343646	-	11342934	Chr3B	4780520	4781943	+	4781231	1.0	1.0	collinear
gene:TraesCS3B03G0035000	Chr3B	11358679	11367360	+	11363019	Chr3B	4756806	4765487	-	4761146	1.0	1.0	collinear
gene:TraesCS3B03G0035200	Chr3B	11376630	11380418	+	11378524	Chr3B	4743748	4747536	-	4745642	1.0	1.0	collinear
gene:TraesCS3B03G0035400	Chr3B	11418909	11422285	-	11420597	Chr3B	4701881	4705257	+	4703569	1.0	1.0	collinear
gene:TraesCS3B03G0035700	Chr3B	11460688	11462059	+	11461373	Chr3B	4662107	4663478	-	4662792	1.0	1.0	collinear
gene:TraesCS3B03G0036100	Chr3B	11557048	11558946	+	11557997	Chr3B	5169036	5170934	+	5169985	1.0	1.0	collinear
gene:TraesCS3B03G0036200	Chr3B	11560260	11561135	+	11560697	Chr3B	5172248	5173123	+	5172685	1.0	1.0	collinear
gene:TraesCS3B03G0036400	Chr3B	11562146	11562933	+	11562539	Chr3B	5174134	5174921	+	5174527	1.0	1.0	collinear
gene:TraesCS3B03G0036500	Chr3B	11587168	11589299	+	11588233	Chr3B	5199156	5201287	+	5200221	1.0	1.0	collinear
gene:TraesCS3B03G0036700	Chr3B	11595143	11595980	+	11595561	Chr3B	5207131	5207968	+	5207549	1.0	1.0	collinear
gene:TraesCS3B03G0037000	Chr3B	11618218	11622797	-	11620507	Chr3B	5230206	5234785	-	5232495	1.0	1.0	collinear
gene:TraesCS3B03G0037300	Chr3B	11709744	11711652	-	11710698	Chr3B	5321732	5323640	-	5322686	1.0	1.0	collinear
gene:TraesCS3B03G0037600	Chr3B	11793982	11794686	+	11794334	Chr3B	5405970	5406674	+	5406322	1.0	1.0	collinear
gene:TraesCS3B03G0037700	Chr3B	11796363	11796932	+	11796647	Chr3B	5408351	5408920	+	5408635	1.0	1.0	collinear
gene:TraesCS3B03G0037900	Chr3B	11947904	11950970	+	11949437	Chr3B	7611649	7614877	-	7613263	1.0	1.0	collinear
gene:TraesCS3B03G0038000	Chr3B	11951308	11954850	-	11953079	Chr3B	7607769	7611311	+	7609540	1.0	1.0	collinear
gene:TraesCS3B03G0038200	Chr3B	11956531	11958854	-	11957692	Chr3B	7603765	7606088	+	7604926	1.0	1.0	collinear
gene:TraesCS3B03G0038500	Chr3B	11961737	11963712	-	11962724	Chr3B	7598907	7600882	+	7599894	1.0	1.0	collinear
gene:TraesCS3B03G0038600	Chr3B	11965423	11968168	+	11966795	Chr3B	7594451	7597196	-	7595823	1.0	1.0	collinear
gene:TraesCS3B03G0038800	Chr3B	12071707	12079854	+	12075780	Chr3B	7481916	7490063	-	7485989	1.0	1.0	collinear
gene:TraesCS3B03G0038900	Chr3B	12176373	12178583	+	12177478	Chr3B	7382432	7384642	-	7383537	1.0	1.0	collinear
gene:TraesCS3B03G0039100	Chr3B	12184132	12185097	+	12184614	Chr3B	7375918	7376883	-	7376400	1.0	1.0	collinear
gene:TraesCS3B03G0039200	Chr3B	12185415	12189726	-	12187570	Chr3B	7371289	7375600	+	7373444	1.0	1.0	collinear
gene:TraesCS3B03G0039400	Chr3B	12225935	12226465	-	12226200	Chr3B	7333726	7334256	+	7333991	1.0	1.0	collinear
gene:TraesCS3B03G0040300	Chr3B	12365034	12368968	+	12367001	Chr3B	7187456	7191390	-	7189423	1.0	1.0	collinear
gene:TraesCS3B03G0040400	Chr3B	12369257	12370173	+	12369715	Chr3B	7186251	7187167	-	7186709	1.0	1.0	collinear
gene:TraesCS3B03G0040500	Chr3B	12371609	12375309	-	12373459	Chr3B	7181115	7184815	+	7182965	1.0	1.0	collinear
gene:TraesCS3B03G0041000	Chr3B	12477307	12481295	-	12479301	Chr3B	7073390	7077378	+	7075384	1.0	1.0	collinear
gene:TraesCS3B03G0041100	Chr3B	12485475	12491384	+	12488429	Chr3B	7063270	7069210	-	7066240	1.0	1.0	collinear
gene:TraesCS3B03G0041200	Chr3B	12585694	12587050	-	12586372	Chr3B	6966996	6968352	+	6967674	1.0	1.0	collinear
gene:TraesCS3B03G0041300	Chr3B	12590773	12592281	+	12591527	Chr3B	6961765	6963273	-	6962519	1.0	1.0	collinear
gene:TraesCS3B03G0041400	Chr3B	12595610	12597051	-	12596330	Chr3B	6956995	6958436	+	6957715	1.0	1.0	collinear
gene:TraesCS3B03G0041500	Chr3B	12601924	12602601	-	12602262	Chr3B	6951445	6952122	+	6951783	1.0	1.0	collinear
gene:TraesCS3B03G0041600	Chr3B	12608171	12608647	-	12608409	Chr3B	6945399	6945875	+	6945637	1.0	1.0	collinear
gene:TraesCS3B03G0041800	Chr3B	13120457	13120807	-	13120632	Chr3B	8004562	8004912	-	8004737	1.0	1.0	collinear
gene:TraesCS3B03G0042000	Chr3B	13140448	13146598	+	13143523	Chr3B	8024553	8030703	+	8027628	1.0	1.0	collinear
gene:TraesCS3B03G0042100	Chr3B	13150614	13151953	+	13151283	Chr3B	8034719	8036058	+	8035388	1.0	1.0	collinear
gene:TraesCS3B03G0042200	Chr3B	13155850	13159257	+	13157553	Chr3B	8039955	8043362	+	8041658	1.0	1.0	collinear
gene:TraesCS3B03G0042400	Chr3B	13188801	13190896	+	13189848	Chr3B	8073091	8075186	+	8074138	1.0	1.0	collinear
gene:TraesCS3B03G0042500	Chr3B	13244270	13247808	+	13246039	Chr3B	8129928	8133466	+	8131697	1.0	1.0	collinear
gene:TraesCS3B03G0042700	Chr3B	13247846	13251928	-	13249887	Chr3B	8133504	8137586	-	8135545	1.0	1.0	collinear
gene:TraesCS3B03G0043500	Chr3B	13267715	13268552	-	13268133	Chr3B	8153373	8154210	-	8153791	1.0	1.0	collinear
gene:TraesCS3B03G0044100	Chr3B	13452540	13459855	+	13456197	Chr3B	8339237	8346552	+	8342894	1.0	1.0	collinear
gene:TraesCS3B03G0044300	Chr3B	13602908	13607618	+	13605263	Chr3B	8490844	8495554	+	8493199	1.0	1.0	collinear
gene:TraesCS3B03G0044500	Chr3B	13617584	13618512	+	13618048	Chr3B	8505520	8506448	+	8505984	1.0	1.0	collinear
gene:TraesCS3B03G0044600	Chr3B	13624135	13625145	+	13624640	Chr3B	8512071	8513081	+	8512576	1.0	1.0	collinear
gene:TraesCS3B03G0045000	Chr3B	13638687	13641490	+	13640088	Chr3B	8526623	8529426	+	8528024	1.0	1.0	collinear
gene:TraesCS3B03G0045200	Chr3B	13651284	13654171	-	13652727	Chr3B	8539220	8542107	-	8540663	1.0	1.0	collinear
gene:TraesCS3B03G0045900	Chr3B	13743583	13744821	-	13744202	Chr3B	8633795	8635033	-	8634414	1.0	1.0	collinear
gene:TraesCS3B03G0046100	Chr3B	13753742	13756833	-	13755287	Chr3B	8643329	8646420	-	8644874	1.0	1.0	collinear
gene:TraesCS3B03G0046200	Chr3B	13794541	13796737	-	13795639	Chr3B	8684815	8687011	-	8685913	1.0	1.0	collinear
gene:TraesCS3B03G0046600	Chr3B	13842867	13847314	+	13845090	Chr3B	8733389	8737836	+	8735612	1.0	1.0	collinear
gene:TraesCS3B03G0046900	Chr3B	13889123	13890558	+	13889840	Chr3B	8781155	8782591	+	8781873	1.0	0.999	collinear
gene:TraesCS3B03G0047100	Chr3B	13894018	13894831	+	13894424	Chr3B	8786051	8786864	+	8786457	1.0	1.0	collinear
gene:TraesCS3B03G0047200	Chr3B	13900782	13902099	+	13901440	Chr3B	8792815	8794132	+	8793473	1.0	1.0	collinear
gene:TraesCS3B03G0047300	Chr3B	13904992	13908357	+	13906674	Chr3B	8797025	8800390	+	8798707	1.0	1.0	collinear
gene:TraesCS3B03G0047500	Chr3B	13908853	13909704	-	13909278	Chr3B	8800886	8801737	-	8801311	1.0	0.998	collinear
gene:TraesCS3B03G0047600	Chr3B	13912323	13919989	+	13916156	Chr3B	8804356	8812022	+	8808189	1.0	1.0	collinear
gene:TraesCS3B03G0047700	Chr3B	13920909	13922384	+	13921646	Chr3B	8812942	8814417	+	8813679	1.0	1.0	collinear
gene:TraesCS3B03G0047800	Chr3B	13924243	13934714	-	13929478	Chr3B	8816276	8826946	-	8821611	1.0	1.0	collinear
gene:TraesCS3B03G0048000	Chr3B	13954460	13967646	-	13961053	Chr3B	8846692	8860125	-	8853408	1.0	1.0	collinear
gene:TraesCS3B03G0049200	Chr3B	14197012	14200919	+	14198965	Chr3B	9090142	9094049	+	9092095	1.0	1.0	collinear
gene:TraesCS3B03G0049300	Chr3B	14204526	14205980	-	14205253	Chr3B	9097656	9099110	-	9098383	1.0	1.0	collinear
gene:TraesCS3B03G0049400	Chr3B	14272431	14284305	-	14278368	Chr3B	9165564	9177438	-	9171501	1.0	1.0	collinear
gene:TraesCS3B03G0049500	Chr3B	14294561	14297938	-	14296249	Chr3B	9187694	9191071	-	9189382	1.0	1.0	collinear
gene:TraesCS3B03G0050500	Chr3B	14456299	14456661	-	14456480	Chr3B	9349697	9350059	-	9349878	1.0	1.0	collinear
gene:TraesCS3B03G0050900	Chr3B	14518868	14523037	+	14520952	Chr3B	9396614	9400783	+	9398698	1.0	1.0	collinear
gene:TraesCS3B03G0051000	Chr3B	14526596	14531005	+	14528800	Chr3B	9404342	9408751	+	9406546	1.0	1.0	collinear
gene:TraesCS3B03G0051100	Chr3B	14539683	14542511	-	14541097	Chr3B	9417779	9420607	-	9419193	1.0	1.0	collinear
gene:TraesCS3B03G0051200	Chr3B	14549103	14549399	-	14549251	Chr3B	9427199	9427495	-	9427347	1.0	1.0	collinear
gene:TraesCS3B03G0051500	Chr3B	14560796	14563932	+	14562364	Chr3B	9439165	9442301	+	9440733	1.0	1.0	collinear
gene:TraesCS3B03G0051600	Chr3B	14690068	14694638	-	14692353	Chr3B	9568439	9573009	-	9570724	1.0	1.0	collinear
gene:TraesCS3B03G0052000	Chr3B	14897747	14904386	+	14901066	Chr3B	9776149	9782832	+	9779490	1.0	0.992	collinear
gene:TraesCS3B03G0052100	Chr3B	15000580	15002150	+	15001365	Chr3B	9879823	9881393	+	9880608	1.0	1.0	collinear
gene:TraesCS3B03G0052200	Chr3B	15007722	15009140	-	15008431	Chr3B	9886966	9888418	-	9887692	1.0	0.995	collinear
gene:TraesCS3B03G0052300	Chr3B	15027310	15027876	-	15027593	Chr3B	9906588	9907154	-	9906871	1.0	1.0	collinear
gene:TraesCS3B03G0052400	Chr3B	15034510	15038343	+	15036426	Chr3B	9913916	9917749	+	9915832	1.0	1.0	collinear
gene:TraesCS3B03G0052500	Chr3B	15043587	15043985	-	15043786	Chr3B	9922993	9923391	-	9923192	1.0	1.0	collinear
gene:TraesCS3B03G0052700	Chr3B	15050859	15051645	-	15051252	Chr3B	9930559	9931345	-	9930952	1.0	1.0	collinear
gene:TraesCS3B03G0052800	Chr3B	15051800	15059713	-	15055756	Chr3B	9931500	9939414	-	9935457	1.0	1.0	collinear
gene:TraesCS3B03G0053000	Chr3B	15128456	15129483	+	15128969	Chr3B	10013879	10014906	+	10014392	1.0	1.0	collinear
gene:TraesCS3B03G0053100	Chr3B	15160153	15163258	+	15161705	Chr3B	10045662	10048767	+	10047214	1.0	1.0	collinear
gene:TraesCS3B03G0053200	Chr3B	15164778	15165608	-	15165193	Chr3B	10050287	10051117	-	10050702	1.0	1.0	collinear
gene:TraesCS3B03G0053600	Chr3B	15283665	15288089	+	15285877	Chr3B	10170580	10175005	+	10172792	1.0	1.0	collinear
gene:TraesCS3B03G0053700	Chr3B	15311739	15315173	-	15313456	Chr3B	10198656	10202090	-	10200373	1.0	1.0	collinear
gene:TraesCS3B03G0053800	Chr3B	15334364	15335548	+	15334956	Chr3B	10221325	10222509	+	10221917	1.0	1.0	collinear
gene:TraesCS3B03G0053900	Chr3B	15344103	15347794	+	15345948	Chr3B	10231065	10234756	+	10232910	1.0	1.0	collinear
gene:TraesCS3B03G0054200	Chr3B	15361834	15364625	-	15363229	Chr3B	10248796	10251587	-	10250191	1.0	1.0	collinear
gene:TraesCS3B03G0054900	Chr3B	15413768	15421229	-	15417498	Chr3B	10301553	10309014	-	10305283	1.0	1.0	collinear
gene:TraesCS3B03G0055000	Chr3B	15437025	15455773	-	15446399	Chr3B	10325132	10343880	-	10334506	1.0	1.0	collinear
gene:TraesCS3B03G0055300	Chr3B	15499630	15504311	+	15501970	Chr3B	10388175	10392856	+	10390515	1.0	1.0	collinear
gene:TraesCS3B03G0055400	Chr3B	15517604	15518449	+	15518026	Chr3B	10406614	10407459	+	10407036	1.0	1.0	collinear
gene:TraesCS3B03G0055900	Chr3B	15673079	15684480	-	15678779	Chr3B	10562122	10573523	-	10567822	1.0	1.0	collinear
gene:TraesCS3B03G0056000	Chr3B	15737539	15742920	-	15740229	Chr3B	10627150	10632531	-	10629840	1.0	1.0	collinear
gene:TraesCS3B03G0056300	Chr3B	15774884	15775192	-	15775038	Chr3B	10664871	10665179	-	10665025	1.0	1.0	collinear
gene:TraesCS3B03G0056500	Chr3B	15817353	15827081	-	15822217	Chr3B	10707583	10717161	-	10712372	1.0	0.999	collinear
gene:TraesCS3B03G0056800	Chr3B	15843661	15844865	-	15844263	Chr3B	10733741	10734945	-	10734343	1.0	1.0	collinear
gene:TraesCS3B03G0057200	Chr3B	16030592	16032356	+	16031474	Chr3B	10921798	10923562	+	10922680	1.0	1.0	collinear
gene:TraesCS3B03G0057500	Chr3B	16061723	16065343	+	16063533	Chr3B	10953564	10957184	+	10955374	1.0	1.0	collinear
gene:TraesCS3B03G0057600	Chr3B	16069780	16071754	-	16070767	Chr3B	10961858	10963832	-	10962845	1.0	1.0	collinear
gene:TraesCS3B03G0057700	Chr3B	16116348	16118134	-	16117241	Chr3B	11008480	11010266	-	11009373	1.0	1.0	collinear
gene:TraesCS3B03G0057800	Chr3B	16172883	16174668	-	16173775	Chr3B	11065288	11067073	-	11066180	1.0	1.0	collinear
gene:TraesCS3B03G0058000	Chr3B	16194029	16197637	-	16195833	Chr3B	11086781	11090389	-	11088585	1.0	1.0	collinear
gene:TraesCS3B03G0058200	Chr3B	16220505	16234337	-	16227421	Chr3B	11113698	11127873	-	11120785	1.0	1.0	collinear
gene:TraesCS3B03G0058300	Chr3B	16234949	16236097	+	16235523	Chr3B	11128485	11129633	+	11129059	1.0	1.0	collinear
gene:TraesCS3B03G0058800	Chr3B	16336336	16337294	-	16336815	Chr3B	11229873	11230831	-	11230352	1.0	1.0	collinear
gene:TraesCS3B03G0058900	Chr3B	16337986	16339408	+	16338697	Chr3B	11231523	11232945	+	11232234	1.0	1.0	collinear
gene:TraesCS3B03G0059100	Chr3B	16346206	16348027	+	16347116	Chr3B	11239743	11241564	+	11240653	1.0	1.0	collinear
gene:TraesCS3B03G0059900	Chr3B	16595969	16597796	+	16596882	Chr3B	11466398	11468225	+	11467311	1.0	1.0	collinear
gene:TraesCS3B03G0060000	Chr3B	16599118	16600593	+	16599855	Chr3B	11469547	11471022	+	11470284	1.0	1.0	collinear
gene:TraesCS3B03G0060100	Chr3B	16639543	16641393	+	16640468	Chr3B	11510662	11512512	+	11511587	1.0	1.0	collinear
gene:TraesCS3B03G0060600	Chr3B	16689738	16691550	+	16690644	Chr3B	11561317	11563129	+	11562223	1.0	1.0	collinear
gene:TraesCS3B03G0060700	Chr3B	16729361	16731316	+	16730338	Chr3B	11601482	11603437	+	11602459	1.0	1.0	collinear
gene:TraesCS3B03G0060900	Chr3B	16780490	16785416	+	16782953	Chr3B	11653172	11658098	+	11655635	1.0	1.0	collinear
gene:TraesCS3B03G0061000	Chr3B	16786385	16787808	-	16787096	Chr3B	11659067	11660490	-	11659778	1.0	1.0	collinear
gene:TraesCS3B03G0061200	Chr3B	16791104	16792637	+	16791870	Chr3B	11663786	11665319	+	11664552	1.0	1.0	collinear
gene:TraesCS3B03G0061300	Chr3B	16822626	16823847	+	16823236	Chr3B	11695307	11696528	+	11695917	1.0	1.0	collinear
gene:TraesCS3B03G0061500	Chr3B	17008884	17010546	+	17009715	Chr3B	11882824	11884486	+	11883655	1.0	1.0	collinear
gene:TraesCS3B03G0061600	Chr3B	17034518	17035625	+	17035071	Chr3B	11908458	11909565	+	11909011	1.0	1.0	collinear
gene:TraesCS3B03G0061700	Chr3B	17050106	17051521	+	17050813	Chr3B	11924285	11925700	+	11924992	1.0	1.0	collinear
gene:TraesCS3B03G0061800	Chr3B	17053569	17054760	+	17054164	Chr3B	11927748	11928939	+	11928343	1.0	1.0	collinear
