cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr1B	25977463	26454552	Chr1B	30395529	30881192	10	0.9998000000000001
Chr1B	170123	38402288	Chr1B	170911	36186883	528	0.9994621212121212
Chr1B	40611674	81974218	Chr1B	36267903	76138867	321	0.9997601246105919
Chr1B	86500196	91210816	Chr1B	80709308	85441230	18	0.9998888888888889
Chr1B	93460686	224268457	Chr1B	87732453	218433567	590	0.9995711864406781
Chr1B	226868456	237708948	Chr1B	220753045	231641237	15	0.9998666666666666
Chr1B	240313663	244692138	Chr1B	234252905	238674276	8	1.0
Chr1B	246841035	249142619	Chr1B	239778311	243089038	6	1.0
Chr1B	251958660	272283175	Chr1B	245942911	266264632	50	0.99902
Chr1B	274419536	296088628	Chr1B	267878600	289694136	79	0.9992784810126581
Chr1B	298738700	298817103	Chr1B	292342566	292422556	5	1.0
Chr1B	301350787	700379038	Chr1B	294946215	689851652	3065	0.9996140293637846
