cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr5B	86657	606422	Chr5B	8419	454164	5	0.9795999999999999
Chr5B	2703134	5092533	Chr5B	2276709	4919715	18	0.9999444444444445
Chr5B	6276500	6708889	Chr5B	7879733	8238735	9	0.9888888888888889
Chr5B	24228124	24633376	Chr5B	25542004	25991441	9	0.9932222222222222
Chr5B	18593	2322900	Chr5B	5299239	6849437	11	0.9952727272727273
Chr5B	7027104	150623157	Chr5B	10566142	153367024	947	0.9963083421330517
Chr5B	153027140	156551532	Chr5B	155472581	159343867	7	1.0
Chr5B	158568371	169148558	Chr5B	160406516	170168246	16	0.9999375
Chr5B	184749689	187002427	Chr5B	182028836	184229564	6	0.9981666666666666
Chr5B	199556820	199784954	Chr5B	194667327	194895745	3	0.9996666666666667
Chr5B	206148489	239465934	Chr5B	203753080	236508025	124	0.9991451612903226
Chr5B	241488361	344742710	Chr5B	238508486	340808348	575	0.9980886956521741
Chr5B	346985936	386215007	Chr5B	342978597	382082705	214	0.9977850467289721
Chr5B	389314561	415604247	Chr5B	382361701	408264448	204	0.9983970588235295
Chr5B	417734794	468840446	Chr5B	409354227	459056418	431	0.9971345707656613
Chr5B	487627654	495272700	Chr5B	479402893	487186246	90	0.9919111111111112
Chr5B	497312929	714136916	Chr5B	487230507	690731140	2249	0.9922454424188528
Chr5B	469005971	486009400	Chr5B	462817402	479393519	183	0.9952622950819671
Chr5B	714259550	714671459	Chr5B	686819030	687224023	15	0.9808
