gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	248884	250450	-	249667	0.958	0.922
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	250797	252394	-	251595	1.0	0.998
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	634084	638022	+	636053	0.985	0.985
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	638895	643028	-	640961	1.0	0.992
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	693554	694768	+	694161	0.985	0.97
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	696189	701519	-	698854	1.0	0.992
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	714808	718053	+	716430	0.998	0.984
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	749210	749839	+	749524	1.0	0.973
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	799551	800177	-	799864	1.0	0.992
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	851936	852325	+	852130	0.992	0.969
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	875287	876911	+	876099	1.0	0.972
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	875436	876809	-	876122	1.0	0.967
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	890956	894237	+	892596	1.0	0.994
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1091044	1093009	+	1092026	0.975	0.973
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1104880	1105800	+	1105340	1.0	0.996
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	1107348	1109076	-	1108212	0.997	0.996
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	1110745	1111855	+	1111300	1.0	1.0
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	1261803	1263573	+	1262688	0.998	0.998
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	1275155	1276198	+	1275676	1.0	1.0
gene:TraesCS4B03G0003200	Chr4B	1322700	1324740	+	1323720	Chr4B	1292862	1294902	+	1293882	1.0	0.999
gene:TraesCS4B03G0003300	Chr4B	1336993	1338899	+	1337946	Chr4B	1307155	1309061	+	1308108	1.0	1.0
gene:TraesCS4B03G0003400	Chr4B	1351991	1352386	-	1352188	Chr4B	1324365	1324760	-	1324562	1.0	1.0
gene:TraesCS4B03G0003600	Chr4B	1386123	1388841	+	1387482	Chr4B	1358260	1360978	+	1359619	1.0	1.0
gene:TraesCS4B03G0003700	Chr4B	1405651	1408832	+	1407241	Chr4B	1377788	1380970	+	1379379	1.0	0.999
gene:TraesCS4B03G0003800	Chr4B	1685750	1687075	+	1686412	Chr4B	1851428	1852753	+	1852090	1.0	1.0
gene:TraesCS4B03G0004200	Chr4B	1757457	1761476	+	1759466	Chr4B	1924023	1928042	+	1926032	1.0	1.0
gene:TraesCS4B03G0004300	Chr4B	1762923	1767453	+	1765188	Chr4B	1929489	1933971	+	1931730	1.0	1.0
gene:TraesCS4B03G0004400	Chr4B	1769850	1774224	+	1772037	Chr4B	1936314	1940688	+	1938501	1.0	0.999
gene:TraesCS4B03G0004500	Chr4B	1775068	1779099	+	1777083	Chr4B	1941532	1945563	+	1943547	1.0	0.999
gene:TraesCS4B03G0004900	Chr4B	1839220	1843075	+	1841147	Chr4B	2005965	2009820	+	2007892	1.0	1.0
gene:TraesCS4B03G0005300	Chr4B	2021348	2025490	-	2023419	Chr4B	2044833	2048900	-	2046866	0.988	0.971
gene:TraesCS4B03G0005400	Chr4B	2134054	2136160	+	2135107	Chr4B	2457365	2459471	+	2458418	1.0	0.997
