gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity
gene:TraesCS7A03G0000200	Chr7A	237447	240619	+	239033	Chr7A	2015818	2019433	-	2017625	0.997	0.951
gene:TraesCS7A03G0000300	Chr7A	241763	245662	-	243712	Chr7A	2010251	2014672	+	2012461	0.994	0.979
gene:TraesCS7A03G0000400	Chr7A	249969	253391	+	251680	Chr7A	2002442	2005885	-	2004163	0.997	0.982
gene:TraesCS7A03G0001000	Chr7A	287782	289092	+	288437	Chr7A	1959604	1960919	-	1960261	1.0	0.995
gene:TraesCS7A03G0001800	Chr7A	329150	329954	+	329552	Chr7A	1918158	1918962	-	1918560	1.0	0.997
gene:TraesCS7A03G0001900	Chr7A	339975	343261	-	341618	Chr7A	1904785	1908071	+	1906428	1.0	0.998
gene:TraesCS7A03G0002500	Chr7A	458993	460972	-	459982	Chr7A	1759672	1761681	+	1760676	1.0	0.98
gene:TraesCS7A03G0003300	Chr7A	658982	671984	-	665483	Chr7A	1655616	1668613	+	1662114	1.0	1.0
gene:TraesCS7A03G0003400	Chr7A	751650	755043	-	753346	Chr7A	1571473	1574856	+	1573164	0.996	0.991
gene:TraesCS7A03G0003500	Chr7A	776562	777005	-	776783	Chr7A	1550558	1551001	+	1550779	1.0	0.981
gene:TraesCS7A03G0004100	Chr7A	965060	971771	+	968415	Chr7A	1481705	1488412	-	1485058	0.996	0.983
gene:TraesCS7A03G0004300	Chr7A	1116397	1117068	+	1116732	Chr7A	1177678	1178349	-	1178013	1.0	0.998
gene:TraesCS7A03G0004800	Chr7A	1288480	1289699	+	1289089	Chr7A	419403	420600	-	420001	0.999	0.911
gene:TraesCS7A03G0005100	Chr7A	1331278	1332098	-	1331688	Chr7A	27424	28238	-	27831	0.989	0.987
gene:TraesCS7A03G0005200	Chr7A	1335552	1337332	-	1336442	Chr7A	31698	33478	-	32588	1.0	0.997
gene:TraesCS7A03G0005400	Chr7A	1385966	1392029	+	1388997	Chr7A	85162	90768	+	87965	0.988	0.987
gene:TraesCS7A03G0005500	Chr7A	1419975	1425182	+	1422578	Chr7A	118473	123680	+	121076	1.0	0.998
gene:TraesCS7A03G0006400	Chr7A	1511767	1523016	-	1517391	Chr7A	637715	646980	-	642347	1.0	0.984
gene:TraesCS7A03G0006500	Chr7A	1536839	1539713	+	1538276	Chr7A	679860	682602	+	681231	0.987	0.957
gene:TraesCS7A03G0006900	Chr7A	1705137	1706808	+	1705972	Chr7A	855446	857118	+	856282	1.0	0.984
gene:TraesCS7A03G0007100	Chr7A	1716639	1726072	-	1721355	Chr7A	869137	878384	-	873760	0.998	0.992
gene:TraesCS7A03G0007200	Chr7A	1727345	1733016	+	1730180	Chr7A	879673	885326	+	882499	0.991	0.989
gene:TraesCS7A03G0007300	Chr7A	1733546	1738771	-	1736158	Chr7A	885856	891094	-	888475	1.0	0.994
gene:TraesCS7A03G0007400	Chr7A	1757255	1763142	-	1760198	Chr7A	909590	915575	-	912582	1.0	0.994
gene:TraesCS7A03G0015400	Chr7A	3535034	3539531	+	3537282	Chr7A	6037092	6041589	-	6039340	1.0	1.0
gene:TraesCS7A03G0015600	Chr7A	3546804	3556209	-	3551506	Chr7A	6020400	6029805	+	6025102	1.0	1.0
gene:TraesCS7A03G0016000	Chr7A	3663911	3665431	-	3664671	Chr7A	5911367	5912887	+	5912127	1.0	1.0
gene:TraesCS7A03G0016100	Chr7A	3692034	3695203	-	3693618	Chr7A	5881585	5884754	+	5883169	1.0	1.0
gene:TraesCS7A03G0016200	Chr7A	3702171	3706803	+	3704487	Chr7A	5869987	5874619	-	5872303	1.0	1.0
gene:TraesCS7A03G0016500	Chr7A	3748234	3755701	-	3751967	Chr7A	5821210	5828677	+	5824943	1.0	1.0
gene:TraesCS7A03G0016700	Chr7A	3898594	3902526	+	3900560	Chr7A	5674310	5678242	-	5676276	1.0	0.999
gene:TraesCS7A03G0017000	Chr7A	3922888	3926902	-	3924895	Chr7A	5649937	5653945	+	5651941	0.996	0.984
gene:TraesCS7A03G0017300	Chr7A	3958659	3963485	-	3961072	Chr7A	5630851	5635678	+	5633264	1.0	0.994
gene:TraesCS7A03G0017400	Chr7A	3964572	3969793	-	3967182	Chr7A	5624546	5629762	+	5627154	0.997	0.994
gene:TraesCS7A03G0017500	Chr7A	3969939	3972006	+	3970972	Chr7A	5622303	5624400	-	5623351	1.0	0.995
gene:TraesCS7A03G0017700	Chr7A	3977724	3980995	-	3979359	Chr7A	5613246	5616589	+	5614917	1.0	0.997
gene:TraesCS7A03G0017900	Chr7A	4025082	4030195	-	4027638	Chr7A	5578737	5583885	+	5581311	0.991	0.969
gene:TraesCS7A03G0018000	Chr7A	4096204	4096524	+	4096364	Chr7A	5521966	5522286	-	5522126	1.0	1.0
gene:TraesCS7A03G0018100	Chr7A	4100967	4104780	-	4102873	Chr7A	5512627	5516437	+	5514532	1.0	0.979
gene:TraesCS7A03G0018600	Chr7A	4132285	4134938	-	4133611	Chr7A	5438387	5441040	+	5439713	1.0	0.988
gene:TraesCS7A03G0018700	Chr7A	4138504	4139672	+	4139088	Chr7A	5433672	5434838	-	5434255	1.0	0.987
gene:TraesCS7A03G0018900	Chr7A	4184804	4189871	-	4187337	Chr7A	5412506	5417565	+	5415035	0.999	0.99
gene:TraesCS7A03G0019200	Chr7A	4325829	4328918	-	4327373	Chr7A	5325748	5328795	+	5327271	0.998	0.99
gene:TraesCS7A03G0019300	Chr7A	4371114	4374524	-	4372819	Chr7A	5304976	5308324	+	5306650	0.999	0.991
gene:TraesCS7A03G0019500	Chr7A	4446713	4449380	-	4448046	Chr7A	5247630	5250298	+	5248964	1.0	0.986
gene:TraesCS7A03G0019700	Chr7A	4547141	4552873	-	4550007	Chr7A	5140956	5146715	+	5143835	0.998	0.995
gene:TraesCS7A03G0019800	Chr7A	4588855	4599542	-	4594198	Chr7A	5100402	5110926	+	5105664	0.995	0.993
gene:TraesCS7A03G0020200	Chr7A	4644533	4647335	-	4645934	Chr7A	4903810	4906538	+	4905174	1.0	0.993
