cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr2B	99691	3880239	Chr2B	6559278	10588118	37	0.9795405405405406
Chr2B	10429252	12783819	Chr2B	387466	2659258	31	0.9906774193548387
Chr2B	311093602	313513906	Chr2B	292975427	295391993	5	0.9992000000000001
Chr2B	4921632	9710876	Chr2B	34274	7292812	97	0.9947938144329898
Chr2B	12853123	131021009	Chr2B	7497330	129219075	1112	0.9928669064748201
Chr2B	137271666	211003478	Chr2B	130339781	201943955	552	0.9947445652173912
Chr2B	213718220	248272484	Chr2B	202042090	236445619	204	0.9965588235294117
Chr2B	250482935	283157104	Chr2B	238893160	271535588	144	0.999076388888889
Chr2B	285496966	304609294	Chr2B	273877849	299845558	29	0.9994137931034482
Chr2B	308444889	310240678	Chr2B	301501744	303296882	3	1.0
Chr2B	318431746	331681179	Chr2B	306503414	319475464	16	0.999625
Chr2B	333809245	346552298	Chr2B	321611410	334060389	20	0.9999
Chr2B	348999066	355740303	Chr2B	336507988	343203854	9	0.9995555555555556
Chr2B	365734406	628338778	Chr2B	353738826	613668862	1556	0.9964562982005142
Chr2B	636680815	640776232	Chr2B	618865513	623778672	38	0.9940789473684211
Chr2B	646794733	807371547	Chr2B	631896576	790420770	1444	0.9890408587257618
Chr2B	810111083	811858952	Chr2B	786033673	788517470	10	0.9570000000000001
Chr2B	628590116	636084402	Chr2B	624366290	631717477	51	0.997235294117647
Chr2B	641428057	646613324	Chr2B	613862401	618678978	39	0.9956153846153847
Chr2B	808461160	809358070	Chr2B	795289451	796068512	6	0.9619999999999999
