cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr1A	403603	161541694	Chr1A	28716	158573594	1181	0.9966824724809484
Chr1A	163678239	179374573	Chr1A	160725483	176318939	29	0.9992758620689656
Chr1A	181647298	184244993	Chr1A	178348963	180929154	5	0.9996
Chr1A	187212146	195578524	Chr1A	183906411	192276648	11	0.999818181818182
Chr1A	202719482	204217307	Chr1A	199425098	200916977	5	0.9988
Chr1A	206439950	211446295	Chr1A	203132859	208121387	8	0.999625
Chr1A	214015968	411777219	Chr1A	210645199	409627131	910	0.9962428571428572
Chr1A	414061309	422384517	Chr1A	412004150	420457965	23	0.9946956521739132
Chr1A	425019660	549266979	Chr1A	422258443	544275437	1228	0.9947915309446256
Chr1A	559407333	564520690	Chr1A	555249988	559329273	55	0.9954727272727272
Chr1A	575981164	598556974	Chr1A	569056658	590449245	300	0.99336
