cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr3D	14387075	15082981	Chr3D	8887894	9578032	11	0.9998181818181819
Chr3D	938455	1756693	Chr3D	26866	1018343	7	0.9452857142857143
Chr3D	4935562	116955327	Chr3D	1166108	116268175	1305	0.9991601532567049
Chr3D	119094314	145655212	Chr3D	118391777	144752091	160	0.9987937500000001
Chr3D	147725835	194192900	Chr3D	146771754	193026190	257	0.9993463035019455
Chr3D	197544325	200969144	Chr3D	196316132	199736065	5	1.0
Chr3D	203187169	203224239	Chr3D	202110741	202146992	4	0.99925
Chr3D	207531742	214535149	Chr3D	206430686	213313073	11	0.9991818181818182
Chr3D	216957444	220088873	Chr3D	215725364	218835126	6	1.0
Chr3D	226016244	232933791	Chr3D	224872519	231786504	13	0.9998461538461539
Chr3D	237090980	258632836	Chr3D	235934561	256684704	40	0.9995750000000001
Chr3D	260879965	492833467	Chr3D	258926401	489728617	1661	0.9991523178807947
Chr3D	495347019	571894878	Chr3D	492241267	567019012	875	0.9989337142857143
Chr3D	574320863	615386744	Chr3D	567162888	610035548	650	0.9980615384615384
Chr3D	615487141	619489515	Chr3D	600708231	604750177	60	0.9993
