gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	391887	397687	-	394787	0.997	0.993
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	402939	407134	+	405036	1.0	0.999
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	571976	573403	+	572689	1.0	1.0
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	853081	853413	-	853247	1.0	0.972
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	853081	853439	-	853260	1.0	0.974
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	600470	600802	-	600636	1.0	1.0
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	860152	864663	-	862407	1.0	1.0
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	1026782	1029796	+	1028289	1.0	1.0
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	1030027	1035938	-	1032982	1.0	1.0
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	1625242	1626285	+	1625763	1.0	1.0
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	1632850	1634894	-	1633872	1.0	0.992
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	1700560	1705738	+	1703149	1.0	1.0
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	1799818	1806856	-	1803337	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	1901523	1904456	+	1902989	1.0	1.0
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	1965014	1966834	+	1965924	1.0	1.0
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	1984361	1987060	-	1985710	1.0	1.0
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	2216068	2216433	-	2216250	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	2217135	2217926	+	2217530	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	2231521	2238268	+	2234894	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	2382121	2384474	+	2383297	1.0	1.0
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	2387396	2398434	+	2392915	1.0	0.995
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	2611424	2612446	-	2611935	1.0	0.999
gene:TraesCS5D03G0004200	Chr5D	2615885	2618789	+	2617337	Chr5D	2710094	2712998	+	2711546	1.0	0.998
gene:TraesCS5D03G0004700	Chr5D	2665098	2671307	+	2668202	Chr5D	2758267	2764476	+	2761371	1.0	1.0
gene:TraesCS5D03G0004800	Chr5D	2672766	2677982	-	2675374	Chr5D	2766017	2771217	-	2768617	0.991	0.987
gene:TraesCS5D03G0004900	Chr5D	2679349	2683430	-	2681389	Chr5D	2772584	2776665	-	2774624	1.0	1.0
gene:TraesCS5D03G0005100	Chr5D	2688714	2693084	+	2690899	Chr5D	2781965	2786335	+	2784150	1.0	1.0
gene:TraesCS5D03G0005200	Chr5D	2696120	2701036	+	2698578	Chr5D	2789373	2794289	+	2791831	1.0	1.0
gene:TraesCS5D03G0005300	Chr5D	2814456	2815962	+	2815209	Chr5D	2909667	2911173	+	2910420	1.0	0.999
gene:TraesCS5D03G0005400	Chr5D	3027689	3029129	+	3028409	Chr5D	3118633	3120073	+	3119353	1.0	1.0
gene:TraesCS5D03G0005700	Chr5D	3085495	3086987	+	3086241	Chr5D	3176240	3177732	+	3176986	1.0	1.0
gene:TraesCS5D03G0006000	Chr5D	3150676	3151507	+	3151091	Chr5D	3241433	3242262	+	3241847	0.997	0.997
gene:TraesCS5D03G0007100	Chr5D	3285989	3291185	-	3288587	Chr5D	3383434	3388610	-	3386022	1.0	1.0
gene:TraesCS5D03G0007600	Chr5D	3553643	3558815	+	3556229	Chr5D	3641979	3647151	+	3644565	1.0	1.0
gene:TraesCS5D03G0007700	Chr5D	3560879	3562605	-	3561742	Chr5D	3649215	3650941	-	3650078	1.0	1.0
gene:TraesCS5D03G0007800	Chr5D	3566317	3566982	+	3566649	Chr5D	3654653	3655318	+	3654985	1.0	1.0
gene:TraesCS5D03G0007900	Chr5D	3568816	3570710	-	3569763	Chr5D	3657152	3659046	-	3658099	1.0	1.0
gene:TraesCS5D03G0008000	Chr5D	3579222	3582239	-	3580730	Chr5D	3667741	3670758	-	3669249	1.0	1.0
gene:TraesCS5D03G0008100	Chr5D	3584251	3584745	+	3584498	Chr5D	3672770	3673264	+	3673017	1.0	1.0
gene:TraesCS5D03G0008300	Chr5D	3604593	3605039	+	3604816	Chr5D	3693328	3693774	+	3693551	1.0	1.0
gene:TraesCS5D03G0008400	Chr5D	3608804	3611113	-	3609958	Chr5D	3697539	3699848	-	3698693	1.0	1.0
gene:TraesCS5D03G0008600	Chr5D	3622739	3623188	+	3622963	Chr5D	3711378	3711827	+	3711602	1.0	0.997
gene:TraesCS5D03G0008900	Chr5D	3646131	3647699	+	3646915	Chr5D	3734784	3736352	+	3735568	1.0	0.997
gene:TraesCS5D03G0009200	Chr5D	3649092	3650582	+	3649837	Chr5D	3737745	3739235	+	3738490	1.0	1.0
gene:TraesCS5D03G0009100	Chr5D	3649059	3653270	-	3651164	Chr5D	3737712	3741923	-	3739817	1.0	1.0
gene:TraesCS5D03G0009400	Chr5D	3672490	3674058	-	3673274	Chr5D	3761144	3762712	-	3761928	1.0	1.0
gene:TraesCS5D03G0009800	Chr5D	3763968	3767732	-	3765850	Chr5D	3852683	3856447	-	3854565	1.0	1.0
gene:TraesCS5D03G0009900	Chr5D	3777701	3780330	+	3779015	Chr5D	3866454	3869083	+	3867768	1.0	1.0
gene:TraesCS5D03G0010200	Chr5D	4128339	4134929	+	4131634	Chr5D	4197984	4204574	+	4201279	1.0	1.0
gene:TraesCS5D03G0010300	Chr5D	4138928	4139406	+	4139167	Chr5D	4208574	4209052	+	4208813	1.0	1.0
