cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	365235	140444922	1412	0.9991869688385269
Chr4D	143939177	159173700	Chr4D	143086325	158164933	17	0.9973529411764704
Chr4D	163710731	183649096	Chr4D	162673553	182508735	27	0.9968888888888889
Chr4D	188969484	192971731	Chr4D	189099166	193096469	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	195365776	198901039	7	0.9997142857142858
Chr4D	201663396	212424003	Chr4D	202104281	212672543	26	0.9998076923076924
Chr4D	214566503	228344802	Chr4D	214778246	228510234	23	0.9988260869565219
Chr4D	230503918	238850566	Chr4D	230694719	238998661	11	0.9994545454545456
Chr4D	241150325	249170093	Chr4D	241285718	249288958	18	0.9993888888888889
Chr4D	251744642	256746015	Chr4D	251854128	256852430	7	0.999
Chr4D	259082246	261473317	Chr4D	259166317	261555479	6	1.0
Chr4D	264155329	268258812	Chr4D	264223455	268305063	7	0.998142857142857
Chr4D	270831155	284417863	Chr4D	270858278	284398098	19	0.9967368421052631
Chr4D	286726699	329466878	Chr4D	286680287	329261994	223	0.9990089686098654
Chr4D	331779306	375686787	Chr4D	331575835	375182741	300	0.9992833333333334
Chr4D	377775997	409550678	Chr4D	377245026	408870160	234	0.9992264957264958
Chr4D	412602740	505667658	Chr4D	410351649	506261057	1093	0.9989204025617566
