cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr2A	18296442	19028392	Chr2A	25210068	26325185	16	0.9395
Chr2A	21696643	22018625	Chr2A	28422738	28764741	5	0.9312000000000001
Chr2A	262295867	262863052	Chr2A	255539455	256131526	4	0.997
Chr2A	265047681	267066623	Chr2A	251163508	253262493	7	0.9995714285714286
Chr2A	269745498	277781081	Chr2A	241568347	249965816	16	0.9928125000000001
Chr2A	279829079	283404262	Chr2A	236006267	239528711	18	0.9964999999999998
Chr2A	338731991	339973117	Chr2A	331322762	332534719	20	0.9884000000000001
Chr2A	341832125	342646626	Chr2A	328574014	329490308	5	0.9948
Chr2A	500711	3143518	Chr2A	211026	4168982	14	0.9356428571428571
Chr2A	5300718	237897856	Chr2A	5145329	235234598	1722	0.9906242740998839
Chr2A	260439994	260728450	Chr2A	257664333	257930116	3	0.9973333333333333
Chr2A	284586768	286214975	Chr2A	280596480	282257068	3	0.9983333333333334
Chr2A	288400047	290885926	Chr2A	284514624	287111064	5	0.9966000000000002
Chr2A	293418889	298305444	Chr2A	289621436	294435023	7	0.9907142857142858
Chr2A	304709700	310481732	Chr2A	301211287	307108776	7	0.996857142857143
Chr2A	313973952	315420835	Chr2A	310555528	312012008	3	0.9973333333333333
Chr2A	317579841	319393694	Chr2A	314597093	316470939	3	0.9683333333333334
Chr2A	322290657	328918706	Chr2A	319314966	326047563	12	0.9950000000000001
Chr2A	333879690	337895321	Chr2A	333384988	337431047	8	0.9973749999999999
Chr2A	344692562	353369160	Chr2A	345257686	353718051	13	0.9968461538461538
Chr2A	355374656	366697851	Chr2A	355865586	367345989	20	0.9961500000000001
Chr2A	368718225	399870506	Chr2A	368732966	399144562	100	0.9947299999999999
Chr2A	404353227	404817648	Chr2A	403630462	403824151	3	0.9943333333333334
Chr2A	409607272	490304153	Chr2A	408618344	489039793	267	0.9961161048689138
Chr2A	492634434	551591979	Chr2A	491353045	548837488	316	0.9955443037974683
Chr2A	553651491	786637718	Chr2A	550899161	781556960	2493	0.9958748495788207
