gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity
gene:TraesCS2B03G0015300	Chr2B	4921039	4922226	-	4921632	Chr2B	6567386	6568573	-	6567979	1.0	0.997
gene:TraesCS2B03G0015400	Chr2B	4921039	4925322	-	4923180	Chr2B	6567386	6571666	-	6569526	0.999	0.997
gene:TraesCS2B03G0016000	Chr2B	5016726	5020169	+	5018447	Chr2B	6659500	6662943	+	6661221	1.0	1.0
gene:TraesCS2B03G0016200	Chr2B	5031749	5033515	-	5032632	Chr2B	6679920	6681688	-	6680804	1.0	0.99
gene:TraesCS2B03G0016300	Chr2B	5034478	5034879	-	5034678	Chr2B	6682651	6683052	-	6682851	1.0	0.99
gene:TraesCS2B03G0016400	Chr2B	5035649	5037309	-	5036479	Chr2B	6687905	6689565	-	6688735	1.0	0.996
gene:TraesCS2B03G0016700	Chr2B	5058158	5060304	+	5059231	Chr2B	6710440	6712586	+	6711513	1.0	0.998
gene:TraesCS2B03G0018500	Chr2B	5500410	5504869	+	5502639	Chr2B	6724008	6728466	+	6726237	1.0	0.999
gene:TraesCS2B03G0018600	Chr2B	5525526	5527171	-	5526348	Chr2B	6749168	6750813	-	6749990	1.0	1.0
gene:TraesCS2B03G0018700	Chr2B	5530391	5532332	+	5531361	Chr2B	6754034	6755975	+	6755004	1.0	0.999
gene:TraesCS2B03G0018800	Chr2B	5613315	5614067	-	5613691	Chr2B	6837276	6838028	-	6837652	1.0	0.998
gene:TraesCS2B03G0018900	Chr2B	5619058	5620657	+	5619857	Chr2B	6843020	6844619	+	6843819	1.0	0.998
gene:TraesCS2B03G0019000	Chr2B	5640833	5641228	+	5641030	Chr2B	6864775	6865170	+	6864972	1.0	1.0
gene:TraesCS2B03G0019100	Chr2B	5644403	5648377	-	5646390	Chr2B	6868340	6872313	-	6870326	0.999	0.998
gene:TraesCS2B03G0019200	Chr2B	5654103	5657492	+	5655797	Chr2B	6878049	6881438	+	6879743	1.0	0.998
gene:TraesCS2B03G0019300	Chr2B	5657715	5659851	-	5658783	Chr2B	6881661	6883797	-	6882729	1.0	1.0
gene:TraesCS2B03G0019800	Chr2B	5722565	5736933	-	5729749	Chr2B	6946190	6960417	-	6953303	0.998	0.997
gene:TraesCS2B03G0019900	Chr2B	5841563	5854226	+	5847894	Chr2B	7064291	7076949	+	7070620	1.0	1.0
