cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr1B	706647	31339892	Chr1B	226876	32596190	265	0.9718075471698113
Chr1B	34045861	38402288	Chr1B	33885989	42698599	29	0.9936206896551724
Chr1B	40611674	81974218	Chr1B	38551887	80908672	275	0.9921272727272726
Chr1B	86500196	91210816	Chr1B	85121698	89777573	17	0.9995882352941178
Chr1B	93460686	130136259	Chr1B	92069388	128386591	213	0.9979295774647887
Chr1B	163105574	171625410	Chr1B	155953622	164406479	43	0.9960697674418605
Chr1B	187148691	224268457	Chr1B	179650576	216535499	94	0.9985851063829788
Chr1B	226868456	237402869	Chr1B	219054950	232903483	14	0.9998571428571428
Chr1B	246841035	249142619	Chr1B	240029301	242298596	6	1.0
Chr1B	251958660	261603496	Chr1B	246065358	257811401	17	0.9981176470588236
Chr1B	265107437	268968720	Chr1B	260681502	264529223	9	0.9996666666666667
Chr1B	272117614	272283175	Chr1B	268292415	268457976	4	0.9992500000000001
Chr1B	274419536	296088628	Chr1B	270590506	292074292	78	0.9982820512820513
Chr1B	298738700	298813169	Chr1B	294639524	294714266	4	0.99875
Chr1B	301350787	324212763	Chr1B	297172375	324420754	85	0.9865294117647059
Chr1B	328393948	388265898	Chr1B	325125882	385765086	314	0.9963025477707006
Chr1B	390532708	542393220	Chr1B	386689136	537544709	948	0.9961424050632912
Chr1B	544741110	689079751	Chr1B	537740658	679792540	1333	0.9911447861965491
Chr1B	693260197	700084281	Chr1B	680086347	685679647	51	0.9967843137254901
