cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr7B	34602	183070778	Chr7B	34691	178394302	1315	0.996509505703422
Chr7B	185568431	270327906	Chr7B	180891835	264309869	381	0.9989265091863516
Chr7B	275290836	280651374	Chr7B	268114810	273456024	9	0.9998888888888888
Chr7B	283870188	293144785	Chr7B	277375166	286447154	16	0.9935625
Chr7B	295582888	309665253	Chr7B	288872878	302079976	22	0.999681818181818
Chr7B	316034857	321770729	Chr7B	307978030	313693986	11	0.9998181818181816
Chr7B	343118388	344172727	Chr7B	332205877	333244378	5	1.0
Chr7B	352166805	356864704	Chr7B	338942268	343618833	5	0.9998
Chr7B	368970531	393308791	Chr7B	360138417	384412745	121	0.9987272727272728
Chr7B	396179589	410599513	Chr7B	387236748	403219465	52	0.9989807692307694
Chr7B	413179671	423778078	Chr7B	403672057	414144747	45	0.9976444444444444
Chr7B	425791676	545780843	Chr7B	416142360	536175830	778	0.9980372750642672
Chr7B	547795684	746921310	Chr7B	538228506	724249029	1359	0.9907358351729212
Chr7B	752573257	752775462	Chr7B	726278217	726534207	5	0.9996
Chr7B	756070879	756980467	Chr7B	729668687	730732468	5	0.9478
