cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr6D	43783	27630303	Chr6D	29531	26062833	529	0.9989017013232514
Chr6D	32741204	38579793	Chr6D	30765014	36610178	62	0.9998387096774194
Chr6D	52787044	56759409	Chr6D	37586941	41530761	31	0.9999354838709678
Chr6D	64544097	186375773	Chr6D	49247272	169895577	937	0.9987577374599786
Chr6D	188380630	235958205	Chr6D	171855755	218543860	75	0.9994533333333334
Chr6D	238222872	248745870	Chr6D	220019733	230523324	15	0.9994
Chr6D	253451229	261093398	Chr6D	235203046	242808166	12	0.9944166666666666
Chr6D	263489417	302615547	Chr6D	245203477	284708728	144	0.9985833333333332
Chr6D	304859324	436495956	Chr6D	286936127	417600183	1032	0.9994728682170542
Chr6D	439160889	495303957	Chr6D	420125548	475214553	922	0.9955867678958784
