gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS6D03G0000300	Chr6D	43457	44110	-	43783	Chr6D	1180578	1181231	+	1180904	1.0	1.0	collinear
gene:TraesCS6D03G0000400	Chr6D	52444	52899	+	52671	Chr6D	1171789	1172244	-	1172016	1.0	1.0	collinear
gene:TraesCS6D03G0001000	Chr6D	88938	95787	-	92362	Chr6D	1129453	1136302	+	1132877	1.0	0.999	collinear
gene:TraesCS6D03G0001500	Chr6D	207420	208955	+	208187	Chr6D	1016365	1017900	-	1017132	1.0	1.0	collinear
gene:TraesCS6D03G0001700	Chr6D	219614	221286	-	220450	Chr6D	1003965	1005637	+	1004801	1.0	0.999	collinear
gene:TraesCS6D03G0001900	Chr6D	287212	289249	+	288230	Chr6D	936415	938452	-	937433	1.0	1.0	collinear
gene:TraesCS6D03G0002300	Chr6D	386000	388713	+	387356	Chr6D	836818	839531	-	838174	1.0	1.0	collinear
gene:TraesCS6D03G0002600	Chr6D	395648	398850	-	397249	Chr6D	826679	829881	+	828280	1.0	1.0	collinear
gene:TraesCS6D03G0002800	Chr6D	419600	421134	-	420367	Chr6D	805333	806867	+	806100	1.0	1.0	collinear
gene:TraesCS6D03G0002900	Chr6D	421647	422807	-	422227	Chr6D	803660	804820	+	804240	1.0	1.0	collinear
gene:TraesCS6D03G0003600	Chr6D	487116	490616	-	488866	Chr6D	736498	739998	+	738248	1.0	0.999	collinear
gene:TraesCS6D03G0003700	Chr6D	497323	499555	-	498439	Chr6D	727559	729791	+	728675	1.0	1.0	collinear
gene:TraesCS6D03G0003800	Chr6D	598333	601573	-	599953	Chr6D	628344	631584	+	629964	1.0	0.998	collinear
gene:TraesCS6D03G0004000	Chr6D	674763	675185	-	674974	Chr6D	555893	556315	+	556104	1.0	1.0	collinear
gene:TraesCS6D03G0004600	Chr6D	797280	798536	+	797908	Chr6D	410385	411639	-	411012	1.0	0.998	collinear
gene:TraesCS6D03G0004700	Chr6D	799214	801609	+	800411	Chr6D	407301	409701	-	408501	1.0	0.997	collinear
gene:TraesCS6D03G0005600	Chr6D	959215	959478	+	959346	Chr6D	99380	99643	-	99511	1.0	0.984	collinear
gene:TraesCS6D03G0006700	Chr6D	1060930	1063103	+	1062016	Chr6D	28450	30613	-	29531	1.0	0.995	collinear
gene:TraesCS6D03G0006800	Chr6D	1364800	1366449	+	1365624	Chr6D	1747545	1749194	+	1748369	1.0	0.999	collinear
gene:TraesCS6D03G0007000	Chr6D	1403764	1407970	-	1405867	Chr6D	1786510	1790716	-	1788613	1.0	1.0	collinear
