gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS6A03G0013300	Chr6A	3493875	3497254	-	3495564	Chr6A	12930118	12933498	+	12931808	1.0	0.995	rearrangement:Chr6A_block2
gene:TraesCS6A03G0013400	Chr6A	3501820	3502695	-	3502257	Chr6A	12918804	12919680	+	12919242	1.0	0.996	rearrangement:Chr6A_block2
gene:TraesCS6A03G0013500	Chr6A	3505130	3509572	-	3507351	Chr6A	12912608	12916393	+	12914500	1.0	0.995	rearrangement:Chr6A_block2
gene:TraesCS6A03G0013700	Chr6A	3526852	3527448	+	3527150	Chr6A	12898775	12899371	-	12899073	1.0	1.0	rearrangement:Chr6A_block2
gene:TraesCS6A03G0013800	Chr6A	3528505	3529406	+	3528955	Chr6A	12896872	12897719	-	12897295	0.94	0.937	rearrangement:Chr6A_block2
gene:TraesCS6A03G0014100	Chr6A	3568117	3572740	+	3570428	Chr6A	12730281	12734936	-	12732608	1.0	0.97	rearrangement:Chr6A_block2
gene:TraesCS6A03G0014200	Chr6A	3576627	3578939	+	3577783	Chr6A	12724093	12726407	-	12725250	1.0	0.994	rearrangement:Chr6A_block2
gene:TraesCS6A03G0014800	Chr6A	3702665	3706690	+	3704677	Chr6A	12600462	12604553	-	12602507	1.0	0.996	rearrangement:Chr6A_block2
gene:TraesCS6A03G0015000	Chr6A	3729503	3735623	+	3732563	Chr6A	12563699	12569820	-	12566759	1.0	0.996	rearrangement:Chr6A_block2
gene:TraesCS6A03G0015200	Chr6A	3748307	3752517	+	3750412	Chr6A	12556828	12561038	-	12558933	1.0	0.996	rearrangement:Chr6A_block2
gene:TraesCS6A03G0015300	Chr6A	3778599	3780690	+	3779644	Chr6A	12544612	12546709	-	12545660	1.0	0.982	rearrangement:Chr6A_block2
gene:TraesCS6A03G0015400	Chr6A	3791624	3795065	+	3793344	Chr6A	12530268	12533588	-	12531928	1.0	0.996	rearrangement:Chr6A_block2
gene:TraesCS6A03G0015500	Chr6A	3983778	3984395	+	3984086	Chr6A	12358195	12358812	-	12358503	1.0	0.998	rearrangement:Chr6A_block2
