gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity
gene:TraesCS3D03G0003900	Chr3D	935901	941009	+	938455	Chr3D	1015665	1021022	-	1018343	0.966	0.902
gene:TraesCS3D03G0004000	Chr3D	946485	948516	+	947500	Chr3D	960358	962378	-	961368	0.999	0.965
gene:TraesCS3D03G0005100	Chr3D	1161614	1161970	-	1161792	Chr3D	642712	643067	-	642889	0.997	0.949
gene:TraesCS3D03G0005200	Chr3D	1190842	1191189	-	1191015	Chr3D	650130	650468	-	650299	0.974	0.922
gene:TraesCS3D03G0008200	Chr3D	1597665	1598401	-	1598033	Chr3D	291940	292678	+	292309	1.0	0.925
gene:TraesCS3D03G0008900	Chr3D	1650019	1650432	+	1650225	Chr3D	122114	122527	-	122320	1.0	0.978
gene:TraesCS3D03G0010000	Chr3D	1755449	1757937	+	1756693	Chr3D	25695	28037	-	26866	1.0	0.976
gene:TraesCS3D03G0026000	Chr3D	4935230	4935895	-	4935562	Chr3D	1165776	1166441	-	1166108	1.0	0.949
gene:TraesCS3D03G0026100	Chr3D	4935908	4937074	-	4936491	Chr3D	1166454	1167620	-	1167037	0.999	0.952
gene:TraesCS3D03G0027300	Chr3D	4991113	4994395	+	4992754	Chr3D	1341712	1345055	+	1343383	1.0	0.965
gene:TraesCS3D03G0027600	Chr3D	5018773	5020888	+	5019830	Chr3D	1369229	1371344	+	1370286	1.0	1.0
gene:TraesCS3D03G0027900	Chr3D	5123600	5124617	+	5124108	Chr3D	1473992	1475009	+	1474500	1.0	1.0
gene:TraesCS3D03G0028000	Chr3D	5150285	5152919	-	5151602	Chr3D	1500736	1503370	-	1502053	1.0	1.0
gene:TraesCS3D03G0028400	Chr3D	5207240	5211099	+	5209169	Chr3D	1559434	1563293	+	1561363	1.0	0.998
gene:TraesCS3D03G0028600	Chr3D	5346035	5349635	-	5347835	Chr3D	1698605	1702205	-	1700405	1.0	0.999
gene:TraesCS3D03G0028700	Chr3D	5379183	5382995	-	5381089	Chr3D	1731569	1735381	-	1733475	1.0	1.0
gene:TraesCS3D03G0028800	Chr3D	5384693	5385410	+	5385051	Chr3D	1737078	1737795	+	1737436	1.0	1.0
gene:TraesCS3D03G0029100	Chr3D	5402548	5402835	-	5402691	Chr3D	1755206	1755493	-	1755349	1.0	1.0
gene:TraesCS3D03G0029200	Chr3D	5609039	5613244	-	5611141	Chr3D	1936731	1940936	-	1938833	1.0	1.0
gene:TraesCS3D03G0029300	Chr3D	5616378	5617808	+	5617093	Chr3D	1944070	1945500	+	1944785	1.0	1.0
gene:TraesCS3D03G0029400	Chr3D	5621041	5625400	-	5623220	Chr3D	1948733	1953092	-	1950912	1.0	1.0
gene:TraesCS3D03G0029500	Chr3D	5656561	5658853	+	5657707	Chr3D	1984076	1986368	+	1985222	1.0	1.0
gene:TraesCS3D03G0029600	Chr3D	5661975	5667801	+	5664888	Chr3D	1989490	1995316	+	1992403	1.0	1.0
gene:TraesCS3D03G0029700	Chr3D	5686609	5688092	-	5687350	Chr3D	2013975	2015458	-	2014716	1.0	1.0
gene:TraesCS3D03G0029900	Chr3D	5731894	5733309	+	5732601	Chr3D	2048350	2049765	+	2049057	1.0	1.0
gene:TraesCS3D03G0030000	Chr3D	5739726	5743791	-	5741758	Chr3D	2056182	2060262	-	2058222	1.0	1.0
gene:TraesCS3D03G0030100	Chr3D	5763633	5767044	-	5765338	Chr3D	2080123	2083531	-	2081827	1.0	1.0
gene:TraesCS3D03G0030200	Chr3D	5797017	5800765	+	5798891	Chr3D	2112244	2115992	+	2114118	1.0	1.0
gene:TraesCS3D03G0030300	Chr3D	5809005	5810319	+	5809662	Chr3D	2123647	2124961	+	2124304	1.0	1.0
gene:TraesCS3D03G0030400	Chr3D	5816005	5816940	+	5816472	Chr3D	2130727	2131662	+	2131194	1.0	1.0
gene:TraesCS3D03G0030500	Chr3D	5818304	5819531	-	5818917	Chr3D	2133026	2134253	-	2133639	1.0	0.998
gene:TraesCS3D03G0030600	Chr3D	5820146	5821511	-	5820828	Chr3D	2134868	2136233	-	2135550	1.0	1.0
gene:TraesCS3D03G0030900	Chr3D	5862195	5863530	-	5862862	Chr3D	2176772	2178107	-	2177439	1.0	1.0
gene:TraesCS3D03G0031000	Chr3D	5867190	5868919	+	5868054	Chr3D	2181774	2183503	+	2182638	1.0	1.0
gene:TraesCS3D03G0031100	Chr3D	5870206	5872024	-	5871115	Chr3D	2184790	2186608	-	2185699	1.0	0.999
gene:TraesCS3D03G0031200	Chr3D	5875186	5878680	+	5876933	Chr3D	2189650	2193144	+	2191397	1.0	1.0
gene:TraesCS3D03G0031300	Chr3D	5880800	5886024	-	5883412	Chr3D	2195264	2200488	-	2197876	1.0	1.0
gene:TraesCS3D03G0031400	Chr3D	6013557	6016610	+	6015083	Chr3D	2338273	2341336	+	2339804	1.0	1.0
gene:TraesCS3D03G0031600	Chr3D	6017542	6019765	-	6018653	Chr3D	2342284	2344507	-	2343395	1.0	1.0
gene:TraesCS3D03G0031700	Chr3D	6021226	6025147	-	6023186	Chr3D	2345968	2349904	-	2347936	1.0	1.0
gene:TraesCS3D03G0031800	Chr3D	6026140	6028193	-	6027166	Chr3D	2350897	2352950	-	2351923	1.0	1.0
gene:TraesCS3D03G0031900	Chr3D	6034462	6038139	+	6036300	Chr3D	2359219	2362925	+	2361072	1.0	1.0
gene:TraesCS3D03G0032000	Chr3D	6063729	6071669	+	6067699	Chr3D	2388481	2396421	+	2392451	1.0	1.0
gene:TraesCS3D03G0032100	Chr3D	6141043	6143113	+	6142078	Chr3D	2465980	2468050	+	2467015	1.0	1.0
gene:TraesCS3D03G0032200	Chr3D	6147248	6150321	-	6148784	Chr3D	2472186	2475259	-	2473722	1.0	1.0
gene:TraesCS3D03G0032400	Chr3D	6167729	6170462	-	6169095	Chr3D	2492667	2495400	-	2494033	1.0	0.999
gene:TraesCS3D03G0032700	Chr3D	6177438	6180753	-	6179095	Chr3D	2502376	2505691	-	2504033	1.0	1.0
gene:TraesCS3D03G0032800	Chr3D	6193499	6194282	+	6193890	Chr3D	2518436	2519219	+	2518827	1.0	1.0
gene:TraesCS3D03G0032900	Chr3D	6196409	6198230	-	6197319	Chr3D	2521346	2523167	-	2522256	1.0	1.0
gene:TraesCS3D03G0033400	Chr3D	6332166	6338039	+	6335102	Chr3D	2657005	2662878	+	2659941	1.0	1.0
gene:TraesCS3D03G0033500	Chr3D	6339455	6344609	-	6342032	Chr3D	2664294	2669356	-	2666825	1.0	1.0
gene:TraesCS3D03G0033600	Chr3D	6402458	6406175	-	6404316	Chr3D	2727199	2730916	-	2729057	1.0	1.0
gene:TraesCS3D03G0033700	Chr3D	6408680	6414449	+	6411564	Chr3D	2733421	2739024	+	2736222	1.0	1.0
gene:TraesCS3D03G0033800	Chr3D	6424052	6425978	-	6425015	Chr3D	2747598	2749524	-	2748561	1.0	1.0
gene:TraesCS3D03G0033900	Chr3D	6428865	6430477	+	6429671	Chr3D	2752411	2754023	+	2753217	1.0	0.999
gene:TraesCS3D03G0034100	Chr3D	6454019	6455576	-	6454797	Chr3D	2777567	2779124	-	2778345	1.0	0.999
gene:TraesCS3D03G0034200	Chr3D	6459248	6460446	-	6459847	Chr3D	2782795	2783993	-	2783394	1.0	1.0
gene:TraesCS3D03G0034300	Chr3D	6464310	6465173	-	6464741	Chr3D	2787857	2788720	-	2788288	1.0	1.0
gene:TraesCS3D03G0034400	Chr3D	6528383	6528670	-	6528526	Chr3D	2851827	2852114	-	2851970	1.0	1.0
gene:TraesCS3D03G0034800	Chr3D	6659972	6665271	+	6662621	Chr3D	2975913	2981218	+	2978565	1.0	0.999
gene:TraesCS3D03G0034900	Chr3D	6674763	6676403	+	6675583	Chr3D	2990710	2992350	+	2991530	1.0	1.0
gene:TraesCS3D03G0035000	Chr3D	6724677	6728276	+	6726476	Chr3D	3040127	3043725	+	3041926	1.0	1.0
gene:TraesCS3D03G0035100	Chr3D	6728459	6731952	-	6730205	Chr3D	3043908	3047401	-	3045654	1.0	1.0
gene:TraesCS3D03G0035200	Chr3D	6736247	6737317	-	6736782	Chr3D	3051820	3052890	-	3052355	1.0	1.0
gene:TraesCS3D03G0035300	Chr3D	6744076	6752258	+	6748167	Chr3D	3059605	3067733	+	3063669	0.986	0.979
gene:TraesCS3D03G0035400	Chr3D	6752843	6753088	+	6752965	Chr3D	3068318	3068563	+	3068440	1.0	1.0
gene:TraesCS3D03G0035600	Chr3D	6859224	6861630	-	6860427	Chr3D	3173590	3175996	-	3174793	1.0	0.999
gene:TraesCS3D03G0035700	Chr3D	6947951	6948541	+	6948246	Chr3D	3262310	3262900	+	3262605	1.0	1.0
gene:TraesCS3D03G0035900	Chr3D	6966063	6967893	+	6966978	Chr3D	3280596	3282426	+	3281511	1.0	1.0
gene:TraesCS3D03G0036100	Chr3D	6969121	6970794	-	6969957	Chr3D	3283654	3285327	-	3284490	1.0	1.0
gene:TraesCS3D03G0036200	Chr3D	6973041	6975568	+	6974304	Chr3D	3287573	3290100	+	3288836	1.0	1.0
