cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr3A	6969528	14573258	Chr3A	2743790	9662316	165	0.9853272727272728
Chr3A	17962366	140281429	Chr3A	9939961	130035116	1166	0.9975600343053171
Chr3A	142385461	192745740	Chr3A	132138796	181607451	216	0.9983425925925926
Chr3A	195861474	263087799	Chr3A	184717069	251396548	204	0.9990980392156864
Chr3A	270762150	278734659	Chr3A	258984107	266917241	12	0.9978333333333332
Chr3A	280899243	284859700	Chr3A	269093033	272987759	6	0.9995
Chr3A	286968946	294756278	Chr3A	275112839	282856376	7	0.9998571428571428
Chr3A	300173801	305236714	Chr3A	288844986	293861797	6	0.9991666666666666
Chr3A	307569651	328087198	Chr3A	296211826	317027613	26	0.9996153846153848
Chr3A	334454942	338566935	Chr3A	323575553	327677047	8	0.999625
Chr3A	341714695	349096037	Chr3A	330205449	337546697	17	0.998529411764706
Chr3A	351562540	354510700	Chr3A	339949423	342875287	7	0.997
Chr3A	357146906	360275758	Chr3A	345516988	348637492	6	0.9998333333333336
Chr3A	362401176	717475572	Chr3A	350718671	702414143	2649	0.9971143827859568
Chr3A	729800347	747839398	Chr3A	717659869	736119113	200	0.995095
Chr3A	751225746	754027567	Chr3A	736905495	738492192	27	0.9835185185185188
