gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity
gene:TraesCS4D03G0000100	Chr4D	409970	411319	-	410644	Chr4D	1970881	1972230	+	1971555	1.0	1.0
gene:TraesCS4D03G0000200	Chr4D	459723	463379	+	461551	Chr4D	1918328	1921984	-	1920156	1.0	1.0
gene:TraesCS4D03G0000300	Chr4D	463559	465496	-	464527	Chr4D	1916211	1918148	+	1917179	1.0	1.0
gene:TraesCS4D03G0000500	Chr4D	465900	467545	-	466722	Chr4D	1914162	1915807	+	1914984	1.0	1.0
gene:TraesCS4D03G0000700	Chr4D	475371	480193	+	477782	Chr4D	1901806	1906251	-	1904028	1.0	1.0
gene:TraesCS4D03G0000800	Chr4D	536039	548069	+	542054	Chr4D	1833857	1845885	-	1839871	1.0	1.0
gene:TraesCS4D03G0000900	Chr4D	603219	607023	-	605121	Chr4D	1776210	1780014	+	1778112	1.0	1.0
gene:TraesCS4D03G0001000	Chr4D	607335	608738	+	608036	Chr4D	1774495	1775898	-	1775196	1.0	1.0
gene:TraesCS4D03G0001200	Chr4D	610012	615059	-	612535	Chr4D	1768175	1773221	+	1770698	0.999	0.999
gene:TraesCS4D03G0001300	Chr4D	624082	627372	+	625727	Chr4D	1756162	1759452	-	1757807	1.0	0.998
gene:TraesCS4D03G0001400	Chr4D	658413	659236	+	658824	Chr4D	1725010	1725833	-	1725421	1.0	1.0
gene:TraesCS4D03G0001700	Chr4D	734129	734515	+	734322	Chr4D	1650842	1651228	-	1651035	1.0	1.0
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	1627246	1629501	+	1628373	1.0	1.0
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	1239034	1242437	-	1240735	1.0	1.0
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	1227741	1229913	-	1228827	1.0	1.0
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	1223481	1225182	+	1224331	1.0	1.0
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	1220773	1221815	-	1221294	1.0	1.0
gene:TraesCS4D03G0002700	Chr4D	1224901	1226574	+	1225737	Chr4D	1195195	1196868	-	1196031	1.0	1.0
gene:TraesCS4D03G0002800	Chr4D	1233656	1234699	+	1234177	Chr4D	1186943	1187974	-	1187458	0.987	0.987
gene:TraesCS4D03G0002900	Chr4D	1235849	1238078	+	1236963	Chr4D	1183564	1185793	-	1184678	1.0	1.0
gene:TraesCS4D03G0003000	Chr4D	1239892	1242834	+	1241363	Chr4D	1178807	1181750	-	1180278	1.0	1.0
gene:TraesCS4D03G0003100	Chr4D	1245411	1245824	-	1245617	Chr4D	1175823	1176236	+	1176029	1.0	1.0
gene:TraesCS4D03G0003500	Chr4D	1279798	1281379	+	1280588	Chr4D	1140052	1141633	-	1140842	1.0	1.0
gene:TraesCS4D03G0003700	Chr4D	1281940	1284304	+	1283122	Chr4D	1137127	1139491	-	1138309	1.0	1.0
gene:TraesCS4D03G0003800	Chr4D	1291459	1294621	+	1293040	Chr4D	1126810	1129972	-	1128391	1.0	1.0
gene:TraesCS4D03G0004000	Chr4D	1304418	1305152	-	1304785	Chr4D	1116466	1117200	+	1116833	1.0	0.998
gene:TraesCS4D03G0004100	Chr4D	1318992	1323052	+	1321022	Chr4D	1098965	1103025	-	1100995	1.0	1.0
gene:TraesCS4D03G0004300	Chr4D	1341017	1345302	-	1343159	Chr4D	1076583	1080870	+	1078726	1.0	1.0
gene:TraesCS4D03G0004400	Chr4D	1357145	1360998	-	1359071	Chr4D	1060864	1064717	+	1062790	1.0	1.0
gene:TraesCS4D03G0004500	Chr4D	1362318	1367013	-	1364665	Chr4D	1054849	1059544	+	1057196	1.0	1.0
gene:TraesCS4D03G0004600	Chr4D	1368870	1373554	-	1371212	Chr4D	1048312	1052996	+	1050654	1.0	1.0
gene:TraesCS4D03G0004700	Chr4D	1374679	1379306	-	1376992	Chr4D	1042753	1047187	+	1044970	1.0	1.0
gene:TraesCS4D03G0004800	Chr4D	1390139	1393851	+	1391995	Chr4D	1028363	1032075	-	1030219	1.0	1.0
gene:TraesCS4D03G0004900	Chr4D	1397353	1399554	-	1398453	Chr4D	1022660	1024861	+	1023760	1.0	1.0
gene:TraesCS4D03G0005000	Chr4D	1400675	1404459	-	1402567	Chr4D	1017755	1021539	+	1019647	1.0	1.0
gene:TraesCS4D03G0005100	Chr4D	1406011	1408464	+	1407237	Chr4D	1013750	1016203	-	1014976	1.0	0.999
gene:TraesCS4D03G0005800	Chr4D	1630996	1636148	-	1633572	Chr4D	362645	367825	-	365235	1.0	1.0
gene:TraesCS4D03G0006100	Chr4D	1655892	1658459	+	1657175	Chr4D	387676	390243	+	388959	1.0	1.0
gene:TraesCS4D03G0006500	Chr4D	1693854	1698641	-	1696247	Chr4D	425389	430176	-	427782	1.0	1.0
gene:TraesCS4D03G0006600	Chr4D	1808058	1813801	+	1810929	Chr4D	540325	546068	+	543196	1.0	1.0
gene:TraesCS4D03G0006900	Chr4D	1857162	1864002	+	1860582	Chr4D	590178	597018	+	593598	1.0	1.0
gene:TraesCS4D03G0007200	Chr4D	2118829	2121262	-	2120045	Chr4D	6613466	6615899	+	6614682	1.0	0.999
gene:TraesCS4D03G0007300	Chr4D	2157319	2157750	+	2157534	Chr4D	6581379	6581810	-	6581594	1.0	1.0
gene:TraesCS4D03G0007400	Chr4D	2159778	2160428	-	2160103	Chr4D	6578701	6579351	+	6579026	1.0	1.0
gene:TraesCS4D03G0007500	Chr4D	2210061	2211185	+	2210623	Chr4D	6531012	6532136	-	6531574	1.0	1.0
gene:TraesCS4D03G0007600	Chr4D	2233090	2237239	-	2235164	Chr4D	6505514	6509663	+	6507588	1.0	0.999
gene:TraesCS4D03G0007700	Chr4D	2275324	2285972	-	2280648	Chr4D	6466398	6477259	+	6471828	1.0	1.0
gene:TraesCS4D03G0008000	Chr4D	2317575	2321028	-	2319301	Chr4D	6431803	6435256	+	6433529	1.0	1.0
gene:TraesCS4D03G0008300	Chr4D	2468842	2469594	-	2469218	Chr4D	6285054	6285806	+	6285430	1.0	1.0
