cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr6A	3495564	6598367	Chr6A	10440723	12931808	30	0.9808
Chr6A	12137328	13783436	Chr6A	4189266	5757276	17	0.9668235294117647
Chr6A	119203	2954571	Chr6A	112374	3587574	51	0.9850196078431372
Chr6A	6623950	165560133	Chr6A	5844922	162188921	1377	0.9948010167029774
Chr6A	169123596	174751019	Chr6A	165741021	171144093	30	0.9996666666666667
Chr6A	177010402	237636332	Chr6A	173394831	233315972	203	0.9986600985221674
Chr6A	243810148	244731119	Chr6A	239374658	240209103	3	0.9946666666666667
Chr6A	251103689	255370132	Chr6A	246396164	250625100	8	0.9975
Chr6A	257566273	264313435	Chr6A	252771807	259194069	20	0.9949000000000001
Chr6A	266482395	275860435	Chr6A	261391488	270908152	22	0.998
Chr6A	278883582	290338890	Chr6A	273896631	284812893	15	0.9975333333333334
Chr6A	293863739	319731587	Chr6A	288732393	315367805	28	0.9972142857142857
Chr6A	323819925	326827584	Chr6A	319459516	322409729	8	0.9974999999999999
Chr6A	328915123	332571498	Chr6A	324552283	328180274	6	0.997
Chr6A	334687288	346665213	Chr6A	330227838	342498953	16	0.996875
Chr6A	349035941	349057392	Chr6A	344901682	344925914	3	0.9986666666666667
Chr6A	354380382	355885891	Chr6A	350285538	351776002	4	0.9970000000000001
Chr6A	357954045	410556392	Chr6A	353654614	405013825	145	0.9971724137931035
Chr6A	425770714	429873735	Chr6A	417345800	421302893	18	0.9982777777777778
Chr6A	442130717	528672379	Chr6A	435126440	521147173	591	0.9982758037225042
Chr6A	531482801	578016424	Chr6A	521179602	566980083	450	0.996391111111111
Chr6A	580416802	622584375	Chr6A	568534817	610804775	659	0.9918179059180576
Chr6A	411593066	424786182	Chr6A	422214392	434970244	51	0.9964313725490196
Chr6A	430037973	441054648	Chr6A	406595505	417186903	47	0.9933617021276596
Chr6A	616237761	616627697	Chr6A	610916479	611539805	16	0.9605625
