gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity
gene:TraesCS3B03G0000800	Chr3B	246094	246695	-	246394	Chr3B	126256	126760	-	126508	0.985	0.965
gene:TraesCS3B03G0001100	Chr3B	388009	388991	+	388500	Chr3B	193861	194833	+	194347	0.958	0.904
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	722653	727745	-	725199	0.992	0.922
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	982525	986381	-	984453	0.993	0.956
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	1638137	1641419	-	1639778	1.0	0.996
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	1985101	1988023	-	1986562	1.0	0.976
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	2008249	2011083	-	2009666	1.0	0.971
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	2129478	2132554	+	2131016	1.0	0.963
gene:TraesCS3B03G0017200	Chr3B	4672356	4674432	+	4673394	Chr3B	5437975	5440191	+	5439083	0.985	0.916
gene:TraesCS3B03G0019700	Chr3B	5714448	5715228	+	5714838	Chr3B	4613269	4614046	-	4613657	0.992	0.945
gene:TraesCS3B03G0027100	Chr3B	6250940	6252156	+	6251548	Chr3B	4075235	4076460	-	4075847	1.0	0.96
gene:TraesCS3B03G0027300	Chr3B	6302591	6303316	-	6302953	Chr3B	4056887	4057612	+	4057249	1.0	0.971
gene:TraesCS3B03G0028100	Chr3B	6375001	6378109	-	6376555	Chr3B	3725123	3728853	+	3726988	0.983	0.918
gene:TraesCS3B03G0028200	Chr3B	6418690	6428060	+	6423375	Chr3B	3653271	3663412	+	3658341	0.996	0.969
gene:TraesCS3B03G0028600	Chr3B	6461524	6462461	+	6461992	Chr3B	3595928	3596908	-	3596418	1.0	0.958
gene:TraesCS3B03G0029000	Chr3B	6503456	6505642	-	6504549	Chr3B	3643245	3645428	+	3644336	0.998	0.951
gene:TraesCS3B03G0029200	Chr3B	6514905	6517931	-	6516418	Chr3B	3605658	3608914	+	3607286	1.0	0.957
gene:TraesCS3B03G0031400	Chr3B	10011961	10013468	-	10012714	Chr3B	18224005	18225513	+	18224759	1.0	0.993
gene:TraesCS3B03G0031700	Chr3B	10462654	10466557	+	10464605	Chr3B	17781141	17785123	-	17783132	1.0	0.995
gene:TraesCS3B03G0031800	Chr3B	10972258	10977458	-	10974858	Chr3B	17260235	17265429	+	17262832	1.0	0.995
gene:TraesCS3B03G0034500	Chr3B	11323937	11324951	+	11324444	Chr3B	22437829	22438845	-	22438337	0.996	0.984
gene:TraesCS3B03G0034700	Chr3B	11336624	11338440	-	11337532	Chr3B	22424888	22426703	+	22425795	1.0	0.998
gene:TraesCS3B03G0034800	Chr3B	11342223	11343646	-	11342934	Chr3B	22419682	22421105	+	22420393	1.0	0.999
gene:TraesCS3B03G0035000	Chr3B	11358679	11367360	+	11363019	Chr3B	22376980	22385643	-	22381311	0.994	0.992
gene:TraesCS3B03G0035200	Chr3B	11376630	11380418	+	11378524	Chr3B	22364454	22368008	-	22366231	1.0	0.998
gene:TraesCS3B03G0035400	Chr3B	11418909	11422285	-	11420597	Chr3B	22303881	22307112	+	22305496	0.953	0.945
gene:TraesCS3B03G0035700	Chr3B	11460688	11462059	+	11461373	Chr3B	22262934	22264305	-	22263619	1.0	0.993
gene:TraesCS3B03G0036500	Chr3B	11587168	11589299	+	11588233	Chr3B	22146384	22148515	-	22147449	1.0	0.996
gene:TraesCS3B03G0037900	Chr3B	11947904	11950970	+	11949437	Chr3B	17121238	17124289	-	17122763	1.0	0.995
gene:TraesCS3B03G0038000	Chr3B	11951308	11954850	-	11953079	Chr3B	17117337	17120900	+	17119118	0.998	0.995
gene:TraesCS3B03G0038200	Chr3B	11956531	11958854	-	11957692	Chr3B	17113273	17115598	+	17114435	1.0	0.992
gene:TraesCS3B03G0038500	Chr3B	11961737	11963712	-	11962724	Chr3B	17108446	17110421	+	17109433	1.0	0.995
gene:TraesCS3B03G0038600	Chr3B	11965423	11968168	+	11966795	Chr3B	17103993	17106733	-	17105363	0.997	0.992
gene:TraesCS3B03G0038800	Chr3B	12071707	12079854	+	12075780	Chr3B	17009584	17017761	-	17013672	1.0	0.995
gene:TraesCS3B03G0038900	Chr3B	12176373	12178583	+	12177478	Chr3B	16923224	16925413	-	16924318	1.0	0.971
gene:TraesCS3B03G0039100	Chr3B	12184132	12185097	+	12184614	Chr3B	16915382	16916346	-	16915864	0.991	0.932
gene:TraesCS3B03G0039400	Chr3B	12225935	12226465	-	12226200	Chr3B	16683205	16683752	+	16683478	0.986	0.917
gene:TraesCS3B03G0040300	Chr3B	12365034	12368968	+	12367001	Chr3B	14550150	14554084	+	14552117	1.0	0.997
gene:TraesCS3B03G0040400	Chr3B	12369257	12370173	+	12369715	Chr3B	14554373	14555289	+	14554831	1.0	0.994
gene:TraesCS3B03G0040500	Chr3B	12371609	12375309	-	12373459	Chr3B	14556722	14560421	-	14558571	1.0	0.995
gene:TraesCS3B03G0041000	Chr3B	12477307	12481295	-	12479301	Chr3B	14671602	14675590	-	14673596	0.999	0.993
