gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS5A03G0000100	Chr5A	10126	18461	-	14293	Chr5A	4126193	4134529	+	4130361	1.0	0.999	collinear
gene:TraesCS5A03G0000200	Chr5A	20226	23967	+	22096	Chr5A	4120687	4124428	-	4122557	1.0	1.0	collinear
gene:TraesCS5A03G0000300	Chr5A	28171	30032	-	29101	Chr5A	4114334	4116195	+	4115264	1.0	0.997	collinear
gene:TraesCS5A03G0000400	Chr5A	215597	216821	+	216209	Chr5A	3918137	3919361	-	3918749	1.0	1.0	collinear
gene:TraesCS5A03G0000800	Chr5A	622810	628759	+	625784	Chr5A	3507000	3512949	-	3509974	1.0	0.999	collinear
gene:TraesCS5A03G0000900	Chr5A	628951	630466	+	629708	Chr5A	3505297	3506808	-	3506052	0.997	0.997	collinear
gene:TraesCS5A03G0001000	Chr5A	637855	638799	+	638327	Chr5A	3496943	3497887	-	3497415	1.0	1.0	collinear
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	1541465	1543249	+	1542357	1.0	1.0	collinear
gene:TraesCS5A03G0001500	Chr5A	1684670	1685023	+	1684846	Chr5A	1680394	1680747	+	1680570	1.0	1.0	collinear
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	1699726	1702939	-	1701332	1.0	1.0	collinear
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	1940231	1940596	-	1940413	1.0	0.997	collinear
gene:TraesCS5A03G0002000	Chr5A	2041391	2042111	-	2041751	Chr5A	2025836	2026556	-	2026196	1.0	1.0	collinear
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	2027340	2027822	+	2027581	1.0	1.0	collinear
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	2043737	2052185	+	2047961	1.0	0.999	collinear
gene:TraesCS5A03G0002700	Chr5A	2068880	2071814	+	2070347	Chr5A	2053170	2056104	+	2054637	1.0	1.0	collinear
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	2066832	2067178	+	2067005	1.0	1.0	collinear
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	1496190	1496369	-	1496279	1.0	1.0	collinear
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	1452076	1453065	+	1452570	1.0	1.0	collinear
gene:TraesCS5A03G0008900	Chr5A	3992185	3995626	+	3993905	Chr5A	4251163	4254608	+	4252885	1.0	0.998	collinear
gene:TraesCS5A03G0009200	Chr5A	4072714	4080157	+	4076435	Chr5A	4331650	4339092	+	4335371	1.0	1.0	collinear
gene:TraesCS5A03G0009300	Chr5A	4081207	4083626	+	4082416	Chr5A	4340144	4342561	+	4341352	1.0	1.0	collinear
gene:TraesCS5A03G0009400	Chr5A	4100653	4103564	-	4102108	Chr5A	4359595	4362504	-	4361049	1.0	1.0	collinear
gene:TraesCS5A03G0009500	Chr5A	4120412	4124180	-	4122296	Chr5A	4378674	4382442	-	4380558	1.0	1.0	collinear
gene:TraesCS5A03G0009700	Chr5A	4186460	4199135	+	4192797	Chr5A	4442710	4455371	+	4449040	1.0	1.0	collinear
gene:TraesCS5A03G0009900	Chr5A	4216771	4219824	+	4218297	Chr5A	4473005	4476060	+	4474532	1.0	0.996	collinear
gene:TraesCS5A03G0010100	Chr5A	4264649	4265629	-	4265139	Chr5A	4504122	4505123	-	4504622	1.0	0.958	collinear
gene:TraesCS5A03G0010300	Chr5A	4274826	4278699	-	4276762	Chr5A	4532874	4536750	-	4534812	1.0	0.985	collinear
gene:TraesCS5A03G0010400	Chr5A	4289135	4289901	+	4289518	Chr5A	4558172	4558938	+	4558555	1.0	0.988	collinear
gene:TraesCS5A03G0010500	Chr5A	4295044	4309997	+	4302520	Chr5A	4564842	4579906	+	4572374	1.0	0.996	collinear
gene:TraesCS5A03G0010800	Chr5A	4324864	4327830	-	4326347	Chr5A	4637314	4640310	-	4638812	1.0	0.99	collinear
gene:TraesCS5A03G0010900	Chr5A	4334824	4335825	-	4335324	Chr5A	4712129	4713130	-	4712629	1.0	0.992	collinear
gene:TraesCS5A03G0011300	Chr5A	4421557	4424972	+	4423264	Chr5A	4796282	4799698	+	4797990	1.0	0.998	collinear
