cs_chr	Mace_tgt_chr	n_anchors	Mace_mean_anchor_gap_Mb	Mace_interp_type	n_segments	Mace_mean_anchor_fraction
Chr1A	Chr1A+Chr1A	3906	0.112	linear+linear	2	0.929
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4065	0.169	linear+linear+pchip+linear+linear+linear	6	0.899
Chr1D	Chr1D	4303	0.116	linear	1	0.967
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5094	0.173	linear+linear+linear+pchip_inverted+linear+linear	6	0.9
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5407	0.201	linear+linear+linear+linear+pchip_inverted+pchip_inverted+linear	7	0.908
Chr2D	Chr2D+Chr2D	5709	0.097	linear+linear	2	0.974
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A	4933	0.109	linear+linear+linear+linear	4	0.961
Chr3B	Chr3B+Chr3B	5230	0.113	linear+linear	2	0.912
Chr3D	Chr3D+Chr3D+Chr3D	5068	0.087	linear+linear+pchip_inverted	3	0.974
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4426	0.235	linear+linear+linear+linear+linear	5	0.947
Chr4B	Chr4B+Chr4B+Chr4B	3534	0.103	linear+linear+linear	3	0.773
Chr4D	Chr4D	3438	0.147	linear	1	0.962
Chr5A	Chr5A+Chr5A+Chr5A	5255	0.181	linear+linear+linear	3	0.965
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5121	0.231	linear+linear+linear+linear+linear+pchip+linear	7	0.907
Chr5D	Chr5D	5433	0.105	linear	1	0.981
Chr6A	Chr6A+Chr6A+Chr6A+Chr6A+Chr6A+Chr6A	3823	0.152	linear+linear+linear+pchip_inverted+pchip_inverted+linear	6	0.958
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B	3964	0.441	linear+linear+pchip_inverted+pchip_inverted	4	0.839
Chr6D	Chr6D	3760	0.132	linear	1	0.951
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5110	0.122	linear+linear+pchip_inverted+linear+linear+linear+linear	7	0.94
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4187	0.497	linear+linear+linear+linear+linear	5	0.883
Chr7D	Chr7D+Chr7D+Chr7D+Chr7D	5274	0.11	linear+linear+linear+linear	4	0.975
