gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS2D03G0000100	Chr2D	80423	88053	+	84238	Chr2D	78589	86226	+	82407	1.0	0.999	collinear
gene:TraesCS2D03G0000200	Chr2D	89594	93032	-	91313	Chr2D	87767	91166	-	89466	0.986	0.986	collinear
gene:TraesCS2D03G0000300	Chr2D	103714	104259	-	103986	Chr2D	102082	102627	-	102354	1.0	1.0	collinear
gene:TraesCS2D03G0000400	Chr2D	302821	307159	+	304990	Chr2D	301003	305347	+	303175	1.0	1.0	collinear
gene:TraesCS2D03G0000700	Chr2D	324320	325720	+	325020	Chr2D	322511	323911	+	323211	1.0	1.0	collinear
gene:TraesCS2D03G0000800	Chr2D	328026	333944	-	330985	Chr2D	326007	331925	-	328966	1.0	1.0	collinear
gene:TraesCS2D03G0000900	Chr2D	378562	379694	-	379128	Chr2D	376544	377676	-	377110	1.0	1.0	collinear
gene:TraesCS2D03G0001000	Chr2D	392241	395710	+	393975	Chr2D	389751	393220	+	391485	1.0	1.0	collinear
gene:TraesCS2D03G0001300	Chr2D	402281	404837	+	403559	Chr2D	399791	402347	+	401069	1.0	1.0	collinear
gene:TraesCS2D03G0001400	Chr2D	465877	484345	+	475111	Chr2D	463675	482290	+	472982	1.0	1.0	collinear
gene:TraesCS2D03G0001500	Chr2D	512185	513105	+	512645	Chr2D	512498	513418	+	512958	1.0	0.998	collinear
gene:TraesCS2D03G0001600	Chr2D	517999	519840	+	518919	Chr2D	518351	520192	+	519271	1.0	1.0	collinear
gene:TraesCS2D03G0001800	Chr2D	675239	678446	+	676842	Chr2D	675091	678298	+	676694	1.0	1.0	collinear
gene:TraesCS2D03G0001900	Chr2D	679143	683010	-	681076	Chr2D	678995	682862	-	680928	1.0	1.0	collinear
gene:TraesCS2D03G0002000	Chr2D	685135	687301	+	686218	Chr2D	684988	687157	+	686072	1.0	1.0	collinear
gene:TraesCS2D03G0002400	Chr2D	1649503	1653274	-	1651388	Chr2D	1648012	1651783	-	1649897	1.0	1.0	collinear
gene:TraesCS2D03G0002600	Chr2D	1713950	1716334	+	1715142	Chr2D	1710253	1712637	+	1711445	1.0	1.0	collinear
gene:TraesCS2D03G0002700	Chr2D	1727399	1735511	+	1731455	Chr2D	1723743	1731861	+	1727802	1.0	1.0	collinear
gene:TraesCS2D03G0002800	Chr2D	1746682	1747581	+	1747131	Chr2D	1742852	1743751	+	1743301	1.0	1.0	collinear
gene:TraesCS2D03G0003100	Chr2D	1762395	1762988	+	1762691	Chr2D	1758602	1759195	+	1758898	1.0	1.0	collinear
gene:TraesCS2D03G0003300	Chr2D	1783898	1784497	+	1784197	Chr2D	1780126	1780725	+	1780425	1.0	1.0	collinear
gene:TraesCS2D03G0004000	Chr2D	2035288	2045623	-	2040455	Chr2D	2853924	2864256	-	2859090	1.0	1.0	collinear
gene:TraesCS2D03G0004200	Chr2D	2080191	2084496	-	2082343	Chr2D	2898687	2902992	-	2900839	1.0	1.0	collinear
gene:TraesCS2D03G0004400	Chr2D	2112411	2114551	+	2113481	Chr2D	2931236	2933376	+	2932306	1.0	0.994	collinear
gene:TraesCS2D03G0004700	Chr2D	2134921	2136477	+	2135699	Chr2D	2953747	2955303	+	2954525	1.0	1.0	collinear
gene:TraesCS2D03G0004900	Chr2D	2166064	2169473	+	2167768	Chr2D	2984240	2987649	+	2985944	1.0	1.0	collinear
gene:TraesCS2D03G0005500	Chr2D	2236212	2236508	+	2236360	Chr2D	3053328	3053624	+	3053476	1.0	1.0	collinear
gene:TraesCS2D03G0005600	Chr2D	2258249	2265583	-	2261916	Chr2D	3075365	3082699	-	3079032	1.0	1.0	collinear
gene:TraesCS2D03G0005900	Chr2D	2317970	2318269	+	2318119	Chr2D	3135259	3135558	+	3135408	1.0	1.0	collinear
gene:TraesCS2D03G0006000	Chr2D	2342608	2342999	+	2342803	Chr2D	3160034	3160425	+	3160229	1.0	1.0	collinear
gene:TraesCS2D03G0006100	Chr2D	2357178	2357867	+	2357522	Chr2D	3174719	3175408	+	3175063	1.0	1.0	collinear
gene:TraesCS2D03G0006300	Chr2D	2377158	2383178	+	2380168	Chr2D	3193092	3199111	+	3196101	1.0	1.0	collinear
gene:TraesCS2D03G0006700	Chr2D	2441659	2447889	-	2444774	Chr2D	3257291	3263523	-	3260407	1.0	1.0	collinear
gene:TraesCS2D03G0006900	Chr2D	2460550	2464534	+	2462542	Chr2D	3276348	3280332	+	3278340	1.0	0.995	collinear
gene:TraesCS2D03G0007600	Chr2D	2581561	2586301	-	2583931	Chr2D	3348713	3353462	-	3351087	1.0	0.986	collinear
gene:TraesCS2D03G0007700	Chr2D	2586427	2592087	+	2589257	Chr2D	3353588	3359104	+	3356346	1.0	0.999	collinear
gene:TraesCS2D03G0007800	Chr2D	2603284	2607140	+	2605212	Chr2D	3370621	3374197	+	3372409	0.992	0.963	collinear
gene:TraesCS2D03G0007900	Chr2D	2621863	2623404	-	2622633	Chr2D	3388477	3390018	-	3389247	1.0	0.992	collinear
gene:TraesCS2D03G0008000	Chr2D	2626556	2626956	-	2626756	Chr2D	3393226	3393626	-	3393426	1.0	0.996	collinear
gene:TraesCS2D03G0008100	Chr2D	2648905	2654771	-	2651838	Chr2D	3415566	3421432	-	3418499	1.0	0.998	collinear
gene:TraesCS2D03G0008200	Chr2D	2658256	2661803	+	2660029	Chr2D	3424917	3428465	+	3426691	1.0	0.998	collinear
gene:TraesCS2D03G0008300	Chr2D	2724182	2725042	+	2724612	Chr2D	3824087	3824947	+	3824517	1.0	0.991	collinear
gene:TraesCS2D03G0008700	Chr2D	2752006	2762262	+	2757134	Chr2D	3909335	3919609	+	3914472	1.0	0.992	collinear
gene:TraesCS2D03G0008900	Chr2D	2802388	2806733	-	2804560	Chr2D	4008221	4012580	-	4010400	1.0	0.997	collinear
gene:TraesCS2D03G0009200	Chr2D	2859610	2869289	+	2864449	Chr2D	4065229	4074907	+	4070068	1.0	1.0	collinear
gene:TraesCS2D03G0009500	Chr2D	2918144	2920257	+	2919200	Chr2D	4123753	4125866	+	4124809	1.0	1.0	collinear
gene:TraesCS2D03G0009600	Chr2D	2923559	2927123	+	2925341	Chr2D	4129168	4132732	+	4130950	1.0	0.999	collinear
gene:TraesCS2D03G0009900	Chr2D	2982196	2984259	-	2983227	Chr2D	4187451	4189514	-	4188482	1.0	1.0	collinear
gene:TraesCS2D03G0010300	Chr2D	2997998	3002398	+	3000198	Chr2D	4203310	4207710	+	4205510	1.0	0.999	collinear
gene:TraesCS2D03G0010400	Chr2D	3010267	3011838	-	3011052	Chr2D	4215599	4217170	-	4216384	1.0	1.0	collinear
gene:TraesCS2D03G0010500	Chr2D	3016111	3017798	+	3016954	Chr2D	4221443	4223130	+	4222286	1.0	1.0	collinear
gene:TraesCS2D03G0010700	Chr2D	3037721	3039448	+	3038584	Chr2D	4242350	4244077	+	4243213	1.0	1.0	collinear
gene:TraesCS2D03G0010800	Chr2D	3041119	3041313	+	3041216	Chr2D	4245829	4246023	+	4245926	1.0	0.994	collinear
gene:TraesCS2D03G0011000	Chr2D	3054024	3055544	-	3054784	Chr2D	4258734	4260254	-	4259494	1.0	1.0	collinear
gene:TraesCS2D03G0011100	Chr2D	3074555	3074998	-	3074776	Chr2D	4271957	4272400	-	4272178	1.0	1.0	collinear
gene:TraesCS2D03G0011300	Chr2D	3118810	3119517	+	3119163	Chr2D	4316262	4316969	+	4316615	1.0	1.0	collinear
gene:TraesCS2D03G0011400	Chr2D	3126359	3126751	+	3126555	Chr2D	4323793	4324185	+	4323989	1.0	1.0	collinear
gene:TraesCS2D03G0011500	Chr2D	3130021	3133870	-	3131945	Chr2D	4327364	4331212	-	4329288	1.0	1.0	collinear
gene:TraesCS2D03G0011600	Chr2D	3147424	3149486	-	3148455	Chr2D	4343790	4345852	-	4344821	1.0	1.0	collinear
gene:TraesCS2D03G0011700	Chr2D	3193684	3196985	+	3195334	Chr2D	4387351	4390637	+	4388994	0.992	0.992	collinear
gene:TraesCS2D03G0011800	Chr2D	3197099	3201360	-	3199229	Chr2D	4390751	4394885	-	4392818	1.0	1.0	collinear
gene:TraesCS2D03G0011900	Chr2D	3232730	3235889	+	3234309	Chr2D	4425643	4428802	+	4427222	1.0	1.0	collinear
gene:TraesCS2D03G0012200	Chr2D	3369355	3371216	-	3370285	Chr2D	4561942	4563803	-	4562872	1.0	1.0	collinear
gene:TraesCS2D03G0012800	Chr2D	3895658	3906170	+	3900914	Chr2D	5096074	5106586	+	5101330	1.0	1.0	collinear
gene:TraesCS2D03G0013300	Chr2D	4109808	4114155	-	4111981	Chr2D	5305386	5309733	-	5307559	1.0	0.999	collinear
gene:TraesCS2D03G0013800	Chr2D	4166648	4170990	-	4168819	Chr2D	5362486	5366828	-	5364657	1.0	0.997	collinear
gene:TraesCS2D03G0013900	Chr2D	4172256	4174273	+	4173264	Chr2D	5368094	5370111	+	5369102	1.0	0.999	collinear
gene:TraesCS2D03G0014000	Chr2D	4179944	4184680	+	4182312	Chr2D	5375782	5380519	+	5378150	1.0	1.0	collinear
gene:TraesCS2D03G0014100	Chr2D	4243317	4245051	-	4244184	Chr2D	5439173	5440907	-	5440040	1.0	0.999	collinear
gene:TraesCS2D03G0014200	Chr2D	4250619	4254195	-	4252407	Chr2D	5446475	5450051	-	5448263	1.0	1.0	collinear
gene:TraesCS2D03G0014300	Chr2D	4328200	4329737	+	4328968	Chr2D	5521160	5522697	+	5521928	1.0	1.0	collinear
gene:TraesCS2D03G0014700	Chr2D	4492798	4494856	+	4493827	Chr2D	5660307	5662365	+	5661336	1.0	1.0	collinear
gene:TraesCS2D03G0015000	Chr2D	4524318	4526340	+	4525329	Chr2D	5721440	5723462	+	5722451	1.0	1.0	collinear
gene:TraesCS2D03G0015200	Chr2D	4596216	4598522	-	4597369	Chr2D	5789443	5791749	-	5790596	1.0	1.0	collinear
gene:TraesCS2D03G0015300	Chr2D	4599137	4603767	-	4601452	Chr2D	5792364	5796994	-	5794679	1.0	1.0	collinear
gene:TraesCS2D03G0015600	Chr2D	4734305	4735695	-	4735000	Chr2D	5911068	5912458	-	5911763	1.0	0.999	collinear
gene:TraesCS2D03G0016000	Chr2D	4809320	4809583	-	4809451	Chr2D	5985803	5986066	-	5985934	1.0	1.0	collinear
