gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity
gene:TraesCS1A03G0000200	Chr1A	40098	70338	-	55218	Chr1A	38512	64621	-	51566	1.0	0.997
gene:TraesCS1A03G0000400	Chr1A	70239	89245	+	79742	Chr1A	64522	83487	+	74004	1.0	0.998
gene:TraesCS1A03G0000600	Chr1A	95906	104903	+	100404	Chr1A	89927	98852	+	94389	1.0	1.0
gene:TraesCS1A03G0001000	Chr1A	149490	154559	-	152024	Chr1A	142546	147615	-	145080	1.0	0.997
gene:TraesCS1A03G0001200	Chr1A	162313	162609	+	162461	Chr1A	155368	155664	+	155516	1.0	1.0
gene:TraesCS1A03G0001300	Chr1A	169592	169969	-	169780	Chr1A	162091	162468	-	162279	1.0	1.0
gene:TraesCS1A03G0001400	Chr1A	180175	180552	-	180363	Chr1A	172337	172714	-	172525	1.0	0.994
gene:TraesCS1A03G0001500	Chr1A	233818	245051	+	239434	Chr1A	224586	235576	+	230081	1.0	1.0
gene:TraesCS1A03G0001800	Chr1A	270605	272936	-	271770	Chr1A	259858	262189	-	261023	1.0	0.999
gene:TraesCS1A03G0001700	Chr1A	269472	289602	-	279537	Chr1A	258725	278612	-	268668	1.0	0.999
gene:TraesCS1A03G0002100	Chr1A	287697	287957	+	287827	Chr1A	276707	276967	+	276837	1.0	1.0
gene:TraesCS1A03G0002400	Chr1A	297266	297652	+	297459	Chr1A	286127	286513	+	286320	1.0	0.996
gene:TraesCS1A03G0002800	Chr1A	326099	326518	+	326308	Chr1A	313057	313476	+	313266	1.0	1.0
gene:TraesCS1A03G0002900	Chr1A	337960	338256	+	338108	Chr1A	324827	325123	+	324975	1.0	1.0
gene:TraesCS1A03G0003200	Chr1A	403455	403751	+	403603	Chr1A	386975	387271	+	387123	1.0	1.0
gene:TraesCS1A03G0004000	Chr1A	1142826	1144427	+	1143626	Chr1A	1123755	1125356	+	1124555	1.0	1.0
gene:TraesCS1A03G0004200	Chr1A	1157430	1161066	-	1159248	Chr1A	1138364	1142000	-	1140182	1.0	1.0
gene:TraesCS1A03G0004300	Chr1A	1161721	1166114	-	1163917	Chr1A	1142655	1147048	-	1144851	1.0	1.0
