gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity
gene:TraesCS7D03G0000400	Chr7D	207994	212443	-	210218	Chr7D	415043	419492	-	417267	1.0	1.0
gene:TraesCS7D03G0000500	Chr7D	242065	245782	+	243923	Chr7D	449116	452833	+	450974	1.0	0.999
gene:TraesCS7D03G0000900	Chr7D	337014	337852	+	337433	Chr7D	543965	544803	+	544384	1.0	1.0
gene:TraesCS7D03G0001000	Chr7D	365927	369790	-	367858	Chr7D	573315	577202	-	575258	1.0	0.988
gene:TraesCS7D03G0001100	Chr7D	371892	373182	-	372537	Chr7D	579279	580569	-	579924	1.0	1.0
gene:TraesCS7D03G0001400	Chr7D	478186	482086	-	480136	Chr7D	685568	689468	-	687518	1.0	1.0
gene:TraesCS7D03G0001900	Chr7D	706058	709008	-	707533	Chr7D	916040	918991	-	917515	1.0	0.989
gene:TraesCS7D03G0002100	Chr7D	995282	1001481	-	998381	Chr7D	1204694	1210895	-	1207794	1.0	1.0
gene:TraesCS7D03G0002300	Chr7D	1028545	1032002	-	1030273	Chr7D	1237993	1241450	-	1239721	1.0	1.0
gene:TraesCS7D03G0002600	Chr7D	1089491	1090678	-	1090084	Chr7D	1298943	1300130	-	1299536	1.0	1.0
gene:TraesCS7D03G0002800	Chr7D	1101311	1104311	-	1102811	Chr7D	1310773	1313749	-	1312261	0.992	0.99
gene:TraesCS7D03G0002900	Chr7D	1138064	1151035	-	1144549	Chr7D	1347503	1360475	-	1353989	1.0	1.0
gene:TraesCS7D03G0003200	Chr7D	1197663	1199279	-	1198471	Chr7D	1407094	1408710	-	1407902	1.0	1.0
gene:TraesCS7D03G0003900	Chr7D	1268276	1269780	-	1269028	Chr7D	1477874	1479378	-	1478626	1.0	1.0
gene:TraesCS7D03G0004000	Chr7D	1270782	1275797	-	1273289	Chr7D	1480381	1485400	-	1482890	1.0	1.0
gene:TraesCS7D03G0004300	Chr7D	1318295	1332709	+	1325502	Chr7D	1527861	1542334	+	1535097	1.0	1.0
gene:TraesCS7D03G0004400	Chr7D	1335304	1336512	+	1335908	Chr7D	1544929	1546137	+	1545533	1.0	1.0
gene:TraesCS7D03G0004500	Chr7D	1367440	1372889	+	1370164	Chr7D	1577074	1582551	+	1579812	1.0	0.999
gene:TraesCS7D03G0004600	Chr7D	1423297	1428624	-	1425960	Chr7D	1632900	1638227	-	1635563	1.0	1.0
gene:TraesCS7D03G0004700	Chr7D	1568149	1569787	+	1568968	Chr7D	1778641	1780279	+	1779460	1.0	0.999
gene:TraesCS7D03G0005200	Chr7D	1622734	1623927	-	1623330	Chr7D	1833237	1834430	-	1833833	1.0	1.0
gene:TraesCS7D03G0005300	Chr7D	1630150	1631499	-	1630824	Chr7D	1840653	1842002	-	1841327	1.0	1.0
gene:TraesCS7D03G0005400	Chr7D	1638146	1638877	-	1638511	Chr7D	1848649	1849380	-	1849014	1.0	1.0
gene:TraesCS7D03G0005500	Chr7D	1648975	1654512	-	1651743	Chr7D	1859483	1865020	-	1862251	1.0	1.0
gene:TraesCS7D03G0005800	Chr7D	1673923	1675253	+	1674588	Chr7D	1884431	1885761	+	1885096	1.0	1.0
gene:TraesCS7D03G0005900	Chr7D	1812284	1819521	+	1815902	Chr7D	2024910	2032143	+	2028526	1.0	1.0
gene:TraesCS7D03G0006000	Chr7D	1859225	1861790	-	1860507	Chr7D	2071849	2074414	-	2073131	1.0	1.0
gene:TraesCS7D03G0007000	Chr7D	2228806	2234143	+	2231474	Chr7D	2448588	2453925	+	2451256	1.0	1.0
gene:TraesCS7D03G0007200	Chr7D	2250873	2256744	+	2253808	Chr7D	2470370	2476241	+	2473305	1.0	0.999
gene:TraesCS7D03G0007300	Chr7D	2256864	2262070	-	2259467	Chr7D	2476361	2481567	-	2478964	1.0	1.0
gene:TraesCS7D03G0007400	Chr7D	2264975	2273161	+	2269068	Chr7D	2484472	2492658	+	2488565	1.0	0.999
gene:TraesCS7D03G0007600	Chr7D	2278478	2284668	-	2281573	Chr7D	2497975	2504108	-	2501041	1.0	1.0
gene:TraesCS7D03G0007800	Chr7D	2290415	2291827	-	2291121	Chr7D	2509670	2511082	-	2510376	1.0	1.0
gene:TraesCS7D03G0007900	Chr7D	2327893	2330761	-	2329327	Chr7D	2546859	2549759	-	2548309	1.0	0.988
gene:TraesCS7D03G0008100	Chr7D	2339553	2341226	-	2340389	Chr7D	2558298	2559971	-	2559134	1.0	1.0
gene:TraesCS7D03G0008300	Chr7D	2344023	2345195	+	2344609	Chr7D	2562768	2563940	+	2563354	1.0	0.998
gene:TraesCS7D03G0008400	Chr7D	2379429	2390488	-	2384958	Chr7D	2598006	2608835	-	2603420	1.0	1.0
gene:TraesCS7D03G0008800	Chr7D	2434315	2435737	+	2435026	Chr7D	2651686	2653108	+	2652397	1.0	1.0
gene:TraesCS7D03G0009200	Chr7D	2527421	2532947	-	2530184	Chr7D	2740949	2746475	-	2743712	1.0	0.999
gene:TraesCS7D03G0009300	Chr7D	2533886	2537181	-	2535533	Chr7D	2747414	2750709	-	2749061	1.0	1.0
