cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr5A	1543362	62409843	Chr5A	3114976	65721022	536	0.9946473880597017
Chr5A	65256920	152899436	Chr5A	68570998	156616532	399	0.9967869674185464
Chr5A	156754150	160718182	Chr5A	160466799	164600781	13	0.9996923076923075
Chr5A	163084098	182449906	Chr5A	166951749	186000323	37	0.9998378378378379
Chr5A	184871905	187078746	Chr5A	188415741	190615791	4	1.0
Chr5A	192446609	200581324	Chr5A	195921613	204025604	16	0.998875
Chr5A	204816399	224020772	Chr5A	208284530	227447975	33	0.9996969696969698
Chr5A	226098410	238494644	Chr5A	229522529	242839668	28	0.9998214285714286
Chr5A	246500840	249706915	Chr5A	248741237	251891235	7	1.0
Chr5A	259606122	428812755	Chr5A	260332410	428791755	899	0.9984327030033371
Chr5A	431918117	713328361	Chr5A	429086826	714669316	3255	0.996100153609831
