gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity
gene:TraesCS2B03G0000100	Chr2B	28743	34135	+	31439	Chr2B	559148	564488	+	561818	1.0	0.988
gene:TraesCS2B03G0000200	Chr2B	39467	43757	-	41612	Chr2B	569698	573869	-	571783	0.958	0.931
gene:TraesCS2B03G0000300	Chr2B	99450	99932	-	99691	Chr2B	599162	599642	-	599402	0.995	0.973
gene:TraesCS2B03G0000400	Chr2B	106822	111948	+	109385	Chr2B	685469	690530	+	687999	0.941	0.911
gene:TraesCS2B03G0000700	Chr2B	125470	127186	+	126328	Chr2B	704433	706139	+	705286	0.994	0.99
gene:TraesCS2B03G0000800	Chr2B	129516	134301	-	131908	Chr2B	707877	712611	-	710244	0.983	0.977
gene:TraesCS2B03G0000900	Chr2B	248523	249650	-	249086	Chr2B	826446	827563	-	827004	1.0	0.997
gene:TraesCS2B03G0001000	Chr2B	255128	258501	+	256814	Chr2B	832786	836174	+	834480	0.999	0.973
gene:TraesCS2B03G0001900	Chr2B	359414	360259	+	359836	Chr2B	1119516	1120361	+	1119938	1.0	0.994
gene:TraesCS2B03G0002400	Chr2B	401647	403609	+	402628	Chr2B	1157256	1159205	+	1158230	1.0	0.999
gene:TraesCS2B03G0002500	Chr2B	404319	408371	-	406345	Chr2B	1159915	1163935	-	1161925	0.973	0.96
gene:TraesCS2B03G0002600	Chr2B	410883	413197	+	412040	Chr2B	1166409	1168813	+	1167611	1.0	0.997
gene:TraesCS2B03G0002800	Chr2B	416211	435790	-	426000	Chr2B	1261291	1289898	-	1275594	0.923	0.917
gene:TraesCS2B03G0002900	Chr2B	459671	461718	-	460694	Chr2B	1359134	1361180	-	1360157	1.0	0.998
gene:TraesCS2B03G0003100	Chr2B	463843	465375	-	464609	Chr2B	1363306	1364839	-	1364072	1.0	0.998
gene:TraesCS2B03G0003300	Chr2B	517984	518190	-	518087	Chr2B	1414050	1414256	-	1414153	1.0	1.0
gene:TraesCS2B03G0005500	Chr2B	823285	827294	-	825289	Chr2B	2226941	2230973	-	2228957	0.992	0.952
gene:TraesCS2B03G0005700	Chr2B	963404	964372	+	963888	Chr2B	2289223	2290184	+	2289703	0.989	0.915
gene:TraesCS2B03G0005900	Chr2B	993279	993881	+	993580	Chr2B	2304102	2304656	+	2304379	0.92	0.912
gene:TraesCS2B03G0006000	Chr2B	1002722	1009665	+	1006193	Chr2B	2313173	2320135	+	2316654	0.984	0.971
gene:TraesCS2B03G0006500	Chr2B	1091608	1092561	-	1092084	Chr2B	2410270	2411223	-	2410746	1.0	0.96
gene:TraesCS2B03G0006600	Chr2B	1094148	1094755	-	1094451	Chr2B	2412796	2413403	-	2413099	1.0	0.985
gene:TraesCS2B03G0006800	Chr2B	1102968	1104198	+	1103583	Chr2B	2423377	2424645	+	2424011	0.998	0.939
gene:TraesCS2B03G0006900	Chr2B	1108051	1109094	-	1108572	Chr2B	2429263	2430301	-	2429782	0.995	0.985
gene:TraesCS2B03G0008300	Chr2B	1951546	1953088	-	1952317	Chr2B	2946783	2948377	-	2947580	0.997	0.946
gene:TraesCS2B03G0008500	Chr2B	1958192	1967818	-	1963005	Chr2B	2953492	2963097	-	2958294	1.0	1.0
gene:TraesCS2B03G0009200	Chr2B	2344071	2344364	+	2344217	Chr2B	3285661	3285954	+	3285807	1.0	0.978
gene:TraesCS2B03G0009700	Chr2B	2520260	2520661	-	2520460	Chr2B	3480029	3480429	-	3480229	1.0	1.0
gene:TraesCS2B03G0009900	Chr2B	2672857	2674541	-	2673699	Chr2B	3592569	3594253	-	3593411	1.0	0.989
gene:TraesCS2B03G0010000	Chr2B	2678638	2681094	-	2679866	Chr2B	3598347	3600803	-	3599575	1.0	0.994
gene:TraesCS2B03G0010300	Chr2B	2698016	2703512	+	2700764	Chr2B	3617947	3623369	+	3620658	0.998	0.992
gene:TraesCS2B03G0010400	Chr2B	2717986	2718723	-	2718354	Chr2B	3637763	3638500	-	3638131	1.0	0.991
gene:TraesCS2B03G0010600	Chr2B	2829446	2831107	+	2830276	Chr2B	3748295	3749952	+	3749123	0.996	0.992
gene:TraesCS2B03G0010800	Chr2B	2882010	2883720	-	2882865	Chr2B	3779919	3781633	-	3780776	1.0	0.992
gene:TraesCS2B03G0010900	Chr2B	2892074	2894736	+	2893405	Chr2B	3789896	3792558	+	3791227	0.999	0.989
gene:TraesCS2B03G0011000	Chr2B	2916973	2932515	-	2924744	Chr2B	3797559	3811002	-	3804280	1.0	0.99
gene:TraesCS2B03G0011300	Chr2B	2962930	2963370	+	2963150	Chr2B	3877577	3878011	+	3877794	0.986	0.986
gene:TraesCS2B03G0011700	Chr2B	3194437	3195324	-	3194880	Chr2B	7139772	7140659	-	7140215	1.0	0.99
gene:TraesCS2B03G0011900	Chr2B	3212333	3217189	-	3214761	Chr2B	5669536	5674392	-	5671964	1.0	1.0
gene:TraesCS2B03G0012000	Chr2B	3233211	3235901	+	3234556	Chr2B	5690066	5692756	+	5691411	1.0	1.0
gene:TraesCS2B03G0012100	Chr2B	3287024	3288556	-	3287790	Chr2B	5743896	5745428	-	5744662	1.0	0.999
gene:TraesCS2B03G0012600	Chr2B	3595745	3613268	+	3604506	Chr2B	6064149	6081664	+	6072906	1.0	1.0
gene:TraesCS2B03G0012700	Chr2B	3630724	3631650	-	3631187	Chr2B	6099122	6100048	-	6099585	1.0	1.0
gene:TraesCS2B03G0012800	Chr2B	3632392	3635151	-	3633771	Chr2B	6100790	6103549	-	6102169	1.0	0.999
gene:TraesCS2B03G0012900	Chr2B	3685456	3686983	-	3686219	Chr2B	6153849	6155376	-	6154612	1.0	1.0
gene:TraesCS2B03G0013100	Chr2B	3855432	3862083	+	3858757	Chr2B	6323523	6330179	+	6326851	1.0	0.999
gene:TraesCS2B03G0013300	Chr2B	3877680	3878447	+	3878063	Chr2B	6345817	6346584	+	6346200	1.0	1.0
gene:TraesCS2B03G0013400	Chr2B	3880027	3880452	+	3880239	Chr2B	6348164	6348589	+	6348376	1.0	0.997
gene:TraesCS2B03G0013700	Chr2B	3956480	3957106	-	3956793	Chr2B	6424614	6425240	-	6424927	1.0	1.0
gene:TraesCS2B03G0013900	Chr2B	3959709	3961547	-	3960628	Chr2B	6427843	6429681	-	6428762	1.0	1.0
gene:TraesCS2B03G0014300	Chr2B	4031007	4035278	-	4033142	Chr2B	6499081	6503352	-	6501216	1.0	1.0
gene:TraesCS2B03G0014500	Chr2B	4057416	4065064	-	4061240	Chr2B	6525491	6533129	-	6529310	1.0	0.999
gene:TraesCS2B03G0015000	Chr2B	4111148	4113262	-	4112205	Chr2B	6585950	6588064	-	6587007	1.0	1.0
gene:TraesCS2B03G0015100	Chr2B	4116808	4124611	-	4120709	Chr2B	6591610	6599414	-	6595512	1.0	1.0
gene:TraesCS2B03G0015300	Chr2B	4921039	4922226	-	4921632	Chr2B	7674532	7675719	-	7675125	1.0	0.998
gene:TraesCS2B03G0015400	Chr2B	4921039	4925322	-	4923180	Chr2B	7674532	7678815	-	7676673	1.0	0.999
gene:TraesCS2B03G0016000	Chr2B	5016726	5020169	+	5018447	Chr2B	7969962	7973405	+	7971683	1.0	1.0
gene:TraesCS2B03G0016200	Chr2B	5031749	5033515	-	5032632	Chr2B	7984986	7986752	-	7985869	1.0	1.0
gene:TraesCS2B03G0016300	Chr2B	5034478	5034879	-	5034678	Chr2B	7987715	7988116	-	7987915	1.0	1.0
gene:TraesCS2B03G0016400	Chr2B	5035649	5037309	-	5036479	Chr2B	7990246	7991906	-	7991076	1.0	0.999
gene:TraesCS2B03G0016700	Chr2B	5058158	5060304	+	5059231	Chr2B	8012784	8014930	+	8013857	1.0	0.999
gene:TraesCS2B03G0016900	Chr2B	5071624	5076306	+	5073965	Chr2B	8026256	8030938	+	8028597	1.0	1.0
gene:TraesCS2B03G0017200	Chr2B	5133457	5135141	-	5134299	Chr2B	8088099	8089783	-	8088941	1.0	1.0
gene:TraesCS2B03G0017300	Chr2B	5224896	5229545	+	5227220	Chr2B	8179553	8184208	+	8181880	1.0	0.998
gene:TraesCS2B03G0017500	Chr2B	5236031	5237507	+	5236769	Chr2B	8190698	8192174	+	8191436	1.0	1.0
gene:TraesCS2B03G0017600	Chr2B	5295192	5296900	-	5296046	Chr2B	8249871	8251578	-	8250724	0.999	0.999
gene:TraesCS2B03G0017700	Chr2B	5393429	5393683	+	5393556	Chr2B	8348255	8348509	+	8348382	1.0	1.0
gene:TraesCS2B03G0018100	Chr2B	5448721	5450259	+	5449490	Chr2B	8403554	8405092	+	8404323	1.0	1.0
