gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	262012	263578	-	262795	0.958	0.922	collinear
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	263925	265522	-	264723	1.0	0.998	collinear
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	671291	675229	+	673260	0.985	0.985	collinear
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	676102	680237	-	678169	1.0	0.991	collinear
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	730552	731766	+	731159	0.985	0.969	collinear
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	733187	738517	-	735852	1.0	0.992	collinear
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	751525	754770	+	753147	0.998	0.984	collinear
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	785926	786555	+	786240	1.0	0.973	collinear
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	835932	836558	-	836245	1.0	0.992	collinear
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	868165	869181	-	868673	1.0	0.974	collinear
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	890284	890676	+	890480	1.0	0.997	collinear
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	913766	915384	+	914575	1.0	1.0	collinear
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	913915	915282	-	914598	1.0	1.0	collinear
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	921076	924355	+	922715	1.0	1.0	collinear
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1143088	1145101	+	1144094	1.0	1.0	collinear
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1157042	1157962	+	1157502	1.0	0.994	collinear
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	1159621	1161366	-	1160493	1.0	0.996	collinear
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	1163035	1164207	+	1163621	0.996	0.922	collinear
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	1279496	1281266	+	1280381	0.998	0.998	collinear
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	1292774	1293817	+	1293295	1.0	1.0	collinear
gene:TraesCS4B03G0003200	Chr4B	1322700	1324740	+	1323720	Chr4B	1310482	1312522	+	1311502	1.0	0.999	collinear
gene:TraesCS4B03G0003300	Chr4B	1336993	1338899	+	1337946	Chr4B	1324775	1326681	+	1325728	1.0	1.0	collinear
gene:TraesCS4B03G0003400	Chr4B	1351991	1352386	-	1352188	Chr4B	1339775	1340170	-	1339972	1.0	1.0	collinear
gene:TraesCS4B03G0003600	Chr4B	1386123	1388841	+	1387482	Chr4B	1373671	1376389	+	1375030	1.0	1.0	collinear
gene:TraesCS4B03G0003700	Chr4B	1405651	1408832	+	1407241	Chr4B	1384302	1387577	+	1385939	0.991	0.916	collinear
gene:TraesCS4B03G0004400	Chr4B	1769850	1774224	+	1772037	Chr4B	1661691	1666081	+	1663886	0.946	0.921	collinear
gene:TraesCS4B03G0005300	Chr4B	2021348	2025490	-	2023419	Chr4B	1826157	1830341	-	1828249	0.967	0.902	collinear
gene:TraesCS4B03G0007000	Chr4B	2416943	2418089	+	2417516	Chr4B	2623420	2624562	+	2623991	1.0	0.958	collinear
gene:TraesCS4B03G0007800	Chr4B	3611489	3612627	+	3612058	Chr4B	3474536	3475673	-	3475104	1.0	0.988	collinear
gene:TraesCS4B03G0009600	Chr4B	4394789	4395654	-	4395221	Chr4B	2385826	2386680	-	2386253	0.987	0.967	collinear
gene:TraesCS4B03G0010200	Chr4B	4649709	4654096	+	4651902	Chr4B	2721681	2726114	-	2723897	0.997	0.914	collinear
