gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity
gene:TraesCS4A03G0000100	Chr4A	80751	81905	-	81328	Chr4A	535852	537006	-	536429	1.0	0.999
gene:TraesCS4A03G0000200	Chr4A	186233	189459	+	187846	Chr4A	641368	644594	+	642981	1.0	1.0
gene:TraesCS4A03G0000300	Chr4A	189629	191253	-	190441	Chr4A	644765	646389	-	645577	1.0	0.999
gene:TraesCS4A03G0000700	Chr4A	192479	193797	-	193138	Chr4A	647615	648933	-	648274	1.0	1.0
gene:TraesCS4A03G0000800	Chr4A	204132	208744	+	206438	Chr4A	659262	663894	+	661578	1.0	1.0
gene:TraesCS4A03G0000900	Chr4A	464377	473615	+	468996	Chr4A	919101	928345	+	923723	1.0	1.0
gene:TraesCS4A03G0001000	Chr4A	527393	528028	-	527710	Chr4A	982135	982770	-	982452	1.0	0.995
gene:TraesCS4A03G0001100	Chr4A	724229	730229	-	727229	Chr4A	1169411	1175479	-	1172445	1.0	1.0
gene:TraesCS4A03G0001300	Chr4A	737645	742881	-	740263	Chr4A	1182802	1188038	-	1185420	1.0	0.999
gene:TraesCS4A03G0001500	Chr4A	879654	880180	+	879917	Chr4A	1315502	1316028	+	1315765	1.0	1.0
gene:TraesCS4A03G0001600	Chr4A	890746	894177	+	892461	Chr4A	1326587	1330010	+	1328298	0.997	0.997
gene:TraesCS4A03G0001700	Chr4A	899296	900070	+	899683	Chr4A	1335197	1335971	+	1335584	1.0	1.0
gene:TraesCS4A03G0001800	Chr4A	923950	925283	-	924616	Chr4A	1359851	1361184	-	1360517	1.0	1.0
gene:TraesCS4A03G0001900	Chr4A	1067430	1067825	+	1067627	Chr4A	1490668	1491063	+	1490865	1.0	1.0
gene:TraesCS4A03G0002000	Chr4A	1144047	1145891	-	1144969	Chr4A	1561452	1563296	-	1562374	1.0	1.0
gene:TraesCS4A03G0002100	Chr4A	1219342	1222566	+	1220954	Chr4A	1630679	1633903	+	1632291	1.0	1.0
gene:TraesCS4A03G0002200	Chr4A	1519322	1519796	-	1519559	Chr4A	1930976	1931450	-	1931213	1.0	1.0
gene:TraesCS4A03G0002600	Chr4A	1720645	1723263	+	1721954	Chr4A	2132182	2134800	+	2133491	1.0	1.0
gene:TraesCS4A03G0002900	Chr4A	1872733	1874596	-	1873664	Chr4A	2284187	2286050	-	2285118	1.0	1.0
gene:TraesCS4A03G0003000	Chr4A	1876368	1884930	-	1880649	Chr4A	2287821	2296383	-	2292102	1.0	1.0
gene:TraesCS4A03G0003100	Chr4A	1887453	1896045	-	1891749	Chr4A	2298906	2307592	-	2303249	1.0	1.0
gene:TraesCS4A03G0003200	Chr4A	1904683	1907590	-	1906136	Chr4A	2316421	2319328	-	2317874	1.0	1.0
gene:TraesCS4A03G0003300	Chr4A	1908725	1910020	-	1909372	Chr4A	2320463	2321758	-	2321110	1.0	1.0
gene:TraesCS4A03G0003600	Chr4A	2034845	2039676	-	2037260	Chr4A	2548955	2553786	-	2551370	1.0	1.0
gene:TraesCS4A03G0003800	Chr4A	2144567	2151745	-	2148156	Chr4A	2658691	2665661	-	2662176	1.0	1.0
gene:TraesCS4A03G0004000	Chr4A	2396423	2406197	+	2401310	Chr4A	2911755	2921234	+	2916494	1.0	1.0
gene:TraesCS4A03G0004100	Chr4A	2407157	2412110	-	2409633	Chr4A	2922194	2927147	-	2924670	1.0	0.999
gene:TraesCS4A03G0004200	Chr4A	2539821	2543289	-	2541555	Chr4A	3054111	3057579	-	3055845	1.0	1.0
gene:TraesCS4A03G0004300	Chr4A	2549120	2550253	-	2549686	Chr4A	3063410	3064543	-	3063976	1.0	1.0
gene:TraesCS4A03G0004700	Chr4A	2613805	2615102	+	2614453	Chr4A	3127856	3129153	+	3128504	1.0	1.0
gene:TraesCS4A03G0004800	Chr4A	2630028	2631685	-	2630856	Chr4A	3144204	3145861	-	3145032	1.0	1.0
gene:TraesCS4A03G0004900	Chr4A	2636507	2637932	-	2637219	Chr4A	3150486	3151911	-	3151198	1.0	1.0
