cs_chr	Paragon_v3_tgt_chr	n_anchors	Paragon_v3_mean_anchor_gap_Mb	Paragon_v3_interp_type	n_segments	Paragon_v3_mean_anchor_fraction
Chr1A	Chr1A+Chr1A	3984	0.108	linear+linear	2	0.942
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B	4255	0.222	linear+linear+linear+linear	4	0.925
Chr1D	Chr1D	4321	0.115	linear	1	0.971
Chr2A	Chr2A+Chr2A+Chr2A	5474	0.733	linear+linear+linear	3	0.958
Chr2B	Chr2B	5477	0.148	linear	1	0.915
Chr2D	Chr2D+Chr2D+Chr2D	5637	0.07	linear+linear+pchip	3	0.97
Chr3A	Chr3A+Chr3A	4994	0.117	linear+linear	2	0.973
Chr3B	Chr3B	5455	0.156	linear	1	0.932
Chr3D	Chr3D+Chr3D	5137	0.089	linear+linear	2	0.984
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	3673	0.43	linear+linear+pchip_inverted+linear	4	0.857
Chr4B	Chr4B	3533	0.191	linear	1	0.769
Chr4D	Chr4D	3530	0.146	linear	1	0.988
Chr5A	Chr5A+Chr5A	5240	0.106	linear+linear	2	0.957
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5071	0.346	linear+linear+linear+linear+linear+linear	6	0.925
Chr5D	Chr5D	5421	0.105	linear	1	0.979
Chr6A	Chr6A	3897	0.16	linear	1	0.971
Chr6B	Chr6B+Chr6B+Chr6B	3900	0.197	linear+pchip_inverted+pchip_inverted	3	0.758
Chr6D	Chr6D	3882	0.128	linear	1	0.983
Chr7A	Chr7A+Chr7A+Chr7A	5146	0.135	linear+pchip_inverted+linear	3	0.954
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4475	0.445	linear+linear+linear+linear+linear	5	0.927
Chr7D	Chr7D	5312	0.121	linear	1	0.982
