gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	124473	127444	-	125958	1.0	0.999
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	127456	129331	-	128393	0.999	0.998
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	253250	254819	-	254034	1.0	0.996
gene:TraesCS6A03G0001100	Chr6A	1025042	1029912	+	1027477	Chr6A	864053	869169	+	866611	0.999	0.99
gene:TraesCS6A03G0001200	Chr6A	1092697	1097130	+	1094913	Chr6A	1079500	1083926	+	1081713	0.994	0.974
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	2526582	2528642	-	2527612	1.0	0.97
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	2555061	2556537	-	2555799	1.0	0.996
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	2561018	2561623	-	2561320	1.0	0.993
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	2615967	2617983	+	2616975	0.997	0.992
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	2678427	2679363	+	2678895	1.0	0.993
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	2688933	2693356	-	2691144	0.986	0.965
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	2729466	2733957	+	2731711	0.987	0.981
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	2742426	2743472	-	2742949	1.0	0.993
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	2749473	2749860	+	2749666	1.0	1.0
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	2757280	2757777	-	2757528	1.0	0.996
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	2759766	2760740	+	2760253	0.987	0.96
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	2780456	2787374	+	2783915	0.998	0.994
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	2805227	2809651	-	2807439	1.0	0.997
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	2819097	2825466	+	2822281	0.99	0.984
gene:TraesCS6A03G0003500	Chr6A	1571628	1573212	-	1572420	Chr6A	2831962	2833545	-	2832753	0.999	0.993
gene:TraesCS6A03G0003600	Chr6A	1584804	1587503	+	1586153	Chr6A	2845179	2848102	+	2846640	1.0	0.999
gene:TraesCS6A03G0003700	Chr6A	1590243	1592797	-	1591520	Chr6A	2850843	2853164	-	2852003	0.908	0.902
gene:TraesCS6A03G0004300	Chr6A	1712278	1718977	+	1715627	Chr6A	2938020	2944571	+	2941295	0.982	0.944
gene:TraesCS6A03G0004500	Chr6A	1720510	1722005	-	1721257	Chr6A	2946158	2947706	-	2946932	1.0	0.979
gene:TraesCS6A03G0004800	Chr6A	1722453	1727315	-	1724884	Chr6A	2948200	2953058	-	2950629	0.992	0.975
gene:TraesCS6A03G0004900	Chr6A	1735764	1739970	+	1737867	Chr6A	2961793	2965648	+	2963720	0.999	0.966
gene:TraesCS6A03G0005000	Chr6A	1741213	1746701	-	1743957	Chr6A	2966382	2971761	-	2969071	0.992	0.941
gene:TraesCS6A03G0005200	Chr6A	1781267	1784895	+	1783081	Chr6A	3027946	3031608	+	3029777	0.97	0.952
gene:TraesCS6A03G0006500	Chr6A	2049229	2059125	-	2054177	Chr6A	3108067	3118181	-	3113124	0.99	0.967
gene:TraesCS6A03G0006800	Chr6A	2178104	2178808	+	2178456	Chr6A	3278369	3279453	+	3278911	0.991	0.978
gene:TraesCS6A03G0007500	Chr6A	2212597	2221548	-	2217072	Chr6A	3314343	3323260	-	3318801	1.0	0.968
gene:TraesCS6A03G0007600	Chr6A	2224806	2228302	+	2226554	Chr6A	3341317	3344600	+	3342958	0.994	0.98
gene:TraesCS6A03G0007800	Chr6A	2268384	2269573	+	2268978	Chr6A	3377524	3378757	+	3378140	0.999	0.928
gene:TraesCS6A03G0007900	Chr6A	2282496	2284138	-	2283317	Chr6A	3384414	3386018	-	3385216	0.974	0.955
gene:TraesCS6A03G0008000	Chr6A	2306532	2309729	-	2308130	Chr6A	3476176	3479373	-	3477774	1.0	0.986
gene:TraesCS6A03G0008600	Chr6A	2382984	2385706	+	2384345	Chr6A	3413764	3416486	+	3415125	0.999	0.986
gene:TraesCS6A03G0008700	Chr6A	2422514	2423194	-	2422854	Chr6A	3468483	3469163	-	3468823	1.0	0.979
gene:TraesCS6A03G0009100	Chr6A	2436943	2441208	+	2439075	Chr6A	3489399	3493585	+	3491492	0.989	0.951
gene:TraesCS6A03G0010100	Chr6A	2492564	2499034	+	2495799	Chr6A	3561994	3568551	+	3565272	0.999	0.967
gene:TraesCS6A03G0010200	Chr6A	2510567	2511779	+	2511173	Chr6A	3586611	3587819	+	3587215	0.992	0.981
gene:TraesCS6A03G0010400	Chr6A	2534695	2537409	+	2536052	Chr6A	3599956	3602644	+	3601300	0.975	0.918
gene:TraesCS6A03G0010800	Chr6A	2677756	2680999	+	2679377	Chr6A	3719355	3721283	+	3720319	0.997	0.978
gene:TraesCS6A03G0011100	Chr6A	2724971	2727654	-	2726312	Chr6A	3771099	3773607	-	3772353	1.0	0.979
gene:TraesCS6A03G0011700	Chr6A	2780187	2780928	-	2780557	Chr6A	3867403	3868144	-	3867773	1.0	0.976
gene:TraesCS6A03G0012100	Chr6A	2811038	2811415	-	2811226	Chr6A	3879873	3880246	-	3880059	1.0	0.985
gene:TraesCS6A03G0012200	Chr6A	2819892	2823290	-	2821591	Chr6A	3901981	3905349	-	3903665	1.0	0.986
gene:TraesCS6A03G0012600	Chr6A	2942228	2947777	+	2945002	Chr6A	3961998	3967586	+	3964792	0.957	0.927
gene:TraesCS6A03G0012800	Chr6A	2952615	2956528	-	2954571	Chr6A	3976000	3979861	-	3977930	1.0	0.986
gene:TraesCS6A03G0013300	Chr6A	3493875	3497254	-	3495564	Chr6A	4156990	4160388	-	4158689	1.0	0.987
gene:TraesCS6A03G0013400	Chr6A	3501820	3502695	-	3502257	Chr6A	4164836	4165712	-	4165274	1.0	0.969
gene:TraesCS6A03G0013500	Chr6A	3505130	3509572	-	3507351	Chr6A	4167981	4171651	-	4169816	1.0	0.978
gene:TraesCS6A03G0013700	Chr6A	3526852	3527448	+	3527150	Chr6A	4175939	4176535	+	4176237	1.0	0.994
gene:TraesCS6A03G0013800	Chr6A	3528505	3529406	+	3528955	Chr6A	4177587	4178488	+	4178037	1.0	0.982
gene:TraesCS6A03G0014100	Chr6A	3568117	3572740	+	3570428	Chr6A	4264375	4269009	+	4266692	0.955	0.929
gene:TraesCS6A03G0014200	Chr6A	3576627	3578939	+	3577783	Chr6A	4271420	4273828	+	4272624	1.0	0.949
gene:TraesCS6A03G0014800	Chr6A	3702665	3706690	+	3704677	Chr6A	4465601	4469616	+	4467608	1.0	0.989
gene:TraesCS6A03G0015000	Chr6A	3729503	3735623	+	3732563	Chr6A	4494438	4500468	+	4497453	0.999	0.977
gene:TraesCS6A03G0015200	Chr6A	3748307	3752517	+	3750412	Chr6A	4503080	4507182	+	4505131	0.993	0.977
gene:TraesCS6A03G0015400	Chr6A	3791624	3795065	+	3793344	Chr6A	4529528	4532853	+	4531190	1.0	0.997
gene:TraesCS6A03G0015500	Chr6A	3983778	3984395	+	3984086	Chr6A	4691915	4692532	+	4692223	1.0	0.985
gene:TraesCS6A03G0015600	Chr6A	4015558	4016051	+	4015804	Chr6A	4768599	4769091	+	4768845	1.0	0.983
gene:TraesCS6A03G0015800	Chr6A	4066078	4066922	+	4066500	Chr6A	4801289	4802131	+	4801710	0.985	0.942
gene:TraesCS6A03G0017500	Chr6A	4465472	4467836	+	4466654	Chr6A	4898401	4900780	+	4899590	1.0	0.994
gene:TraesCS6A03G0017600	Chr6A	4467915	4470370	+	4469142	Chr6A	4900859	4903313	+	4902086	1.0	0.979
gene:TraesCS6A03G0017800	Chr6A	4482773	4484432	+	4483602	Chr6A	4911420	4912977	+	4912198	0.933	0.917
gene:TraesCS6A03G0017900	Chr6A	4540850	4543144	-	4541997	Chr6A	4946604	4948901	-	4947752	1.0	0.966
gene:TraesCS6A03G0018100	Chr6A	4566908	4568998	-	4567953	Chr6A	4996237	4998337	-	4997287	0.997	0.988
gene:TraesCS6A03G0018400	Chr6A	4646078	4648289	-	4647183	Chr6A	5349754	5352067	-	5350910	0.996	0.96
gene:TraesCS6A03G0018600	Chr6A	4650144	4650962	-	4650553	Chr6A	5353948	5354772	-	5354360	0.982	0.932
gene:TraesCS6A03G0018800	Chr6A	4707838	4709462	+	4708650	Chr6A	5377308	5378934	+	5378121	1.0	0.983
gene:TraesCS6A03G0019500	Chr6A	4996845	4997894	+	4997369	Chr6A	5485712	5486743	-	5486227	0.982	0.959
gene:TraesCS6A03G0020500	Chr6A	5805544	5807529	+	5806536	Chr6A	6153457	6155442	+	6154449	1.0	0.981
gene:TraesCS6A03G0022200	Chr6A	6352582	6353978	-	6353280	Chr6A	5554127	5555541	-	5554834	0.979	0.968
